Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Checa-Artasu, Martín M.",55466637700,Urban modernization and neogothic architecture in the old town of Mexico City: the case of the Post Office Building and the Agricultural & Mortgage Bank at the turn of 20th century,"Checa-Artas, M.M.| Navarro-Jiménez, F.J.",2.0,55466637700| 58683780400,2023.0,2023-06-21,Ciudad y Territorio Estudios Territoriales,55,216,407-430,-,ISSN-11334762,21100381612.0,Journal,Ministerio de Fomento,Spanish,1.06,24,1.3,52,0.407,35,0.74,24.0,1.0,0.11,8.82,65.0,73.0,0.0,0.0,"Checa-Artas, M.M., Navarro-Jiménez, F.J. (2023).Urban modernization and neogothic architecture in the old town of Mexico City: the case of the Post Office Building and the Agricultural & Mortgage Bank at the turn of 20th century. Ciudad y Territorio Estudios Territoriales,55(216) 407-430",https://www.scopus.com/record/display.url?eid=2-s2.0-85175853394&origin=resultslist,10.37230/CYTET.2023.216.8,Article,Hybrid gold,2-s2.0-85175853394,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 60022818,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto Mora,55466637700,58683780400,-,-,Mexico,1.0,3305| 3322,"Geography, Planning and Development| Urban Studies",3,Social Sciences & Management,425| 106,Geography| Architecture,40,Social Sciences,44| 33,Human Society| Built Environment And Design,3304| 4407| 3301,Urban and regional planning| Policy and administration| Architecture,SDG 11,Cultural Geography and Affective Urban Landscapes,1126,18.967,Urban Space and the Right to Justice,4435,78.906,Other,UAM,1.0
"Checa-Artasu, Martín M.",55466637700,The Expiatory Temple of San Luis Gonzaga in Monterrey. A rarity of Neo-Gothic Architecture of Mexico,"Checa-Artasu, M.M.",1.0,55466637700,2019.0,2019-01-01,Legado de Arquitectura y Diseno,14,25,4-13,-,ISSN-20073615,21101123942.0,Journal,Universidad Autonoma del Estado de Mexico,Spanish,-,-,-,-,-,-,0.0,5.0,0.0,0.0,2.92,82.0,75.0,0.0,0.0,"Checa-Artasu, M.M. (2019).The Expiatory Temple of San Luis Gonzaga in Monterrey. A rarity of Neo-Gothic Architecture of Mexico. Legado de Arquitectura y Diseno,14(25) 4-13",https://www.scopus.com/record/display.url?eid=2-s2.0-85152297848&origin=resultslist,10.36677/legado.v14i25.11246,Article,Gold,2-s2.0-85152297848,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60014923| 60028381,Universidad Autónoma Metropolitana| Universidad Autónoma Metropolitana -Unidad Iztapalapa,-,-,55466637700,55466637700,Mexico,1.0,1201| 1213| 2216| 3322,Arts and Humanities (miscellaneous)| Visual Arts and Performing Arts| Architecture| Urban Studies,3| 1,Social Sciences & Management| Arts & Humanities,106| 136,Architecture| Performing Arts,40| 33,Social Sciences| Arts and Humanities,-,-,-,-,-,Innovative Materials in Conservation and Analysis,997,41.138,Mudejar Influence on Seville's Architectural Heritage,62160,35.546,Other,Personal,1.0
"Checa-Artasu, Martín M.",55466637700,"The neogotic temple of la Santa Ceuz de Cantera: an interpretation of the Saint Chapelle in Leon, Guanajuato","Checa-Artasu, M.M.",1.0,55466637700,2022.0,2022-01-01,Legado de Arquitectura y Diseno,17,31,49-60,-,ISSN-20073615,21101123942.0,Journal,Universidad Autonoma del Estado de Mexico,Spanish,0.01,96,0,91,-,-,0.18,4.0,0.0,0.0,3.47,81.0,80.0,0.0,0.0,"Checa-Artasu, M.M. (2022).The neogotic temple of la Santa Ceuz de Cantera: an interpretation of the Saint Chapelle in Leon, Guanajuato. Legado de Arquitectura y Diseno,17(31) 49-60",https://www.scopus.com/record/display.url?eid=2-s2.0-85143238768&origin=resultslist,-,Article,,2-s2.0-85143238768,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 60014923,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana,-,-,55466637700,55466637700,Mexico,1.0,1201| 1213| 2216| 3322,Arts and Humanities (miscellaneous)| Visual Arts and Performing Arts| Architecture| Urban Studies,3| 1,Social Sciences & Management| Arts & Humanities,106| 136,Architecture| Performing Arts,40| 33,Social Sciences| Arts and Humanities,-,-,-,-,SDG 11,Cultural Dynamics in Urban Development and Creativity,1417,18.247,Cultural Heritage and Economic Development Integration,50617,58.312,Defensible,Personal,1.0
