Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Zamora, J. M.",7007126308,NLP model and stochastic multi-start optimization approach for heat exchanger networks,"Núñez-Serna, R.I.| Zamora, J.M.",2.0,56971476800| 7007126308,2016.0,2016-02-05,Applied Thermal Engineering,94,-,458-471,-,ISSN-13594311,13688.0,Journal,Elsevier Ltd,English,1.82,7,5,10,1.438,7,2.36,68.0,33.0,1.61,9.3,17.0,18.0,0.0,0.0,"Núñez-Serna, R.I., Zamora, J.M. (2016).NLP model and stochastic multi-start optimization approach for heat exchanger networks. Applied Thermal Engineering,94458-471",https://www.scopus.com/record/display.url?eid=2-s2.0-84947794980&origin=resultslist,10.1016/j.applthermaleng.2015.10.128,Article,,2-s2.0-84947794980,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,56971476800,7007126308,7007126308,-,Mexico,1.0,1507| 2102| 2209| 2210,Fluid Flow and Transfer Processes| Energy Engineering and Power Technology| Industrial and Manufacturing Engineering| Mechanical Engineering,2,Engineering & Technology,221| 249| 222| 219,Engineering - Electrical & Electronic| Engineering - Petroleum| Engineering - Mechanical| Engineering - Chemical,36,Engineering,40,Engineering,4017| 4012,Mechanical engineering| Fluid mechanics and thermal engineering,-,Integration of Energy Systems in Natural Gas Networks,921,48.071,Heat Exchanger Network Optimization for Energy Efficiency,3258,90.613,Definitive,UAM,1.0
"Zamora, J. M.",7007126308,Optimization and utilities relocation approach for the improvement of heat exchanger network designs,"Zamora, J.M.| Hidalgo-Muñoz, M.G.| Pedroza-Robles, L.E.| Núñez-Serna, R.I.",4.0,7007126308| 57203163631| 57214825324| 56971476800,2020.0,2020-04-01,Chemical Engineering Research and Design,156,-,209-225,-,ISSN-02638762,16411.0,Journal,Institution of Chemical Engineers,English,1.22,22,6.3,15,0.788,21,0.72,26.0,25.0,0.8,16.26,20.0,34.0,0.0,0.0,"Zamora, J.M., Hidalgo-Muñoz, M.G., Pedroza-Robles, L.E. and 1 more (...) (2020).Optimization and utilities relocation approach for the improvement of heat exchanger network designs. Chemical Engineering Research and Design,156209-225",https://www.scopus.com/record/display.url?eid=2-s2.0-85079244727&origin=resultslist,10.1016/j.cherd.2020.01.024,Article,,2-s2.0-85079244727,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,7007126308,56971476800,7007126308,-,Mexico,1.0,1500| 1600,General Chemical Engineering| General Chemistry,4| 2,Natural Sciences| Engineering & Technology,409| 219,Chemistry| Engineering - Chemical,37| 36,Physical Sciences| Engineering,40,Engineering,4004| 4019,Chemical engineering| Resources engineering and extractive metallurgy,-,Integration of Energy Systems in Natural Gas Networks,921,48.071,Heat Exchanger Network Optimization for Energy Efficiency,3258,90.613,Definitive,UAM,1.0
