Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Elizarraraz, David",6505787585,Convergence of the continuous wavelet transform with rotations in higher dimensions,"Navarro, J.| Elizarraraz, D.",2.0,56341643100| 6505787585,2020.0,2020-02-01,Advances in Operator Theory,5,1,143-166,-,ISSN-2538225X,21100875757.0,Journal,Birkhauser,English,0.87,40,1.1,54,0.401,64,0.67,7.0,4.0,0.69,4.33,58.0,38.0,0.0,0.0,"Navarro, J., Elizarraraz, D. (2020).Convergence of the continuous wavelet transform with rotations in higher dimensions. Advances in Operator Theory,5(1) 143-166",https://www.scopus.com/record/display.url?eid=2-s2.0-85079805651&origin=resultslist,10.1007/s43036-019-00010-3,Article,,2-s2.0-85079805651,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60014923,Universidad Autónoma Metropolitana,56341643100,6505787585,56341643100,-,Mexico,1.0,2602| 2603,Algebra and Number Theory| Analysis,4,Natural Sciences,431,Mathematics,37,Physical Sciences,49,Mathematical Sciences,4901| 4904| 4999,Applied mathematics| Pure mathematics| Other mathematical sciences,-,Polynomial Methods in Approximation and Signal Processing,1150,12.95,Wavelet Transform Applications in Homogeneous Spaces,54713,41.91,Definitive,UAM,1.0
"Elizarraraz, David",6505787585,Regularity of weak solutions under pure order differential operators by means of the continuous wavelet transform with rotations,"Navarro, J.| Elizarraraz, D.",2.0,56341643100| 6505787585,2017.0,2017-03-01,"International Journal of Wavelets, Multiresolution and Information Processing",15,2,-,1750010,ISSN-02196913,4000149107.0,Journal,World Scientific Publishing Co. Pte Ltd,English,0.57,58,1.1,70,0.256,61,0.34,8.0,2.0,0.11,8.86,67.0,69.0,0.0,0.0,"Navarro, J., Elizarraraz, D. (2017).Regularity of weak solutions under pure order differential operators by means of the continuous wavelet transform with rotations. International Journal of Wavelets, Multiresolution and Information Processing,15(2) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85006321480&origin=resultslist,10.1142/S0219691317500102,Article,,2-s2.0-85006321480,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60014923,Universidad Autónoma Metropolitana,56341643100,6505787585,-,-,Mexico,1.0,1710| 1711| 2604,Information Systems| Signal Processing| Applied Mathematics,2| 4,Engineering & Technology| Natural Sciences,212| 431| 213,Computer Science & Information Systems| Mathematics| Data Science,37| 38,Physical Sciences| Computer Science,46| 49,Information And Computing Sciences| Mathematical Sciences,-,-,-,Polynomial Methods in Approximation and Signal Processing,1150,12.95,Wavelet Transform Applications in Homogeneous Spaces,54713,41.91,Definitive,UAM,1.0
"Elizarraraz, David",6505787585,On the regularity of distributions via the convergence of the continuous shearlet transform in two dimensions,"Navarro, J.| Elizarraraz, D.",2.0,56341643100| 6505787585,2022.0,2022-01-01,"International Journal of Wavelets, Multiresolution and Information Processing",20,1,-,2150045,ISSN-02196913,4000149107.0,Journal,World Scientific,English,0.65,53,2.3,48,0.297,68,0.17,3.0,0.0,0.0,12.38,81.0,80.0,0.0,0.0,"Navarro, J., Elizarraraz, D. (2022).On the regularity of distributions via the convergence of the continuous shearlet transform in two dimensions. International Journal of Wavelets, Multiresolution and Information Processing,20(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85125199974&origin=resultslist,10.1142/S0219691321500454,Article,,2-s2.0-85125199974,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60014923,Universidad Autónoma Metropolitana,56341643100,6505787585,-,-,Mexico,1.0,1710| 1711| 2604,Information Systems| Signal Processing| Applied Mathematics,4| 2,Natural Sciences| Engineering & Technology,213| 212| 431,Data Science| Computer Science & Information Systems| Mathematics,37| 38,Physical Sciences| Computer Science,49| 46,Mathematical Sciences| Information And Computing Sciences,-,-,-,Image Classification and Mapping,158,93.852,Transformative Techniques in Image Processing and Analysis,7755,39.468,Defensible,UAM,1.0
