Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Mendiola-Islas, Verónica",57203489917,Residency in white-eared hummingbirds (Hylocharis leucotis) and its effect in territorial contest resolution,"Mendiola-Islas, V.| Lara, C.| Corcuera, P.| Valverde, P.L.",4.0,57203489917| 55995922800| 56002764200| 7004528436,2016.0,2016-01-01,PeerJ,2016,10,-,e2588,ISSN-21678359,21100239256.0,Journal,PeerJ Inc.,English,0.92,33,2.5,29,1.124,14,0.48,14.0,8.0,0.11,9.44,46.0,68.0,0.0,0.0,"Mendiola-Islas, V., Lara, C., Corcuera, P. and 1 more (...) (2016).Residency in white-eared hummingbirds (Hylocharis leucotis) and its effect in territorial contest resolution. PeerJ,2016(10) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84994472103&origin=resultslist,10.7717/peerj.2588,Article,Gold|Green,2-s2.0-84994472103,-,Universidad Autónoma Metropolitana| Universidad Autónoma de Tlaxcala,505017| 714292,Academic,2.0,60028381| 60029589,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma de Tlaxcala,57203489917,7004528436,55995922800,-,Mexico,1.0,1100| 1300| 2800,"General Agricultural and Biological Sciences| General Biochemistry,Genetics and Molecular Biology| General Neuroscience",5,Life Sciences & Medicine,507| 532| 502,Biological Sciences| Medicine| Agriculture & Forestry,34| 32,Medical and Health| Life Sciences,MD,Multidisciplinary,MD,Multidisciplinary,-,Interplay of Behavior and Coloration in Species,996,18.443,Influence of Size and Experience on Contest Behavior,17870,61.46,Very Good,Nacional,2.0
"Mendiola-Islas, Verónica",57203489917,The behavior of Broad-tailed hummingbirds is altered by cycles of human activity in a forested area converted into agricultural land,"Mendiola-Islas, V.| Lara, C.| Corcuera, P.| Valverde, P.L.",4.0,57203489917| 55995922800| 56002764200| 7004528436,2023.0,2023-02-28,PeerJ,11,-,-,e14953,ISSN-21678359,21100239256.0,Journal,PeerJ Inc.,English,0.81,40,4.7,22,0.623,22,0.91,15.0,0.0,0.0,9.23,77.0,77.0,0.0,0.0,"Mendiola-Islas, V., Lara, C., Corcuera, P. and 1 more (...) (2023).The behavior of Broad-tailed hummingbirds is altered by cycles of human activity in a forested area converted into agricultural land. PeerJ,11",https://www.scopus.com/record/display.url?eid=2-s2.0-85151023581&origin=resultslist,10.7717/peerj.14953,Article,Gold|Green,2-s2.0-85151023581,-,Universidad Autónoma Metropolitana| Universidad Autónoma de Tlaxcala,505017| 714292,Academic,2.0,60028381| 60029589,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma de Tlaxcala,57203489917,7004528436,55995922800,-,Mexico,1.0,1100| 1300| 2800,"General Agricultural and Biological Sciences| General Biochemistry,Genetics and Molecular Biology| General Neuroscience",5,Life Sciences & Medicine,502| 532| 507,Agriculture & Forestry| Medicine| Biological Sciences,34| 32,Medical and Health| Life Sciences,MD,Multidisciplinary,MD,Multidisciplinary,SDG 2,Bird Behavior and Habitat Dynamics,64,72.204,Human Disturbance Effects on Bird Behavior,12330,84.312,Definitive,Nacional,2.0
