Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Cuatecontzi-Xochitiotzi, Teresa Enedina",57216939427,"Influence of social determinants, diabetes knowledge, health behaviors, and glycemic control in type 2 diabetes: An analysis from real-world evidence","Silva-Tinoco, R.| Cuatecontzi-Xochitiotzi, T.| De La Torre-Saldaña, V.| León-García, E.| Serna-Alvarado, J.| Orea-Tejeda, A.| Castillo-Martínez, L.| Gay, J.G.| Cantú-De-León, D.| Prada, D.",10.0,25423008800| 57216939427| 56175341400| 57216936452| 57216934895| 55666264800| 6602321566| 57216932022| 57200008939| 23991301400,2020.0,2020-08-26,BMC Endocrine Disorders,20,1,-,130,ISSN-14726823,25411.0,Journal,BioMed Central Ltd,English,1.03,30,3,62,0.744,37,1.74,55.0,41.0,1.1,12.78,11.0,25.0,0.0,0.0,"Silva-Tinoco, R., Cuatecontzi-Xochitiotzi, T., De La Torre-Saldaña, V. and 7 more (...) (2020).Influence of social determinants, diabetes knowledge, health behaviors, and glycemic control in type 2 diabetes: An analysis from real-world evidence. BMC Endocrine Disorders,20(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85089931412&origin=resultslist,10.1186/s12902-020-00604-6,Article,Gold|Green,2-s2.0-85089931412,32843004,Universidad Autónoma Metropolitana| Instituto Nacional de Cancerologia - Mexico| Instituto Nacional de Enfermedades Respiratorias| Columbia University| Universidad Nacional Autónoma de México| Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,505017| 505036| 505037| 508046| 505023| 505009,Academic| Government,6.0,60028381| 124465400| 60008205| 60009149| 124464907| 60032442| 60019825| 60030162| 60012769,"Universidad Autónoma Metropolitana -Unidad Iztapalapa| Servicios de Salud Pública de la Ciudad de México| Instituto Nacional de Enfermedades Respiratorias| Instituto Nacional de la Nutrición Salvador Zubiran| TIS| Universidad Nacional Autónoma de México| Instituto Nacional de Cancerologia, México| Columbia University| Mailman School of Public Health",25423008800,23991301400,25423008800,-,Mexico| United States,2.0,2712,"Endocrinology, Diabetes and Metabolism",5,Life Sciences & Medicine,532,Medicine,34,Medical and Health,32,Biomedical And Clinical Sciences,3202,Clinical sciences,SDG 3,Innovative Approaches in Diabetes Management and Monitoring,16,94.375,Empowering Self-Management in Type 2 Diabetes Care,1077,97.551,Defensible,Internacional,5.0
"Cuatecontzi-Xochitiotzi, Teresa Enedina",57216939427,Role of social and other determinants of health in the effect of a multicomponent integrated care strategy on type 2 diabetes mellitus,"Silva-Tinoco, R.| Cuatecontzi-Xochitiotzi, T.| De La Torre-Saldaña, V.| León-García, E.| Serna-Alvarado, J.| Guzmán-Olvera, E.| Cabrera, D.| Gay, J.G.| Prada, D.",9.0,25423008800| 57216939427| 56175341400| 57216936452| 57216934895| 57216934742| 57216934496| 57216932022| 23991301400,2020.0,2020-05-24,International Journal for Equity in Health,19,1,-,75,ISSN-14759276,21461.0,Journal,BioMed Central Ltd.,English,1.62,11,4.6,14,1.367,11,1.34,48.0,28.0,1.16,10.32,17.0,24.0,0.0,1.0,"Silva-Tinoco, R., Cuatecontzi-Xochitiotzi, T., De La Torre-Saldaña, V. and 6 more (...) (2020).Role of social and other determinants of health in the effect of a multicomponent integrated care strategy on type 2 diabetes mellitus. International Journal for Equity in Health,19(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85085368387&origin=resultslist,10.1186/s12939-020-01188-2,Article,Gold|Green,2-s2.0-85085368387,32448267,Universidad Autónoma Metropolitana| Instituto Nacional de Cancerologia - Mexico| Columbia University| Universidad Nacional Autónoma de México,505017| 505036| 508046| 505023,Government| Academic,4.0,60028381| 124465400| 124464907| 60032442| 60019825| 60022869| 60030162| 60012769,"Universidad Autónoma Metropolitana -Unidad Iztapalapa| Servicios de Salud Pública de la Ciudad de México| TIS| Universidad Nacional Autónoma de México| Instituto Nacional de Cancerologia, México| Universidad Nacional Autónoma de México, Facultad de Medicina| Columbia University| Mailman School of Public Health",25423008800,23991301400,25423008800,-,Mexico| United States,2.0,2719| 2739,"Health Policy| Public Health, Environmental and Occupational Health",5,Life Sciences & Medicine,532,Medicine,34,Medical and Health,42| 44,Health Sciences| Human Society,4203| 4407| 4206,Health services and systems| Policy and administration| Public health,SDG 3,Innovative Approaches in Diabetes Management and Monitoring,16,94.375,Empowering Self-Management in Type 2 Diabetes Care,1077,97.551,Very Good,Internacional,3.0
