Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Morales-Estrada, Aurea Itzel",57191501939,Lactobacillus pentosus ABHEAU-05: An in vitro digestion resistant lactic acid bacterium isolated from a traditional fermented Mexican beverage,"Escobar-Ramírez, M.C.| Jaimez-Ordaz, J.| Escorza-Iglesias, V.A.| Rodríguez-Serrano, G.M.| Contreras-López, E.| Ramírez-Godínez, J.| Castañeda-Ovando, A.| Morales-Estrada, A.I.| Felix-Reyes, N.| González-Olivares, L.G.",10.0,56209015800| 26656652900| 57213622952| 6505895038| 6506837871| 57213618378| 56002704800| 57191501939| 57213623523| 43660968100,2020.0,2020-10-01,Revista Argentina de Microbiologia,52,4,305-314,-,ISSN-03257541,20365.0,Journal,Asociacion Argentina de Microbiologia,English| Spanish,0.96,34,2.3,61,0.432,59,2.88,82.0,40.0,1.33,16.53,11.0,21.0,0.0,0.0,"Escobar-Ramírez, M.C., Jaimez-Ordaz, J., Escorza-Iglesias, V.A. and 7 more (...) (2020).Lactobacillus pentosus ABHEAU-05: An in vitro digestion resistant lactic acid bacterium isolated from a traditional fermented Mexican beverage. Revista Argentina de Microbiologia,52(4) 305-314",https://www.scopus.com/record/display.url?eid=2-s2.0-85077923553&origin=resultslist,10.1016/j.ram.2019.10.005,Article,Gold,2-s2.0-85077923553,31964562,Universidad Autonoma del Estado de Morelos| Universidad Autónoma Metropolitana| Universidad Autonoma del Estado de Hidalgo,505016| 505017| 505050,Academic,3.0,60027135| 60017272| 60028381,Universidad Autónoma del Estado de Hidalgo| Centro de Investigaciones Quimicas| Universidad Autónoma Metropolitana -Unidad Iztapalapa,56209015800,43660968100,43660968100,-,Mexico,1.0,2404| 2726,Microbiology| Microbiology (medical),5,Life Sciences & Medicine,507| 532,Biological Sciences| Medicine,34| 32,Medical and Health| Life Sciences,30| 32,"Agricultural, Veterinary And Food Sciences| Biomedical And Clinical Sciences",3009| 3202| 3207,Veterinary sciences| Clinical sciences| Medical microbiology,-,Probiotics and Their Impact on Health,525,88.031,Probiotic Potential of Lactobacillus Strains in Health,3918,98.422,Very Good,Nacional,3.0
"Morales-Estrada, Aurea Itzel",57191501939,SelA and SelD genes involved in selenium absorption metabolism in lactic acid bacteria isolated from Mexican cheeses,"Morales Estrada, A.| González Olivares, L.G.| Contreras López, E.| Rodríguez Serrano, G.",4.0,57191501939| 43660968100| 6506837871| 6505895038,2020.0,2020-04-01,International Dairy Journal,103,-,-,104629,ISSN-09586946,51565.0,Journal,Elsevier Ltd,English,1.27,20,4.6,22,0.903,19,1.21,35.0,18.0,0.69,11.66,26.0,38.0,0.0,0.0,"Morales Estrada, A., González Olivares, L.G., Contreras López, E. and 1 more (...) (2020).SelA and SelD genes involved in selenium absorption metabolism in lactic acid bacteria isolated from Mexican cheeses. International Dairy Journal,103",https://www.scopus.com/record/display.url?eid=2-s2.0-85078662140&origin=resultslist,10.1016/j.idairyj.2019.104629,Article,,2-s2.0-85078662140,-,Universidad Autónoma Metropolitana| Universidad Autonoma del Estado de Hidalgo,505017| 505050,Academic,2.0,60028381| 60027135,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma del Estado de Hidalgo,57191501939,6505895038,6505895038,-,Mexico,1.0,1106| 2402,Food Science| Applied Microbiology and Biotechnology,5,Life Sciences & Medicine,507| 502,Biological Sciences| Agriculture & Forestry,32,Life Sciences,30| 40,"Agricultural, Veterinary And Food Sciences| Engineering",3003| 4004| 3006,Animal production| Chemical engineering| Food sciences,-,Selenium and Chromium Detection in Environmental Samples,1225,19.686,Selenium Speciation and Its Nutritional Implications,8957,92.098,Very Good,Nacional,2.0
"Morales-Estrada, Aurea Itzel",57191501939,Endopolygalacturonase from Kluyveromyces marxianus CDBB-L-278: A comparative study of gene expression and enzyme activity under aerobic and anaerobic conditions,"Rivera-Noriega, A.| Cruz-Guerrero, A.E.| Morales-Estrada, A.I.| Gómez-Ruiz, L.| López-Perez, M.| García-Garibay, M.",6.0,57195467198| 6506493418| 57191501939| 6603299537| 56350415300| 56013568800,2017.0,2017-08-01,Revista Mexicana de Ingeniera Quimica,16,2,399-404,-,ISSN-16652738,19900192431.0,Journal,Universidad Autonoma Metropolitana Iztapalapa,English,0.65,52,1.6,50,0.328,47,0.59,25.0,3.0,0.19,10.49,62.0,64.0,0.0,0.0,"Rivera-Noriega, A., Cruz-Guerrero, A.E., Morales-Estrada, A.I. and 3 more (...) (2017).Endopolygalacturonase from Kluyveromyces marxianus CDBB-L-278: A comparative study of gene expression and enzyme activity under aerobic and anaerobic conditions. Revista Mexicana de Ingeniera Quimica,16(2) 399-404",https://www.scopus.com/record/display.url?eid=2-s2.0-85028328557&origin=resultslist,-,Article,,2-s2.0-85028328557,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 60112837,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana-Lerma,57195467198,56013568800,56013568800,-,Mexico,1.0,1500,General Chemical Engineering,2,Engineering & Technology,219,Engineering - Chemical,36,Engineering,31| 40| 30,"Biological Sciences| Engineering| Agricultural, Veterinary And Food Sciences",4004| 3006| 3106,Chemical engineering| Food sciences| Industrial biotechnology,-,Mechanical Properties of Natural Fiber Composites,808,86.789,Polygalacturonase Enzymes in Industrial Applications,8414,89.252,Definitive,UAM,1.0
