Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Anton, Aritz Tutor",57323430400,Squatting and the dispute for culture in the city: between transgression and cooptation,"Tutor Anton, A.| Hernández Cordero, A.",2.0,57323430400| 58045597000,2023.0,2023-01-01,Revista de Geografia Norte Grande,2023,85,1-23,-,ISSN-03798682,66304.0,Journal,Revista de Geografia Norte Grande,Spanish,0.87,35,1,72,0.328,50,0.91,20.0,1.0,0.11,9.39,65.0,73.0,0.0,0.0,"Tutor Anton, A., Hernández Cordero, A. (2023).Squatting and the dispute for culture in the city: between transgression and cooptation. Revista de Geografia Norte Grande,2023(85) 1-23",https://www.scopus.com/record/display.url?eid=2-s2.0-85173849682&origin=resultslist,-,Article,,2-s2.0-85173849682,-,Universidad Autónoma Metropolitana| University of the Basque Country,505017| 312036,Academic,2.0,60027856| 60014923,Universidad del Pais Vasco| Universidad Autónoma Metropolitana,57323430400,58045597000,-,-,Mexico| Spain,2.0,1904| 3305,"Earth-Surface Processes| Geography, Planning and Development",4| 3,Natural Sciences| Social Sciences & Management,416| 451| 450| 425,Earth & Marine Sciences| Geophysics| Geology| Geography,37| 40,Physical Sciences| Social Sciences,44,Human Society,4406,Human geography,SDG 11,Social Movements and Environmental Justice Dynamics,1349,13.407,Urban Squatting Movements and Social Change,35833,62.755,Definitive,Internacional,1.0
"Anton, Aritz Tutor",57323430400,Squatting and the dispute for culture in the city: between transgression and cooptation,"Anton, A.T.| Cordero, A.H.",2.0,57323430400| 56192196100,2023.0,2023-01-01,Revista de Geografia Norte Grande,-,85,-,-,ISSN-03798682,66304.0,Journal,Revista de Geografia Norte Grande,Spanish,0.87,35,1,72,0.328,50,0.46,10.0,0.0,0.0,9.39,77.0,77.0,0.0,0.0,"Anton, A.T., Cordero, A.H. (2023).Squatting and the dispute for culture in the city: between transgression and cooptation. Revista de Geografia Norte Grande,(85) ",https://www.scopus.com/record/display.url?eid=2-s2.0-105014455853&origin=resultslist,-,Article,,2-s2.0-105014455853,-,Universidad Autónoma Metropolitana| University of the Basque Country,505017| 312036,Academic,2.0,60027856| 60014923,Universidad del Pais Vasco| Universidad Autónoma Metropolitana,57323430400,56192196100,-,-,Spain| Mexico,2.0,1904| 3305,"Earth-Surface Processes| Geography, Planning and Development",4| 3,Natural Sciences| Social Sciences & Management,425| 416| 451| 450,Geography| Earth & Marine Sciences| Geophysics| Geology,40| 37,Social Sciences| Physical Sciences,44,Human Society,4406,Human geography,SDG 11,Social Movements and Environmental Justice Dynamics,1349,13.407,Urban Squatting Movements and Social Change,35833,62.755,-,Internacional,1.0
