Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Sotelo, Jose William",57209981287,Pneumatosis intestinalis: Cost paid for rheumatoid arthritis treatment,"Tirumanisetty, P.| Sotelo, J.W.| Disalle, M.| Sharma, M.",4.0,57200911726| 57209981287| 8986141300| 58274095600,2019.0,2019-01-01,BMJ Case Reports,12,7,-,e229329,ISSN-1757790X,19700201654.0,Journal,BMJ Publishing Group,English,0.36,75,0.6,55,0.204,72,0.2,4.0,2.0,0.0,8.48,67.0,75.0,0.0,0.0,"Tirumanisetty, P., Sotelo, J.W., Disalle, M. and 1 more (...) (2019).Pneumatosis intestinalis: Cost paid for rheumatoid arthritis treatment. BMJ Case Reports,12(7) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85070865965&origin=resultslist,10.1136/bcr-2019-229329,Article,Green,2-s2.0-85070865965,31366614,Universidad Autónoma Metropolitana,505017,Academic,1.0,108289994| 60010210,Unity Hospital| Universidad Autónoma Metropolitana Unidad Xochimilco,57200911726,58274095600,57200911726,-,Mexico| United States,2.0,2700,General Medicine,5,Life Sciences & Medicine,532,Medicine,34,Medical and Health,42| 32,Health Sciences| Biomedical And Clinical Sciences,-,-,-,Testicular and Splenic Tumors,599,22.956,Pneumatosis Intestinalis and Hepatic Portal Vein Insights,11592,64.256,Definitive,Internacional,1.0
"Sotelo, Jose William",57209981287,Hepatic artery pseudoaneurysm following percutaneous transhepatic cholangiogram: an extremely rare complication,"Tirumanisetty, P.| Sotelo, J.W.| Rander, A.| Syed, T.",4.0,57200911726| 57209981287| 57209978851| 57216647617,2019.0,2019-07-01,BMJ Case Reports,12,7,-,229335,ISSN-1757790X,19700201654.0,Journal,BMJ Publishing Group,English,0.36,75,0.6,55,0.204,72,0.27,5.0,1.0,0.0,8.48,73.0,75.0,0.0,0.0,"Tirumanisetty, P., Sotelo, J.W., Rander, A. and 1 more (...) (2019).Hepatic artery pseudoaneurysm following percutaneous transhepatic cholangiogram: an extremely rare complication. BMJ Case Reports,12(7) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85069169777&origin=resultslist,10.1136/bcr-2019-229335,Article,Green,2-s2.0-85069169777,31302620,Universidad Autónoma Metropolitana,505017,Academic,1.0,108289994| 60014923,Unity Hospital| Universidad Autónoma Metropolitana,57200911726,57216647617,57200911726,-,Mexico| United States,2.0,2700,General Medicine,5,Life Sciences & Medicine,532,Medicine,34,Medical and Health,42| 32,Health Sciences| Biomedical And Clinical Sciences,-,-,SDG 3,Pancreatic Cancer Treatment and Research,214,74.689,Variations in Hepatic and Mesenteric Arteries,16764,67.063,Defensible,Internacional,1.0
