Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Zuluaga Gómez, Alvaro",57188738949,Multilevel thoracic ossification of the ligamentum flavum in a Hispanic woman with achondroplasia,"Cabrera-Aldana, E.E.| De la Garza Ramos, R.| Zuluaga Gómez, A.| Rosales-Olivares, L.M.| Reyes-Sánchez, A.",5.0,6505903867| 59157650700| 57188738949| 16246383700| 22954381600,2016.0,2016-11-01,Spine Journal,16,11,e749-e750,-,ISSN-15299430,13070.0,Journal,Elsevier Inc.,English,1.53,11,3.8,17,1.587,8,0.5,17.0,4.0,0.0,7.68,58.0,71.0,0.0,0.0,"Cabrera-Aldana, E.E., De la Garza Ramos, R., Zuluaga Gómez, A. and 2 more (...) (2016).Multilevel thoracic ossification of the ligamentum flavum in a Hispanic woman with achondroplasia. Spine Journal,16(11) e749-e750",https://www.scopus.com/record/display.url?eid=2-s2.0-84969166543&origin=resultslist,10.1016/j.spinee.2016.04.016,Article,,2-s2.0-84969166543,-,Johns Hopkins University| Universidad Autónoma Metropolitana,508094| 505017,Academic,2.0,60010210| 60001117,Universidad Autónoma Metropolitana Unidad Xochimilco| Johns Hopkins University School of Medicine,6505903867,22954381600,-,-,Mexico| United States,2.0,2728| 2732| 2746,Neurology (clinical)| Orthopedics and Sports Medicine| Surgery,5,Life Sciences & Medicine,532,Medicine,32| 34,Life Sciences| Medical and Health,42| 32,Health Sciences| Biomedical And Clinical Sciences,3202| 4201,Clinical sciences| Allied health and rehabilitation science,-,Biomechanics and Treatment Strategies in Spinal Health,28,82.734,Ossification and Ligamentum Flavum in Spinal Health,25963,81.357,Defensible,Internacional,1.0
"Zuluaga Gómez, Alvaro",57188738949,Sporadic intramedullary hemangioblastoma with holo-hydrosyringomyelia,"Cabrera-Aldana, E.E.| De la Garza-Ramos, R.| Pérez Zavala, R.| Zuluaga Gómez, A.| Reyes-Sánchez, A.",5.0,6505903867| 59157650700| 36007602100| 57188738949| 22954381600,2016.0,2016-10-01,Spine Journal,16,10,e655-e656,-,ISSN-15299430,13070.0,Journal,Elsevier Inc.,English,1.53,11,3.8,17,1.587,8,0.08,13.0,1.0,0.0,7.68,73.0,71.0,0.0,0.0,"Cabrera-Aldana, E.E., De la Garza-Ramos, R., Pérez Zavala, R. and 2 more (...) (2016).Sporadic intramedullary hemangioblastoma with holo-hydrosyringomyelia. Spine Journal,16(10) e655-e656",https://www.scopus.com/record/display.url?eid=2-s2.0-84962625332&origin=resultslist,10.1016/j.spinee.2016.02.045,Article,,2-s2.0-84962625332,-,Johns Hopkins University| Universidad Autónoma Metropolitana,508094| 505017,Academic,2.0,60010210| 60001117,Universidad Autónoma Metropolitana Unidad Xochimilco| Johns Hopkins University School of Medicine,6505903867,22954381600,-,-,Mexico| United States,2.0,2728| 2732| 2746,Neurology (clinical)| Orthopedics and Sports Medicine| Surgery,5,Life Sciences & Medicine,532,Medicine,32| 34,Life Sciences| Medical and Health,32| 42,Biomedical And Clinical Sciences| Health Sciences,3202| 4201,Clinical sciences| Allied health and rehabilitation science,-,Hypoxia and Tumor Metabolism in Cancer Progression,834,53.695,Von Hippel-Lindau Disease and Hemangioblastoma Insights,5467,82.116,Defensible,Internacional,1.0
