Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Vilchis, Martha Isabel",57202912179,"Molecular assessment of the species of Gracilariaceae (Gracilariales, Rhodophyta) from the Yucatan Peninsula, Mexico, including two new records for the Mexican Atlantic","Vilchis, M.I.| Dreckmann, K.M.| Hernández, O.E.| Palma Ortíz, C.A.| Resendiz, M.L.N.| Sentíes, A.",6.0,57202912179| 6507105474| 57201632075| 57201640652| 56205756200| 57154686000,2020.0,2020-01-01,Botanical Sciences,1,1,-,-,ISSN-20074298,21100244622.0,Journal,"Sociedad Botanica de Mexico, A.C",English,0.65,54,1.4,60,0.289,66,0.05,2.0,4.0,0.1,10.24,58.0,73.0,0.0,0.0,"Vilchis, M.I., Dreckmann, K.M., Hernández, O.E. and 3 more (...) (2020).Molecular assessment of the species of Gracilariaceae (Gracilariales, Rhodophyta) from the Yucatan Peninsula, Mexico, including two new records for the Mexican Atlantic. Botanical Sciences,1(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85123642231&origin=resultslist,10.17129/botsci.2915,Article,Gold|Green,2-s2.0-85123642231,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,57202912179,57154686000,6507105474,-,Mexico,1.0,1110,Plant Science,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,31| 30,"Biological Sciences| Agricultural, Veterinary And Food Sciences",3007| 3108| 3103,Forestry sciences| Plant biology| Ecology,-,Marine Ecosystem Dynamics and Climate Resilience,1088,48.79,Genetic Diversity and Ecological Impact of Gracilaria,62345,44.333,Definitive,UAM,1.0
"Vilchis, Martha Isabel",57202912179,"Discrimination of the species of the Crassiphycus corneus/C. usneoides complex (Gracilariaceae, Rhodophyta) through geometric morphometric analysis","Vilchis, M.I.| Neustupa, J.| Dreckmann, K.| Quintanar, A.| Sentíes, A.",5.0,57202912179| 6602279564| 6507105474| 35613182800| 57154686000,2019.0,2019-11-01,Nova Hedwigia,109,3-4,291-301,-,ISSN-00295035,19943.0,Journal,E. Schweizerbart'sche Verlagsbuchhandlung,English,0.5,65,2,46,0.451,44,0.49,12.0,4.0,0.45,8.92,57.0,50.0,0.0,0.0,"Vilchis, M.I., Neustupa, J., Dreckmann, K. and 2 more (...) (2019).Discrimination of the species of the Crassiphycus corneus/C. usneoides complex (Gracilariaceae, Rhodophyta) through geometric morphometric analysis. Nova Hedwigia,109(3-4) 291-301",https://www.scopus.com/record/display.url?eid=2-s2.0-85074295132&origin=resultslist,10.1127/nova_hedwigia/2019/0543,Article,,2-s2.0-85074295132,-,Universidad Autónoma Metropolitana| Charles University,505017| 308002,Academic,2.0,60028381| 60016605,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Charles University,57202912179,57154686000,57202912179,-,Mexico| Czech Republic,2.0,1105| 1110,"Ecology, Evolution, Behavior and Systematics| Plant Science",5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,31,Biological Sciences,3108| 3104,Plant biology| Evolutionary biology,-,Marine Ecosystem Dynamics and Climate Resilience,1088,48.79,Genetic Diversity and Ecological Impact of Gracilaria,62345,44.333,Very Good,Internacional,1.0
"Vilchis, Martha Isabel",57202912179,"Morphometric analysis of the sympatric species of the crassiphycus corneus-C. usneoides complex (gracilariaceae, rhodophyta) of the Mexican coasts of the gulf of Mexico and the caribbean sea","Vilchis, M.I.| Dreckmann, K.M.| Quintanar, A.| Sentíes, A.",4.0,57202912179| 6507105474| 35613182800| 57154686000,2020.0,2020-01-01,Acta Botanica Mexicana,2020,127,1-9,-,ISSN-01877151,19200156903.0,Journal,"Instituto de Ecologia, A.C.",Spanish,0.79,45,1.1,68,0.255,71,0.44,10.0,3.0,0.31,9.68,62.0,58.0,0.0,0.0,"Vilchis, M.I., Dreckmann, K.M., Quintanar, A. and 1 more (...) (2020).Morphometric analysis of the sympatric species of the crassiphycus corneus-C. usneoides complex (gracilariaceae, rhodophyta) of the Mexican coasts of the gulf of Mexico and the caribbean sea. Acta Botanica Mexicana,2020(127) 1-9",https://www.scopus.com/record/display.url?eid=2-s2.0-85081748929&origin=resultslist,10.21829/abm127.2020.1596,Article,Gold|Green,2-s2.0-85081748929,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,57202912179,57154686000,57202912179,-,Mexico,1.0,1105| 1110,"Ecology, Evolution, Behavior and Systematics| Plant Science",5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,31,Biological Sciences,3104| 3109| 3108,Evolutionary biology| Zoology| Plant biology,-,Marine Ecosystem Dynamics and Climate Resilience,1088,48.79,Genetic Diversity and Ecological Impact of Gracilaria,62345,44.333,Very Good,UAM,1.0
"Vilchis, Martha Isabel",57202912179,"Molecular and morphological characterization of Digenea (Rhodomelaceae, Rhodophyta) in the Mexican Atlantic","Vilchis, M.I.| Hernández, O.E.| Sentíes, A.| Dreckmann, K.M.| Núñez Resendiz, M.L.| Ortegón-Aznar, I.",6.0,57202912179| 57201632075| 57154686000| 6507105474| 56205756200| 57193001479,2022.0,2022-12-01,Botanica Marina,65,6,433-442,-,ISSN-00068055,17300.0,Journal,De Gruyter Open Ltd,English,0.69,50,3.6,34,0.454,39,0.28,5.0,2.0,0.11,9.46,63.0,75.0,0.0,0.0,"Vilchis, M.I., Hernández, O.E., Sentíes, A. and 3 more (...) (2022).Molecular and morphological characterization of Digenea (Rhodomelaceae, Rhodophyta) in the Mexican Atlantic. Botanica Marina,65(6) 433-442",https://www.scopus.com/record/display.url?eid=2-s2.0-85141461071&origin=resultslist,10.1515/bot-2022-0039,Article,,2-s2.0-85141461071,-,Universidad Autónoma Metropolitana| Universidad Autonoma de Yucatan,505017| 505015,Academic,2.0,60000409| 60028381,Universidad Autónoma de Yucatán| Universidad Autónoma Metropolitana -Unidad Iztapalapa,57202912179,57193001479,57202912179,-,Mexico,1.0,1104| 1105| 1110,"Aquatic Science| Ecology, Evolution, Behavior and Systematics| Plant Science",5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,41| 31,Environmental Sciences| Biological Sciences,-,-,-,Marine Ecosystem Dynamics and Climate Resilience,1088,48.79,Diversity and Taxonomy of Marine Rhodophyta,3272,74.019,Definitive,Nacional,2.0
"Vilchis, Martha Isabel",57202912179,"Gelidiella papillosa sp. nov. (Gelidiellaceae, Rhodophyta) from Veracruz, Mexico, in the context of the worldwide distribution of G. acerosa","Núñez Resendiz, M.L.| Sentíes, A.| Dreckmann, K.M.| Hernández, O.E.| Vilchis, M.I.",5.0,56205756200| 57154686000| 6507105474| 57201632075| 57202912179,2023.0,2023-12-01,Botanica Marina,66,6,521-533,-,ISSN-00068055,17300.0,Journal,Walter de Gruyter GmbH,English,0.7,47,4.1,30,0.466,39,0.31,5.0,2.0,0.25,7.85,56.0,63.0,0.0,0.0,"Núñez Resendiz, M.L., Sentíes, A., Dreckmann, K.M. and 2 more (...) (2023).Gelidiella papillosa sp. nov. (Gelidiellaceae, Rhodophyta) from Veracruz, Mexico, in the context of the worldwide distribution of G. acerosa. Botanica Marina,66(6) 521-533",https://www.scopus.com/record/display.url?eid=2-s2.0-85175795505&origin=resultslist,10.1515/bot-2023-0033,Article,Hybrid gold|Green,2-s2.0-85175795505,-,Universidad Autónoma Metropolitana| Universidad Autonoma de Yucatan,505017| 505015,Academic,2.0,60028381| 60000409,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma de Yucatán,56205756200,57202912179,56205756200,-,Mexico,1.0,1104| 1105| 1110,"Aquatic Science| Ecology, Evolution, Behavior and Systematics| Plant Science",5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,31| 41,Biological Sciences| Environmental Sciences,-,-,-,Marine Ecosystem Dynamics and Climate Resilience,1088,48.79,Diversity and Taxonomy of Marine Rhodophyta,3272,74.019,Definitive,Nacional,2.0
"Vilchis, Martha Isabel",57202912179,"Morphometric analysis of five species of the Gracilaria mammillaris complex (Gracilariaceae, Rhodophyta) in the Mexican Atlantic","Vilchis, M.I.| Dreckmann, K.M.| Sentíes, A.",3.0,57202912179| 6507105474| 57154686000,2022.0,2022-01-01,Acta Botanica Mexicana,-,129,-,e2007,ISSN-01877151,19200156903.0,Journal,"Instituto de Ecologia, A.C.",Spanish,0.65,53,1.5,67,0.253,67,0.3,5.0,1.0,0.1,9.73,70.0,76.0,0.0,0.0,"Vilchis, M.I., Dreckmann, K.M., Sentíes, A. (2022).Morphometric analysis of five species of the Gracilaria mammillaris complex (Gracilariaceae, Rhodophyta) in the Mexican Atlantic. Acta Botanica Mexicana,(129) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85130853359&origin=resultslist,10.21829/abm129.2022.2007,Article,Gold|Green,2-s2.0-85130853359,-,Universidad Autónoma Metropolitana| Universidad Autonoma de Yucatan,505017| 505015,Academic,2.0,60000409| 60028381,Universidad Autónoma de Yucatán| Universidad Autónoma Metropolitana -Unidad Iztapalapa,57202912179,57154686000,57202912179,-,Mexico,1.0,1105| 1110,"Ecology, Evolution, Behavior and Systematics| Plant Science",5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,31,Biological Sciences,3109| 3104| 3108,Zoology| Evolutionary biology| Plant biology,-,Marine Ecosystem Dynamics and Climate Resilience,1088,48.79,Genetic Diversity and Ecological Impact of Gracilaria,62345,44.333,Very Good,Nacional,2.0
