Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Castro Campos, Rodrigo Alexander",57188761307,Plowing with precedence in polynomial time,"Castro Campos, R.A.| Rodríguez Villalobos, C.A.| Zaragoza Martínez, F.J.",3.0,57188761307| 55328745400| 18435715600,2020.0,2020-12-01,Networks,76,4,451-466,-,ISSN-00283045,28535.0,Journal,Wiley-Liss Inc.,English,1.22,22,3.8,37,0.977,11,0.67,19.0,4.0,0.2,15.36,58.0,65.0,0.0,0.0,"Castro Campos, R.A., Rodríguez Villalobos, C.A., Zaragoza Martínez, F.J. (2020).Plowing with precedence in polynomial time. Networks,76(4) 451-466",https://www.scopus.com/record/display.url?eid=2-s2.0-85089959113&origin=resultslist,10.1002/net.21987,Article,,2-s2.0-85089959113,-,Universidad Autónoma Metropolitana| University of Waterloo,505017| 501051,Academic,2.0,60023193| 60014171,Universidad Autónoma Metropolitana - Azcapotzalco| University of Waterloo,57188761307,18435715600,18435715600,-,Mexico| Canada,2.0,1705| 1710,Computer Networks and Communications| Information Systems,2,Engineering & Technology,212,Computer Science & Information Systems,38,Computer Science,46| 49,Information And Computing Sciences| Mathematical Sciences,4606| 4901,Distributed computing and systems software| Applied mathematics,-,Optimized Logistics and Vehicle Routing Solutions,215,93.983,Routing Problems and Algorithms,22570,82.25,Definitive,Internacional,1.0
"Castro Campos, Rodrigo Alexander",57188761307,Integer programming models and heuristics for non-crossing Euclidean 3-matchings,"Castro Campos, R.A.| Heredia Velasco, M.A.| Vazquez Casas, G.| Zaragoza Martínez, F.J.",4.0,57188761307| 37107692000| 57188767405| 18435715600,2018.0,2018-01-01,Studies in Computational Intelligence,731,-,119-139,-,ISSN-1860949X,4900152708.0,Book Series,Springer Verlag,English,0.48,66,1.5,68,0.183,80,0.67,20.0,1.0,0.0,15.61,74.0,74.0,0.0,0.0,"Castro Campos, R.A., Heredia Velasco, M.A., Vazquez Casas, G. and 1 more (...) (2018).Integer programming models and heuristics for non-crossing Euclidean 3-matchings. Studies in Computational Intelligence,731119-139",https://www.scopus.com/record/display.url?eid=2-s2.0-85030088013&origin=resultslist,10.1007/978-3-319-64063-1_5,Article,,2-s2.0-85030088013,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60023193,Universidad Autónoma Metropolitana - Azcapotzalco,57188761307,18435715600,57188767405,-,Mexico,1.0,1702,Artificial Intelligence,2,Engineering & Technology,212| 213,Computer Science & Information Systems| Data Science,38,Computer Science,40| 46,Engineering| Information And Computing Sciences,4007| 4611| 4602,"Control engineering, mechatronics and robotics| Machine learning| Artificial intelligence",-,Innovative Approaches in Target Detection and Estimation,530,38.718,Heuristic Approaches to Multidimensional Assignment Problems,76684,24.582,Definitive,UAM,1.0
"Castro Campos, Rodrigo Alexander",57188761307,Mixed integer programming formulation for the energy-efficient train timetables problem,"Castro Campos, R.A.| Pérez Pérez, S.L.| Vazquez Casas, G.| Zaragoza Martínez, F.J.",4.0,57188761307| 55522587400| 57188767405| 18435715600,2018.0,2018-01-01,Studies in Computational Intelligence,731,-,65-86,-,ISSN-1860949X,4900152708.0,Book Series,Springer Verlag,English,0.48,66,1.5,68,0.183,80,0.59,24.0,0.0,0.0,15.61,82.0,74.0,0.0,0.0,"Castro Campos, R.A., Pérez Pérez, S.L., Vazquez Casas, G. and 1 more (...) (2018).Mixed integer programming formulation for the energy-efficient train timetables problem. Studies in Computational Intelligence,73165-86",https://www.scopus.com/record/display.url?eid=2-s2.0-85030108514&origin=resultslist,10.1007/978-3-319-64063-1_3,Article,,2-s2.0-85030108514,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60023193,Universidad Autónoma Metropolitana - Azcapotzalco,57188761307,18435715600,57188761307,-,Mexico,1.0,1702,Artificial Intelligence,2,Engineering & Technology,213| 212,Data Science| Computer Science & Information Systems,38,Computer Science,46| 40,Information And Computing Sciences| Engineering,4611| 4602| 4007,"Machine learning| Artificial intelligence| Control engineering, mechatronics and robotics",SDG 7,Hybrid Energy Management in Electric Vehicles,541,94.441,Energy Optimization in Railway Systems with Regenerative Technologies,2433,98.039,Defensible,UAM,1.0
