Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Badillo-Hernández, Ulises",55825480600,Efficient modeling of the nonlinear dynamics of tubular heterogeneous reactors,"Badillo-Hernandez, U.| Alvarez, J.| Alvarez-Icaza, L.",3.0,55825480600| 57214025200| 7801510356,2019.0,2019-04-06,Computers and Chemical Engineering,123,-,389-406,-,ISSN-00981354,24600.0,Journal,Elsevier Ltd,English,1.52,12,6.3,14,0.997,14,2.79,88.0,16.0,0.69,12.96,30.0,39.0,0.0,0.0,"Badillo-Hernandez, U., Alvarez, J., Alvarez-Icaza, L. (2019).Efficient modeling of the nonlinear dynamics of tubular heterogeneous reactors. Computers and Chemical Engineering,123389-406",https://www.scopus.com/record/display.url?eid=2-s2.0-85060997635&origin=resultslist,10.1016/j.compchemeng.2019.01.018,Article,,2-s2.0-85060997635,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60014923| 60028381| 60032442,Universidad Autónoma Metropolitana| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México,55825480600,7801510356,57214025200,-,Mexico,1.0,1500| 1706,General Chemical Engineering| Computer Science Applications,2,Engineering & Technology,213| 219| 212,Data Science| Engineering - Chemical| Computer Science & Information Systems,36| 38,Engineering| Computer Science,40,Engineering,4004,Chemical engineering,-,Adaptive Control Systems for Nonlinear Dynamics,107,88.816,Robust Control and Estimation in Chemical Reactors,92966,12.965,Weak,Nacional,2.0
"Badillo-Hernández, Ulises",55825480600,On the nonlinear dynamics of biomass throated tubular gasification reactors,"Santamaria-Padilla, L.| Badillo-Hernandez, U.| Alvarez, J.| Alvarez-Icaza, L.",4.0,57198501253| 55825480600| 57214025200| 7801510356,2022.0,2022-07-01,Computers and Chemical Engineering,163,-,-,107828,ISSN-00981354,24600.0,Journal,Elsevier Ltd,English,1.46,14,8.1,15,0.897,17,0.99,28.0,4.0,0.26,15.41,51.0,64.0,0.0,0.0,"Santamaria-Padilla, L., Badillo-Hernandez, U., Alvarez, J. and 1 more (...) (2022).On the nonlinear dynamics of biomass throated tubular gasification reactors. Computers and Chemical Engineering,163",https://www.scopus.com/record/display.url?eid=2-s2.0-85130850694&origin=resultslist,10.1016/j.compchemeng.2022.107828,Article,,2-s2.0-85130850694,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60032442| 60028381,Universidad Nacional Autónoma de México| Universidad Autónoma Metropolitana -Unidad Iztapalapa,57198501253,7801510356,55825480600,-,Mexico,1.0,1500| 1706,General Chemical Engineering| Computer Science Applications,2,Engineering & Technology,212| 213| 219,Computer Science & Information Systems| Data Science| Engineering - Chemical,38| 36,Computer Science| Engineering,40,Engineering,4004,Chemical engineering,SDG 7,Coal Gasification and Pyrolysis Processes,340,85.742,Gasification Technologies for Biomass Energy Production,794,99.622,Very Good,Nacional,2.0
