Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Cruz-López, Carlos Antonio",57202192453,Fractional radioactive decay law and Bateman equations,"Cruz-López, C.-A.| Espinosa-Paredes, G.",2.0,57202192453| 6701576605,2022.0,2022-01-01,Nuclear Engineering and Technology,54,1,275-282,-,ISSN-17385733,11700154337.0,Journal,Korean Nuclear Society,English,1.5,13,4.2,25,0.69,30,0.54,17.0,24.0,2.14,10.72,13.0,12.0,0.0,0.0,"Cruz-López, C.-A., Espinosa-Paredes, G. (2022).Fractional radioactive decay law and Bateman equations. Nuclear Engineering and Technology,54(1) 275-282",https://www.scopus.com/record/display.url?eid=2-s2.0-85112188316&origin=resultslist,10.1016/j.net.2021.07.026,Article,Gold|Green,2-s2.0-85112188316,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,57202192453,6701576605,6701576605,-,Mexico,1.0,2104,Nuclear Energy and Engineering,2,Engineering & Technology,221,Engineering - Electrical & Electronic,36,Engineering,40| 51,Engineering| Physical Sciences,4019| 4016| 5199,Resources engineering and extractive metallurgy| Materials engineering| Other physical sciences,-,Fractional Calculus Applications in Differential Equations,88,83.061,Fractional Order Models in Disease Dynamics,5587,99.487,Very Good,UAM,1.0
"Cruz-López, Carlos Antonio",57202192453,Development of the General Bateman Solution using fractional calculus: A theoretical and algorithmic approach,"Cruz-López, C.-A.| Espinosa-Paredes, G.| François, J.-L.",3.0,57202192453| 6701576605| 56013740900,2022.0,2022-04-01,Computer Physics Communications,273,-,-,108268,ISSN-00104655,13184.0,Journal,Elsevier B.V.,English,2,6,9.4,9,1.312,13,0.35,8.0,19.0,1.21,14.83,17.0,24.0,0.0,0.0,"Cruz-López, C.-A., Espinosa-Paredes, G., François, J.-L. (2022).Development of the General Bateman Solution using fractional calculus: A theoretical and algorithmic approach. Computer Physics Communications,273",https://www.scopus.com/record/display.url?eid=2-s2.0-85121877162&origin=resultslist,10.1016/j.cpc.2021.108268,Article,,2-s2.0-85121877162,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60028381| 60032442,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México,57202192453,56013740900,6701576605,-,Mexico,1.0,1708| 3100,Hardware and Architecture| General Physics and Astronomy,4| 2,Natural Sciences| Engineering & Technology,212| 439,Computer Science & Information Systems| Physics & Astronomy,37| 38,Physical Sciences| Computer Science,49| 46| 51,Mathematical Sciences| Information And Computing Sciences| Physical Sciences,-,-,-,Nuclear Fuel and Thermal Hydraulics,655,27.796,Monte Carlo Approaches for Nuclear Fuel Depletion,21727,61.067,Very Good,Nacional,2.0
"Cruz-López, Carlos Antonio",57202192453,Analytical solution of the fractional neutron point kinetic equations using the Mittag-Leffler function,"Cruz-López, C.-A.| Espinosa-Paredes, G.",2.0,57202192453| 6701576605,2024.0,2024-03-01,Computer Physics Communications,296,-,-,109028,ISSN-00104655,13184.0,Journal,Elsevier B.V.,English,3.34,2,14,5,1.946,6,0.43,8.0,12.0,1.47,8.17,12.0,20.0,0.0,0.0,"Cruz-López, C.-A., Espinosa-Paredes, G. (2024).Analytical solution of the fractional neutron point kinetic equations using the Mittag-Leffler function. Computer Physics Communications,296",https://www.scopus.com/record/display.url?eid=2-s2.0-85179588264&origin=resultslist,10.1016/j.cpc.2023.109028,Article,,2-s2.0-85179588264,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,57202192453,6701576605,6701576605,-,Mexico,1.0,1708| 3100,Hardware and Architecture| General Physics and Astronomy,2| 4,Engineering & Technology| Natural Sciences,212| 439,Computer Science & Information Systems| Physics & Astronomy,37| 38,Physical Sciences| Computer Science,51| 46| 49,Physical Sciences| Information And Computing Sciences| Mathematical Sciences,-,-,-,Nuclear Fuel and Thermal Hydraulics,655,27.796,Innovative Approaches in Nuclear Reactor Kinetics,36285,71.987,Definitive,UAM,1.0
"Cruz-López, Carlos Antonio",57202192453,A new simplified analytical solution to solve the neutron point kinetics equations using the Laplace transform method,"Cruz-López, C.-A.| Espinosa-Paredes, G.| François, J.-L.",3.0,57202192453| 6701576605| 56013740900,2023.0,2023-02-01,Computer Physics Communications,283,-,-,108564,ISSN-00104655,13184.0,Journal,Elsevier B.V.,English,2.75,3,12.1,7,1.79,9,0.76,27.0,8.0,0.64,12.41,28.0,42.0,0.0,0.0,"Cruz-López, C.-A., Espinosa-Paredes, G., François, J.-L. (2023).A new simplified analytical solution to solve the neutron point kinetics equations using the Laplace transform method. Computer Physics Communications,283",https://www.scopus.com/record/display.url?eid=2-s2.0-85140613545&origin=resultslist,10.1016/j.cpc.2022.108564,Article,,2-s2.0-85140613545,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60028381| 60032442,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México,57202192453,56013740900,6701576605,-,Mexico,1.0,1708| 3100,Hardware and Architecture| General Physics and Astronomy,2| 4,Engineering & Technology| Natural Sciences,439| 212,Physics & Astronomy| Computer Science & Information Systems,38| 37,Computer Science| Physical Sciences,51| 46| 49,Physical Sciences| Information And Computing Sciences| Mathematical Sciences,-,-,-,Nuclear Fuel and Thermal Hydraulics,655,27.796,Innovative Approaches in Nuclear Reactor Kinetics,36285,71.987,Definitive,Nacional,2.0
"Cruz-López, Carlos Antonio",57202192453,A new solution of the fractional neutron point kinetics equations using symmetry and the Heaviside's expansion formula,"Cruz-López, C.-A.| Espinosa-Paredes, G.",2.0,57202192453| 6701576605,2024.0,2024-06-01,Progress in Nuclear Energy,171,-,-,105168,ISSN-01491970,13182.0,Journal,Elsevier Ltd,English,1.38,15,5.6,16,0.822,19,1.16,21.0,7.0,0.84,8.32,21.0,34.0,0.0,0.0,"Cruz-López, C.-A., Espinosa-Paredes, G. (2024).A new solution of the fractional neutron point kinetics equations using symmetry and the Heaviside's expansion formula. Progress in Nuclear Energy,171",https://www.scopus.com/record/display.url?eid=2-s2.0-85188028834&origin=resultslist,10.1016/j.pnucene.2024.105168,Article,,2-s2.0-85188028834,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,57202192453,6701576605,6701576605,-,Mexico,1.0,2102| 2104| 2213| 2311,"Energy Engineering and Power Technology| Nuclear Energy and Engineering| Safety, Risk, Reliability and Quality| Waste Management and Disposal",3| 2,Social Sciences & Management| Engineering & Technology,249| 221| 424,Engineering - Petroleum| Engineering - Electrical & Electronic| Environmental Sciences,36| 37,Engineering| Physical Sciences,40| 51,Engineering| Physical Sciences,5106| 4019,Nuclear and plasma physics| Resources engineering and extractive metallurgy,-,Nuclear Fuel and Thermal Hydraulics,655,27.796,Innovative Approaches in Nuclear Reactor Kinetics,36285,71.987,Definitive,UAM,1.0
"Cruz-López, Carlos Antonio",57202192453,Multiphysics and multiscale simulation for an experimental sodium-cooled fast reactor,"Lopez-Solis, R.| Espinosa-Paredes, G.| Perez-Valseca, A.D.| Cruz-López, C.-A.",4.0,56915699100| 6701576605| 57194106166| 57202192453,2024.0,2024-06-01,Nuclear Engineering and Design,422,-,-,113167,ISSN-00295493,17882.0,Journal,Elsevier Ltd,English,1.42,14,3.4,35,0.772,22,0.96,14.0,6.0,0.77,7.81,24.0,36.0,0.0,0.0,"Lopez-Solis, R., Espinosa-Paredes, G., Perez-Valseca, A.D. and 1 more (...) (2024).Multiphysics and multiscale simulation for an experimental sodium-cooled fast reactor. Nuclear Engineering and Design,422",https://www.scopus.com/record/display.url?eid=2-s2.0-85189084061&origin=resultslist,10.1016/j.nucengdes.2024.113167,Article,,2-s2.0-85189084061,-,Universidad Autónoma Metropolitana| Instituto Nacional de Investigaciones Nucleares,505017| 505039,Government| Academic,2.0,60010532| 60014923,Instituto Nacional de Investigaciones Nucleares| Universidad Autónoma Metropolitana,56915699100,57202192453,57194106166,-,Mexico,1.0,2104| 2210| 2213| 2311| 2500| 3106,"Nuclear Energy and Engineering| Mechanical Engineering| Safety, Risk, Reliability and Quality| Waste Management and Disposal| General Materials Science| Nuclear and High Energy Physics",4| 2| 3,Natural Sciences| Engineering & Technology| Social Sciences & Management,221| 439| 222| 249| 424| 433,Engineering - Electrical & Electronic| Physics & Astronomy| Engineering - Mechanical| Engineering - Petroleum| Environmental Sciences| Materials Science,36| 37,Engineering| Physical Sciences,40,Engineering,4005| 4019| 4012,Civil engineering| Resources engineering and extractive metallurgy| Fluid mechanics and thermal engineering,-,Nuclear Fuel and Thermal Hydraulics,655,27.796,Thermal Hydraulics in Liquid Metal Fast Reactors,9649,90.463,Definitive,Nacional,2.0
"Cruz-López, Carlos Antonio",57202192453,A new compartmental fractional neutron point kinetic equations with different fractional orders,"Espinosa-Paredes, G.| Cruz-López, C.-A.",2.0,6701576605| 57202192453,2024.0,2024-07-01,Nuclear Engineering and Design,423,-,-,113184,ISSN-00295493,17882.0,Journal,Elsevier Ltd,English,1.42,14,3.4,35,0.772,22,0.96,14.0,6.0,0.77,7.81,24.0,36.0,0.0,0.0,"Espinosa-Paredes, G., Cruz-López, C.-A. (2024).A new compartmental fractional neutron point kinetic equations with different fractional orders. Nuclear Engineering and Design,423",https://www.scopus.com/record/display.url?eid=2-s2.0-85189930442&origin=resultslist,10.1016/j.nucengdes.2024.113184,Article,,2-s2.0-85189930442,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,6701576605,57202192453,57202192453,-,Mexico,1.0,2104| 2210| 2213| 2311| 2500| 3106,"Nuclear Energy and Engineering| Mechanical Engineering| Safety, Risk, Reliability and Quality| Waste Management and Disposal| General Materials Science| Nuclear and High Energy Physics",3| 4| 2,Social Sciences & Management| Natural Sciences| Engineering & Technology,222| 433| 221| 249| 439| 424,Engineering - Mechanical| Materials Science| Engineering - Electrical & Electronic| Engineering - Petroleum| Physics & Astronomy| Environmental Sciences,36| 37,Engineering| Physical Sciences,40,Engineering,4019| 4012| 4005,Resources engineering and extractive metallurgy| Fluid mechanics and thermal engineering| Civil engineering,-,Nuclear Fuel and Thermal Hydraulics,655,27.796,Innovative Approaches in Nuclear Reactor Kinetics,36285,71.987,Definitive,UAM,1.0
"Cruz-López, Carlos Antonio",57202192453,General solution of Bateman equations using Cauchy products and the Theory of Divided Differences,"Cruz-López, C.-A.| Espinosa-Paredes, G.| François, J.-L.",3.0,57202192453| 6701576605| 56013740900,2024.0,2024-11-01,Annals of Nuclear Energy,207,-,-,110729,ISSN-03064549,29363.0,Journal,Elsevier Ltd,English,1.46,13,4.7,21,0.897,14,0.6,8.0,4.0,0.65,6.15,32.0,41.0,0.0,0.0,"Cruz-López, C.-A., Espinosa-Paredes, G., François, J.-L. (2024).General solution of Bateman equations using Cauchy products and the Theory of Divided Differences. Annals of Nuclear Energy,207",https://www.scopus.com/record/display.url?eid=2-s2.0-85197345967&origin=resultslist,10.1016/j.anucene.2024.110729,Article,,2-s2.0-85197345967,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60028381| 60032442,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México,57202192453,56013740900,6701576605,-,Mexico,1.0,2104,Nuclear Energy and Engineering,2,Engineering & Technology,221,Engineering - Electrical & Electronic,36,Engineering,40,Engineering,4012| 4019,Fluid mechanics and thermal engineering| Resources engineering and extractive metallurgy,-,Nuclear Fuel and Thermal Hydraulics,655,27.796,Monte Carlo Approaches for Nuclear Fuel Depletion,21727,61.067,Definitive,Nacional,2.0
