Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Castillo-Rivera, Manuel A.",55993709600,"Application of infrared thermography to assess the effect of different types of environmental enrichment on the ocular, auricular pavilion and nose area temperatures of weaned piglets","Yáñez-Pizaña, A.| Mota-Rojas, D.| Ramírez-Necoechea, R.| Castillo-Rivera, M.| Roldán-Santiago, P.| Mora-Medina, P.| González-Lozano, M.",7.0,55377055200| 6506739367| 56013707100| 55993709600| 42262742600| 54383862300| 56013674900,2019.0,2019-01-01,Computers and Electronics in Agriculture,156,-,33-42,-,ISSN-01681699,30441.0,Journal,Elsevier B.V.,English,2.17,5,6.7,2,1.058,3,1.42,49.0,22.0,1.72,8.73,23.0,16.0,0.0,1.0,"Yáñez-Pizaña, A., Mota-Rojas, D., Ramírez-Necoechea, R. and 4 more (...) (2019).Application of infrared thermography to assess the effect of different types of environmental enrichment on the ocular, auricular pavilion and nose area temperatures of weaned piglets. Computers and Electronics in Agriculture,15633-42",https://www.scopus.com/record/display.url?eid=2-s2.0-85056586934&origin=resultslist,10.1016/j.compag.2018.11.010,Article,,2-s2.0-85056586934,-,Universidad Autónoma Metropolitana| Universidad del Valle de México| Universidad Nacional Autónoma de México,505017| 714043| 505023,Academic,3.0,60014923| 60028381| 60002604| 60032442,Universidad Autónoma Metropolitana| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad del Valle de México| Universidad Nacional Autónoma de México,55377055200,56013674900,6506739367,-,Mexico,1.0,1102| 1107| 1108| 1706,Agronomy and Crop Science| Forestry| Horticulture| Computer Science Applications,2| 5,Engineering & Technology| Life Sciences & Medicine,502| 213| 212,Agriculture & Forestry| Data Science| Computer Science & Information Systems,38| 32,Computer Science| Life Sciences,46| 30| 40,"Information And Computing Sciences| Agricultural, Veterinary And Food Sciences| Engineering",-,-,-,Optimizing Poultry Production and Welfare Strategies,1037,49.836,Thermal Imaging Applications in Animal Health Monitoring,25608,87.751,Very Good,Nacional,3.0
"Castillo-Rivera, Manuel A.",55993709600,"Effect of commercial probiotic on the population dynamics of selected rotifers (Brachionus angularis, Plationus patulus) and cladocerans (Moina cf. macrocopa and Simocephalus mixtus)","Contreras-Tapia, R.A.| Castellanos-Páez, M.E.| Nandini, S.| Castillo-Rivera, M.| Benítez-Díaz-Mirón, M.I.| Garza-Mouriño, G.",6.0,57215092793| 8688260300| 7004354539| 55993709600| 56428024200| 8688260400,2020.0,2020-11-01,Aquaculture Research,51,11,4482-4494,-,ISSN-1355557X,29427.0,Journal,Blackwell Publishing Ltd,English,1,32,3.5,33,0.646,36,1.51,50.0,9.0,0.42,9.51,42.0,51.0,0.0,0.0,"Contreras-Tapia, R.A., Castellanos-Páez, M.E., Nandini, S. and 3 more (...) (2020).Effect of commercial probiotic on the population dynamics of selected rotifers (Brachionus angularis, Plationus patulus) and cladocerans (Moina cf. macrocopa and Simocephalus mixtus). Aquaculture Research,51(11) 4482-4494",https://www.scopus.com/record/display.url?eid=2-s2.0-85088831160&origin=resultslist,10.1111/are.14793,Article,,2-s2.0-85088831160,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60014923| 60010210| 60032442| 60028381,Universidad Autónoma Metropolitana| Universidad Autónoma Metropolitana Unidad Xochimilco| Universidad Nacional Autónoma de México| Universidad Autónoma Metropolitana -Unidad Iztapalapa,57215092793,8688260400,8688260300,-,Mexico,1.0,1104,Aquatic Science,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,30,"Agricultural, Veterinary And Food Sciences",3005,Fisheries sciences,SDG 14,Nutritional Enhancements in Aquaculture Feed Systems,713,82.603,Probiotic Applications in Aquaculture Health,3000,98.485,Very Good,Nacional,2.0
"Castillo-Rivera, Manuel A.",55993709600,"Co-ocurrencia de dos dinoflagelados tóxicos en la Bahía de Acapulco, Guerrero, México: Una oportunidad para cuantificar su biología y ecología","Meave del Castillo, M.E.| Zamudio-Resendiz, M.E.| Castillo-Rivera, M.A.| Gutiérrez-Mendieta, F.| Varona-Cordero, F.| Hernández-Cárdenas, G.",6.0,6506578174| 6507918625| 55993709600| 36337850000| 36338194500| 8637713600,2020.0,2020-01-01,Acta Botanica Mexicana,-,127,-,e1559,ISSN-01877151,19200156903.0,Journal,"Instituto de Ecologia, A.C.",Spanish,0.79,45,1.1,68,0.255,71,2.06,44.0,8.0,0.41,9.68,45.0,51.0,0.0,0.0,"Meave del Castillo, M.E., Zamudio-Resendiz, M.E., Castillo-Rivera, M.A. and 3 more (...) (2020).Co-ocurrencia de dos dinoflagelados tóxicos en la Bahía de Acapulco, Guerrero, México: Una oportunidad para cuantificar su biología y ecología. Acta Botanica Mexicana,(127) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85084424285&origin=resultslist,10.21829/ABM127.2020.1559,Article,Gold|Green,2-s2.0-85084424285,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60014923,Universidad Autónoma Metropolitana,6506578174,8637713600,8637713600,-,Mexico,1.0,1105| 1110,"Ecology, Evolution, Behavior and Systematics| Plant Science",5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,31,Biological Sciences,3108| 3104| 3109,Plant biology| Evolutionary biology| Zoology,SDG 14,Harmful Algal Blooms and Acanthamoeba Dynamics,410,59.974,Dynamics of Pyrodinium Blooms and Environmental Impact,74755,18.211,Very Good,UAM,1.0
"Castillo-Rivera, Manuel A.",55993709600,"Diet changes in two species of mojarras (Gerreidae) in Laguna de Términos, Campeche, Mexico","Pineda-Peralta, A.| Ramos-Miranda, J.| Castillo-Rivera, M.| Arreguín-Sánchez, F.",4.0,57190585094| 11738945700| 55993709600| 7003265152,2016.0,2016-08-01,Revista de Biologia Marina y Oceanografia,51,2,385-394,-,ISSN-07173326,13565.0,Journal,Universidad de Valparaiso,Spanish,0.39,71,0.8,79,0.301,68,0.38,18.0,7.0,0.28,7.2,48.0,58.0,0.0,0.0,"Pineda-Peralta, A., Ramos-Miranda, J., Castillo-Rivera, M. and 1 more (...) (2016).Diet changes in two species of mojarras (Gerreidae) in Laguna de Términos, Campeche, Mexico. Revista de Biologia Marina y Oceanografia,51(2) 385-394",https://www.scopus.com/record/display.url?eid=2-s2.0-84981344002&origin=resultslist,10.4067/S0718-19572016000200015,Article,Gold|Green,2-s2.0-84981344002,-,Universidad Autónoma Metropolitana| Universidad Autónoma de Campeche| Instituto Politécnico Nacional,505017| 713806| 505011,Academic,3.0,60014923| 60013136| 60028381| 60004432| 60019176,Universidad Autónoma Metropolitana| Universidad Autónoma de Campeche| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Centro Interdisciplinario de Ciencias Marinas| Instituto Politécnico Nacional,57190585094,7003265152,55993709600,-,Mexico,1.0,1104| 1910,Aquatic Science| Oceanography,5| 4,Life Sciences & Medicine| Natural Sciences,502| 416| 450,Agriculture & Forestry| Earth & Marine Sciences| Geology,32| 37,Life Sciences| Physical Sciences,31| 30,"Biological Sciences| Agricultural, Veterinary And Food Sciences",3005| 3109| 3103,Fisheries sciences| Zoology| Ecology,-,Biodiversity and Aquaculture in the Mediterranean Sea,1261,23.872,Ecosystem Dynamics in Gulf of Mexico Lagoons,58057,24.415,Defensible,Nacional,3.0
"Castillo-Rivera, Manuel A.",55993709600,Morphological diversity in 6 populations of the Silverside Chirostoma humboldtianum,"Alarcón-Durán, I.| Castillo-Rivera, M.A.| Figueroa-Lucero, G.| Arroyo-Cabrales, J.| Barriga-Sosa, I.D.L.Á.",5.0,57194129003| 55993709600| 6506787363| 6602499045| 55995896000,2017.0,2017-03-01,Revista Mexicana de Biodiversidad,88,1,207-214,-,ISSN-18703453,4700152414.0,Journal,Universidad Nacional Autonoma de Mexico,English| Spanish,0.83,40,1.4,65,0.421,58,0.8,23.0,6.0,0.25,7.85,51.0,60.0,0.0,0.0,"Alarcón-Durán, I., Castillo-Rivera, M.A., Figueroa-Lucero, G. and 2 more (...) (2017).Morphological diversity in 6 populations of the Silverside Chirostoma humboldtianum. Revista Mexicana de Biodiversidad,88(1) 207-214",https://www.scopus.com/record/display.url?eid=2-s2.0-85013377756&origin=resultslist,10.1016/j.rmb.2017.01.018,Article,Gold|Green,2-s2.0-85013377756,-,Instituto Nacional de Antropología e Historia| Universidad Autónoma Metropolitana,713803| 505017,Academic,2.0,60028381| 60092761,"Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto Nacional de Antropología e Historia, Mexico",57194129003,55995896000,57194129003,-,Mexico,1.0,1105,"Ecology, Evolution, Behavior and Systematics",5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,31| 41,Biological Sciences| Environmental Sciences,3103| 3109| 4104,Ecology| Zoology| Environmental management,-,Genetic Diversity and Evolutionary Insights Across Species,10,80.706,Genetic Divergence and Conservation of Mexican Freshwater Fishes,41532,49.317,Very Good,Nacional,2.0
"Castillo-Rivera, Manuel A.",55993709600,"Temporal changes in species richness and fish composition in a submerged vegetation habitat in Veracruz, Mexico","Castillo-Rivera, M.| Ortiz-Burgos, S.| Zárate-Hernández, R.",3.0,55993709600| 26428392700| 26428563900,2017.0,2017-01-01,Acta Ichthyologica et Piscatoria,47,1,23-32,-,ISSN-01371592,4800152405.0,Journal,Scientific Society of Szczecin,English,0.56,59,1.1,73,0.303,69,0.77,23.0,5.0,0.14,7.29,54.0,67.0,0.0,1.0,"Castillo-Rivera, M., Ortiz-Burgos, S., Zárate-Hernández, R. (2017).Temporal changes in species richness and fish composition in a submerged vegetation habitat in Veracruz, Mexico. Acta Ichthyologica et Piscatoria,47(1) 23-32",https://www.scopus.com/record/display.url?eid=2-s2.0-85016405444&origin=resultslist,10.3750/AIEP/01997,Article,Gold|Green,2-s2.0-85016405444,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60028381| 60014923| 60032442| 60029824,"Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México| Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Zaragoza",55993709600,26428563900,55993709600,-,Mexico,1.0,1104,Aquatic Science,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,30,"Agricultural, Veterinary And Food Sciences",3005,Fisheries sciences,-,Ecosystem Dynamics and Carbon Management in Fisheries,629,46.697,Connectivity and Habitat Dependence in Coastal Ecosystems,18192,81.912,Very Good,Nacional,2.0
"Castillo-Rivera, Manuel A.",55993709600,A multivariate analysis of the Pitcairnia palmeri group (Bromeliaceae: Pitcairnioideae),"González-Rocha, E.| Castillo-Rivera, M.A.| López-Ferrari, A.R.| Espejo-Serna, A.",4.0,56395470200| 55993709600| 6505999816| 28367664200,2018.0,2018-06-06,Phytotaxa,351,3,219-228,-,ISSN-11793155,21100209326.0,Journal,Magnolia Press,English,0.81,42,1.9,46,0.501,39,0.51,14.0,5.0,0.23,8.78,55.0,63.0,0.0,0.0,"González-Rocha, E., Castillo-Rivera, M.A., López-Ferrari, A.R. and 1 more (...) (2018).A multivariate analysis of the Pitcairnia palmeri group (Bromeliaceae: Pitcairnioideae). Phytotaxa,351(3) 219-228",https://www.scopus.com/record/display.url?eid=2-s2.0-85048348742&origin=resultslist,10.11646/phytotaxa.351.3.3,Article,,2-s2.0-85048348742,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60014923| 60028381,Universidad Autónoma Metropolitana| Universidad Autónoma Metropolitana -Unidad Iztapalapa,56395470200,28367664200,-,-,Mexico,1.0,1105| 1110,"Ecology, Evolution, Behavior and Systematics| Plant Science",5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,31,Biological Sciences,3108,Plant biology,-,Diversity and Applications of Amaranth Species,1064,23.152,Bromeliaceae Diversity and New Species Insights,18897,62.29,Definitive,UAM,1.0
"Castillo-Rivera, Manuel A.",55993709600,"Diversity, seasonal and diel distribution of snappers (Lutjanidae: Perciformes) in a tropical coastal inlet in the southwestern Gulf of Mexico","Constante-Pérez, L.G.| Castillo-Rivera, M.| Serrato-Díaz, A.",3.0,57217737163| 55993709600| 8644467300,2022.0,2022-01-01,Neotropical Ichthyology,20,2,-,e220009,ISSN-16796225,5200153106.0,Journal,Sociedade Brasileira de Ictiologia,English,0.58,58,2.3,42,0.405,42,0.95,17.0,5.0,0.64,7.82,46.0,42.0,0.0,0.0,"Constante-Pérez, L.G., Castillo-Rivera, M., Serrato-Díaz, A. (2022).Diversity, seasonal and diel distribution of snappers (Lutjanidae: Perciformes) in a tropical coastal inlet in the southwestern Gulf of Mexico. Neotropical Ichthyology,20(2) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85133953947&origin=resultslist,10.1590/1982-0224-2022-0009,Article,Gold|Green,2-s2.0-85133953947,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 60014923,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana,57217737163,8644467300,55993709600,-,Mexico,1.0,1103| 1104| 1105,"Animal Science and Zoology| Aquatic Science| Ecology, Evolution, Behavior and Systematics",5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,31,Biological Sciences,3109| 3103,Zoology| Ecology,-,Ecosystem Dynamics and Carbon Management in Fisheries,629,46.697,Connectivity and Habitat Dependence in Coastal Ecosystems,18192,81.912,Very Good,UAM,1.0
"Castillo-Rivera, Manuel A.",55993709600,Seasonal and diel variation in the distribution of dominant zooplankton in a tropical coastal lagoon,"Mecalco-Hernández, Á.| Castillo-Rivera, M.A.| Sanvicente-Añorve, L.| Flores-Coto, C.| Álvarez-Silva, C.",5.0,57194171358| 55993709600| 6603235655| 6603501802| 6506515281,2018.0,2018-04-01,Revista de Biologia Marina y Oceanografia,53,1,39-49,-,ISSN-07173326,13565.0,Journal,University of Valparaiso,Spanish,0.39,73,0.6,85,0.167,82,1.28,43.0,4.0,0.24,8.25,58.0,62.0,0.0,0.0,"Mecalco-Hernández, Á., Castillo-Rivera, M.A., Sanvicente-Añorve, L. and 2 more (...) (2018).Seasonal and diel variation in the distribution of dominant zooplankton in a tropical coastal lagoon. Revista de Biologia Marina y Oceanografia,53(1) 39-49",https://www.scopus.com/record/display.url?eid=2-s2.0-85048747668&origin=resultslist,10.4067/s0718-19572018000100039,Article,Gold|Green,2-s2.0-85048747668,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60028381| 60032442,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México,57194171358,6506515281,55993709600,-,Mexico,1.0,1104| 1910,Aquatic Science| Oceanography,4| 5,Natural Sciences| Life Sciences & Medicine,502| 450| 416,Agriculture & Forestry| Geology| Earth & Marine Sciences,37| 32,Physical Sciences| Life Sciences,31| 30,"Biological Sciences| Agricultural, Veterinary And Food Sciences",3005| 3109| 3103,Fisheries sciences| Zoology| Ecology,-,Marine Ecosystems and Climate Change Interactions,643,59.712,Copepod Dynamics in Estuarine Ecosystems,45420,60.069,Defensible,Nacional,2.0
"Castillo-Rivera, Manuel A.",55993709600,New records and morphometry of Pleurobrachia pileus (Phylum Ctenophora) in the Gulf of Mexico,"Ocaña-Luna, A.| Mecalco-Hernández, Á.| Sánchez-Ramírez, M.| Castillo-Rivera, M.",4.0,8662658100| 57194171358| 6505763588| 55993709600,2017.0,2017-06-01,Revista Mexicana de Biodiversidad,88,2,442-445,-,ISSN-18703453,4700152414.0,Journal,Universidad Nacional Autonoma de Mexico,English| Spanish,0.83,40,1.4,65,0.421,58,0.9,22.0,3.0,0.0,7.85,62.0,72.0,0.0,0.0,"Ocaña-Luna, A., Mecalco-Hernández, Á., Sánchez-Ramírez, M. and 1 more (...) (2017).New records and morphometry of Pleurobrachia pileus (Phylum Ctenophora) in the Gulf of Mexico. Revista Mexicana de Biodiversidad,88(2) 442-445",https://www.scopus.com/record/display.url?eid=2-s2.0-85019042906&origin=resultslist,10.1016/j.rmb.2017.03.016,Article,Gold|Green,2-s2.0-85019042906,-,Universidad Autónoma Metropolitana| Instituto Politécnico Nacional,505017| 505011,Academic,2.0,60019176| 60028381,Instituto Politécnico Nacional| Universidad Autónoma Metropolitana -Unidad Iztapalapa,8662658100,55993709600,8662658100,-,Mexico,1.0,1105,"Ecology, Evolution, Behavior and Systematics",5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,31| 41,Biological Sciences| Environmental Sciences,3109| 3103| 4104,Zoology| Ecology| Environmental management,-,Coral Reefs and Marine Ecosystem Resilience,479,74.101,Ctenophore Dynamics in Black Sea Ecosystems,20347,66.405,Definitive,Nacional,2.0
