Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Trejo-Córdova, Alfredo",56023375100,Reproduction of Sheep through Nuclear Transfer of Somatic Cells: A Bibliometric Approach,"Vazquez-Avendaño, J.R.| Cortez-Romero, C.| Bravo-Vinaja, Á.| Ambríz-García, D.A.| Trejo-Córdova, A.| Navarro-Maldonado, M.D.C.",6.0,57214458721| 14065974400| 25629492200| 57214457030| 56023375100| 57214438910,2023.0,2023-06-01,Animals,13,11,-,1839,ISSN-20762615,21100244850.0,Journal,MDPI,English,1.07,24,4.9,7,0.698,12,1.96,30.0,1.0,0.21,4.87,65.0,66.0,0.0,0.0,"Vazquez-Avendaño, J.R., Cortez-Romero, C., Bravo-Vinaja, Á. and 3 more (...) (2023).Reproduction of Sheep through Nuclear Transfer of Somatic Cells: A Bibliometric Approach. Animals,13(11) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85163108337&origin=resultslist,10.3390/ani13111839,Article,Gold|Green,2-s2.0-85163108337,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60014923| 60028381| 129468317| 129864890,Universidad Autónoma Metropolitana| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Colegio de Postgraduados| Colegio de Postgraduados,57214458721,57214438910,57214438910,-,Mexico,1.0,1103| 3400,Animal Science and Zoology| General Veterinary,5,Life Sciences & Medicine,546| 502,Veterinary Science| Agriculture & Forestry,32,Life Sciences,31| 30,"Biological Sciences| Agricultural, Veterinary And Food Sciences",3003| 3009| 3109,Animal production| Veterinary sciences| Zoology,-,Induced Pluripotent Stem Cells in Regenerative Medicine,253,65.991,Somatic Cell Nuclear Transfer in Animal Cloning,2113,82.522,Definitive,UAM,1.0
"Trejo-Córdova, Alfredo",56023375100,Identification of novel peptides of a phage display library with specific monoclonal antibody to the N protein of PRRS virus,"Villa-Mancera, A.| Reynoso-Palomar, A.| Utrera-Quintana, F.| Córdova-Izquierdo, A.| Olivares-Pérez, J.| Zambrano-González, M.| Trejo-Córdova, A.| Carreón-Luna, L.",8.0,35811702500| 55498708400| 55917065800| 18436792800| 56013707300| 57070471700| 56023375100| 55890252700,2015.0,2015-01-01,Archivos de Medicina Veterinaria,47,3,325-331,-,ISSN-0301732X,17660.0,Journal,Universidad Austral de Chile,Spanish,-,-,0.6,65,0.203,66,0.89,38.0,0.0,0.0,3.62,80.0,69.0,0.0,0.0,"Villa-Mancera, A., Reynoso-Palomar, A., Utrera-Quintana, F. and 5 more (...) (2015).Identification of novel peptides of a phage display library with specific monoclonal antibody to the N protein of PRRS virus. Archivos de Medicina Veterinaria,47(3) 325-331",https://www.scopus.com/record/display.url?eid=2-s2.0-84955077600&origin=resultslist,10.4067/S0301-732X2015000300009,Article,Gold|Green,2-s2.0-84955077600,-,Benemerita Universidad Autonoma de Puebla| Universidad Autónoma Metropolitana| Universidad del Papaloapan| Universidad Autónoma de Guerrero,505001| 505017| 714298| 714299,Academic,4.0,60024830| 60010210| 60022139| 60084236,Benemérita Universidad Autónoma de Puebla| Universidad Autónoma Metropolitana Unidad Xochimilco| Universidad Autónoma de Guerrero| Universidad del Papaloapan,35811702500,55890252700,-,-,Mexico,1.0,3400,General Veterinary,5,Life Sciences & Medicine,546,Veterinary Science,32,Life Sciences,30,"Agricultural, Veterinary And Food Sciences",3009,Veterinary sciences,-,Pharmacokinetics and Infection Dynamics in Livestock,847,38.26,Porcine Reproductive and Respiratory Syndrome Virus Dynamics,2024,95.288,Definitive,Nacional,4.0
