Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Alatorre-Santamaría, Sergio",17344920200,Synthesis of a Fucosylated Trisaccharide Via Transglycosylation by α-l-Fucosidase from Thermotoga maritima,"Guzmán-Rodríguez, F.| Alatorre-Santamaría, S.| Gómez-Ruiz, L.| Rodríguez-Serrano, G.| García-Garibay, M.| Cruz-Guerrero, A.",6.0,57201800493| 17344920200| 6603299537| 6505895038| 56013568800| 6506493418,2018.0,2018-11-01,Applied Biochemistry and Biotechnology,186,3,681-691,-,ISSN-02732289,110291.0,Journal,Humana Press Inc.,English,0.86,39,3.9,35,0.606,32,1.35,43.0,36.0,1.09,12.89,15.0,27.0,0.0,0.0,"Guzmán-Rodríguez, F., Alatorre-Santamaría, S., Gómez-Ruiz, L. and 3 more (...) (2018).Synthesis of a Fucosylated Trisaccharide Via Transglycosylation by α-l-Fucosidase from Thermotoga maritima. Applied Biochemistry and Biotechnology,186(3) 681-691",https://www.scopus.com/record/display.url?eid=2-s2.0-85046145737&origin=resultslist,10.1007/s12010-018-2771-x,Article,,2-s2.0-85046145737,29717409,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 60112837,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana-Lerma,57201800493,6506493418,6506493418,-,Mexico,1.0,1303| 1305| 1312| 1502| 2402,Biochemistry| Biotechnology| Molecular Biology| Bioengineering| Applied Microbiology and Biotechnology,2| 5,Engineering & Technology| Life Sciences & Medicine,507| 219,Biological Sciences| Engineering - Chemical,36| 32,Engineering| Life Sciences,31,Biological Sciences,-,-,-,Gut Microbiota and Its Role in Health,80,99.215,Human Milk Oligosaccharides and Infant Health,6732,97.995,Definitive,UAM,1.0
"Alatorre-Santamaría, Sergio",17344920200,Spectroscopic studies and molecular modelling of the aflatoxin M1-bovine α-lactalbumin complex formation,"Jiménez-Pérez, C.| Tello-Solís, S.R.| Gómez-Castro, C.Z.| Alatorre-Santamaría, S.| Gómez-Ruiz, L.| Rodríguez-Serrano, G.| Cruz-Borbolla, J.| García-Garibay, M.| Cruz-Guerrero, A.",9.0,55991378100| 6603311437| 6506983115| 17344920200| 6603299537| 6505895038| 37002687800| 56013568800| 6506493418,2020.0,2020-08-01,Journal of Photochemistry and Photobiology B: Biology,209,-,-,111957,ISSN-10111344,17622.0,Journal,Elsevier B.V.,English,1.42,16,9.2,1,0.9,15,3.09,67.0,21.0,1.06,10.36,23.0,26.0,0.0,0.0,"Jiménez-Pérez, C., Tello-Solís, S.R., Gómez-Castro, C.Z. and 6 more (...) (2020).Spectroscopic studies and molecular modelling of the aflatoxin M1-bovine α-lactalbumin complex formation. Journal of Photochemistry and Photobiology B: Biology,209",https://www.scopus.com/record/display.url?eid=2-s2.0-85087947557&origin=resultslist,10.1016/j.jphotobiol.2020.111957,Article,,2-s2.0-85087947557,32682284,Universidad Autónoma Metropolitana| Universidad Autonoma del Estado de Hidalgo,505017| 505050,Academic,2.0,60028381| 60112837| 60027135,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana-Lerma| Universidad Autónoma del Estado de Hidalgo,55991378100,6506493418,6506493418,-,Mexico,1.0,1304| 2741| 3108| 3614,"Biophysics| Radiology, Nuclear Medicine and Imaging| Radiation| Radiological and Ultrasound Technology",5| 4,Life Sciences & Medicine| Natural Sciences,532| 507| 439,Medicine| Biological Sciences| Physics & Astronomy,34| 37| 32,Medical and Health| Physical Sciences| Life Sciences,34,Chemical Sciences,3406,Physical chemistry,-,Protein Interactions and Spectroscopic Techniques in Biochemistry,869,52.649,Binding Interactions of Serum Proteins and Nanoparticles,281,98.87,Very Good,Nacional,2.0
"Alatorre-Santamaría, Sergio",17344920200,Synthesis of fucosyl-oligosaccharides using α-l-fucosidase from lactobacillus rhamnosus GG,"Escamilla-Lozano, Y.| Guzmán-Rodríguez, F.| Alatorre-Santamaría, S.| García-Garibay, M.| Gómez-Ruiz, L.| Rodríguez-Serrano, G.| Cruz-Guerrero, A.",7.0,57204768371| 57201800493| 17344920200| 56013568800| 6603299537| 6505895038| 6506493418,2019.0,2019-01-01,Molecules,24,13,-,2402,ISSN-14203049,26370.0,Journal,MDPI AG,English,1.15,23,4.1,29,0.698,22,1.12,34.0,19.0,0.58,12.12,26.0,44.0,0.0,0.0,"Escamilla-Lozano, Y., Guzmán-Rodríguez, F., Alatorre-Santamaría, S. and 4 more (...) (2019).Synthesis of fucosyl-oligosaccharides using α-l-fucosidase from lactobacillus rhamnosus GG. Molecules,24(13) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85068401268&origin=resultslist,10.3390/molecules24132402,Article,Gold|Green,2-s2.0-85068401268,31261855,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 60112837,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana-Lerma,57204768371,6506493418,6506493418,-,Mexico,1.0,1313| 1601| 1602| 1605| 1606| 3002| 3003,Molecular Medicine| Chemistry (miscellaneous)| Analytical Chemistry| Organic Chemistry| Physical and Theoretical Chemistry| Drug Discovery| Pharmaceutical Science,5| 4| 2,Life Sciences & Medicine| Natural Sciences| Engineering & Technology,409| 249| 532| 537,Chemistry| Engineering - Petroleum| Medicine| Pharmacy & Pharmacology,32| 37| 34,Life Sciences| Physical Sciences| Medical and Health,34,Chemical Sciences,3404| 3405,Medicinal and biomolecular chemistry| Organic chemistry,-,Gut Microbiota and Its Role in Health,80,99.215,Human Milk Oligosaccharides and Infant Health,6732,97.995,Definitive,UAM,1.0
"Alatorre-Santamaría, Sergio",17344920200,Development and characterization of an exopolysaccharide-functionalized acid whey cheese (requesón) using Lactobacillus delbrueckii ssp. bulgaricus,"Carrero-Puentes, S.| Fuenmayor, C.| Jiménez-Pérez, C.| Guzmán-Rodríguez, F.| Gómez-Ruiz, L.| Rodríguez-Serrano, G.| Alatorre-Santamaría, S.| García-Garibay, M.| Cruz-Guerrero, A.",9.0,57322574600| 35068059600| 55991378100| 57201800493| 6603299537| 6505895038| 17344920200| 56013568800| 6506493418,2022.0,2022-06-01,Journal of Food Processing and Preservation,46,6,-,e16095,ISSN-01458892,20590.0,Journal,John Wiley and Sons Inc,English,0.75,46,3.4,46,0.494,36,2.38,63.0,15.0,0.98,15.38,21.0,30.0,0.0,0.0,"Carrero-Puentes, S., Fuenmayor, C., Jiménez-Pérez, C. and 6 more (...) (2022).Development and characterization of an exopolysaccharide-functionalized acid whey cheese (requesón) using Lactobacillus delbrueckii ssp. bulgaricus. Journal of Food Processing and Preservation,46(6) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85118499331&origin=resultslist,10.1111/jfpp.16095,Article,,2-s2.0-85118499331,-,Universidad Autónoma Metropolitana| Universidad Nacional de Colombia,505017| 604004,Academic,2.0,60028381| 60055696| 60014923,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional de Colombia| Universidad Autónoma Metropolitana,57322574600,6506493418,6506493418,-,Mexico| Colombia,2.0,1106| 1500| 1600,Food Science| General Chemical Engineering| General Chemistry,4| 2| 5,Natural Sciences| Engineering & Technology| Life Sciences & Medicine,502| 219| 409,Agriculture & Forestry| Engineering - Chemical| Chemistry,32| 36| 37,Life Sciences| Engineering| Physical Sciences,30| 40,"Agricultural, Veterinary And Food Sciences| Engineering",4004| 3006,Chemical engineering| Food sciences,-,Probiotics and Their Impact on Health,525,88.031,Fermented Fruit Juices and Health Benefits,24542,96.717,Definitive,Internacional,1.0
"Alatorre-Santamaría, Sergio",17344920200,Improvement of the transfucosylation activity of α-l-fucosidase from Thermotoga maritima for the synthesis of fucosylated oligosaccharides in the presence of calcium and sodium,"Guzmán-Rodríguez, F.| Alatorre-Santamaría, S.| Gómez-Ruiz, L.| Rodríguez-Serrano, G.| García-Garibay, M.| Cruz-Guerrero, A.",6.0,57201800493| 17344920200| 6603299537| 6505895038| 56013568800| 6506493418,2018.0,2018-11-01,Extremophiles,22,6,889-894,-,ISSN-14310651,15610.0,Journal,Springer Tokyo,English,0.77,45,3.9,46,0.747,31,0.78,39.0,12.0,0.22,13.66,38.0,63.0,0.0,0.0,"Guzmán-Rodríguez, F., Alatorre-Santamaría, S., Gómez-Ruiz, L. and 3 more (...) (2018).Improvement of the transfucosylation activity of α-l-fucosidase from Thermotoga maritima for the synthesis of fucosylated oligosaccharides in the presence of calcium and sodium. Extremophiles,22(6) 889-894",https://www.scopus.com/record/display.url?eid=2-s2.0-85051272063&origin=resultslist,10.1007/s00792-018-1045-4,Article,,2-s2.0-85051272063,30088105,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 60112837,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana-Lerma,57201800493,6506493418,6506493418,-,Mexico,1.0,1313| 2404,Molecular Medicine| Microbiology,5,Life Sciences & Medicine,507| 532,Biological Sciences| Medicine,32,Life Sciences,31,Biological Sciences,3107,Microbiology,-,Gut Microbiota and Its Role in Health,80,99.215,Human Milk Oligosaccharides and Infant Health,6732,97.995,Definitive,UAM,1.0
"Alatorre-Santamaría, Sergio",17344920200,Influence of oat β-glucan on the survival and proteolytic activity of lactobacillus rhamnosus gg in milk fermentation: Optimization by response surface,"de la Vega, M.I.C.| Alatorre-Santamaría, S.| Gómez-Ruiz, L.| García-Garibay, M.| Guzmán-Rodríguez, F.| González-Olivares, L.G.| Cruz-Guerrero, A.E.| Rodríguez-Serrano, G.M.",8.0,57288741500| 17344920200| 6603299537| 56013568800| 57201800493| 43660968100| 6506493418| 6505895038,2021.0,2021-12-01,Fermentation,7,4,-,210,ISSN-23115637,21100900055.0,Journal,MDPI,English,1.4,16,5.3,17,0.721,22,2.03,44.0,11.0,0.44,11.44,34.0,51.0,0.0,0.0,"de la Vega, M.I.C., Alatorre-Santamaría, S., Gómez-Ruiz, L. and 5 more (...) (2021).Influence of oat β-glucan on the survival and proteolytic activity of lactobacillus rhamnosus gg in milk fermentation: Optimization by response surface. Fermentation,7(4) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85116711900&origin=resultslist,10.3390/fermentation7040210,Article,Gold|Green,2-s2.0-85116711900,-,Universidad Autonoma del Estado de Morelos| Universidad Autónoma Metropolitana| Universidad Autonoma del Estado de Hidalgo,505016| 505017| 505050,Academic,3.0,60028381| 60112837| 60027135| 60017272,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana-Lerma| Universidad Autónoma del Estado de Hidalgo| Centro de Investigaciones Quimicas,57288741500,6505895038,43660968100| 6506493418| 6505895038,-,Mexico,1.0,1106| 1110| 1301,"Food Science| Plant Science| Biochemistry, Genetics and Molecular Biology (miscellaneous)",5,Life Sciences & Medicine,507| 502,Biological Sciences| Agriculture & Forestry,32,Life Sciences,31,Biological Sciences,3106,Industrial biotechnology,-,Enhancing Cereal Quality through Genetic Insights,952,76.521,Health Benefits and Functional Properties of Beta-Glucan,7175,94.429,Very Good,Nacional,3.0
"Alatorre-Santamaría, Sergio",17344920200,Iron binding and antithrombotic peptides released during the fermentation of milk by Lactobacillus casei shirota,"Guzmán-Rodríguez, F.| Gómez-Ruizy, L.| Rodríguez-Serrano, G.| Alatorre-Santamaría, S.| García-Garibay, M.| Cruz-Guerrero, W.A.",6.0,57201800493| 57210645824| 6505895038| 17344920200| 56013568800| 57210643669,2019.0,2019-09-01,Revista Mexicana de Ingeniera Quimica,18,3,1161-1166,-,ISSN-16652738,19900192431.0,Journal,Universidad Autonoma Metropolitana Iztapalapa,English,0.58,59,1.7,57,0.277,55,1.16,49.0,10.0,0.38,13.0,40.0,54.0,0.0,0.0,"Guzmán-Rodríguez, F., Gómez-Ruizy, L., Rodríguez-Serrano, G. and 3 more (...) (2019).Iron binding and antithrombotic peptides released during the fermentation of milk by Lactobacillus casei shirota. Revista Mexicana de Ingeniera Quimica,18(3) 1161-1166",https://www.scopus.com/record/display.url?eid=2-s2.0-85071176877&origin=resultslist,10.24275/uam/izt/dcbi/revmexingquim/2019v18n3/Guzman,Article,Hybrid gold,2-s2.0-85071176877,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 60112837,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana-Lerma,57201800493,57210643669,57210643669,-,Mexico,1.0,1500,General Chemical Engineering,2,Engineering & Technology,219,Engineering - Chemical,36,Engineering,31| 30| 40,"Biological Sciences| Agricultural, Veterinary And Food Sciences| Engineering",4004| 3006| 3106,Chemical engineering| Food sciences| Industrial biotechnology,-,Bioactive Peptides and Antioxidant Properties in Health,953,73.578,Bioactive Peptides in Health and Nutrition,1303,99.388,Definitive,UAM,1.0
"Alatorre-Santamaría, Sergio",17344920200,Effect of biogenic exopolysaccharides in characteristics and stability of a novel Requeson-type cheese,"Patlan-Velázquez, L.-F.| González-Olivares, L.-G.| García-Garibay, M.| Alatorre-Santamaría, S.| Gómez-Ruiz, L.| Rodríguez-Serrano, G.| Cruz-Guerrero, A.",7.0,58952702300| 43660968100| 56013568800| 17344920200| 6603299537| 6505895038| 6506493418,2024.0,2024-06-01,Food Bioscience,59,-,-,103896,ISSN-22124292,21100255550.0,Journal,Elsevier Ltd,English,1.21,20,6.8,23,1.108,13,3.59,55.0,8.0,1.05,7.61,18.0,28.0,0.0,0.0,"Patlan-Velázquez, L.-F., González-Olivares, L.-G., García-Garibay, M. and 4 more (...) (2024).Effect of biogenic exopolysaccharides in characteristics and stability of a novel Requeson-type cheese. Food Bioscience,59",https://www.scopus.com/record/display.url?eid=2-s2.0-85188511910&origin=resultslist,10.1016/j.fbio.2024.103896,Article,,2-s2.0-85188511910,-,Universidad Autónoma Metropolitana| Universidad Autonoma del Estado de Hidalgo,505017| 505050,Academic,2.0,60028381| 60027135| 60112837,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma del Estado de Hidalgo| Universidad Autónoma Metropolitana-Lerma,58952702300,6506493418,6506493418,-,Mexico,1.0,1106| 1303,Food Science| Biochemistry,5,Life Sciences & Medicine,507| 502,Biological Sciences| Agriculture & Forestry,32,Life Sciences,30,"Agricultural, Veterinary And Food Sciences",3001| 3006,Agricultural biotechnology| Food sciences,-,Polysaccharides and Their Multifaceted Biological Activities,548,88.555,Exopolysaccharides: Versatile Microbial Polymers in Biotechnology,5661,98.277,Definitive,Nacional,2.0
"Alatorre-Santamaría, Sergio",17344920200,Analysis of aflatoxin m1 contamination in milk and cheese produced in mexico: A review,"Jiménez-Pérez, C.| Alatorre-Santamaría, S.| Tello-Solís, S.R.| Gómez-Ruiz, L.| Rodríguez-Serrano, G.| García- Garibay, M.| Cruz-Guerrero, A.",7.0,55991378100| 17344920200| 6603311437| 6603299537| 6505895038| 56013568800| 6506493418,2021.0,2021-01-01,World Mycotoxin Journal,14,3,269-285,-,ISSN-18750710,18200156702.0,Journal,Wageningen Academic Publishers,English,0.96,34,5.8,14,0.497,39,1.44,43.0,8.0,0.42,11.79,41.0,53.0,0.0,0.0,"Jiménez-Pérez, C., Alatorre-Santamaría, S., Tello-Solís, S.R. and 4 more (...) (2021).Analysis of aflatoxin m1 contamination in milk and cheese produced in mexico: A review. World Mycotoxin Journal,14(3) 269-285",https://www.scopus.com/record/display.url?eid=2-s2.0-85115976779&origin=resultslist,10.3920/WMJ2020.2668,Article,,2-s2.0-85115976779,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 60112837,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana-Lerma,55991378100,6506493418,6506493418,-,Mexico,1.0,1106| 2739| 3005,"Food Science| Public Health, Environmental and Occupational Health| Toxicology",5,Life Sciences & Medicine,532| 502| 537,Medicine| Agriculture & Forestry| Pharmacy & Pharmacology,32| 34,Life Sciences| Medical and Health,31| 32,Biological Sciences| Biomedical And Clinical Sciences,3107| 3214,Microbiology| Pharmacology and pharmaceutical sciences,-,Mycotoxin Detection and Impact on Health,642,76.39,Aflatoxin Contamination in Dairy Products and Health Risks,11835,89.359,Definitive,UAM,1.0
"Alatorre-Santamaría, Sergio",17344920200,Synthesis of fucosylated oligosaccharides with α-l-fucosidase from Thermotoga maritima immobilized on Eupergit® CM,"Guzmán-Rodríguez, F.| Alatorre-Santamaría, S.| Gómez-Ruiz, L.| Rodríguez-Serrano, G.| García-Garibay, M.| Cruz-Guerrero, A.",6.0,57201800493| 17344920200| 6603299537| 6505895038| 56013568800| 6506493418,2021.0,2021-05-01,Extremophiles,25,3,311-317,-,ISSN-14310651,15610.0,Journal,Springer Japan,English,0.8,44,5.1,52,0.595,42,1.03,23.0,6.0,0.15,13.46,47.0,71.0,0.0,0.0,"Guzmán-Rodríguez, F., Alatorre-Santamaría, S., Gómez-Ruiz, L. and 3 more (...) (2021).Synthesis of fucosylated oligosaccharides with α-l-fucosidase from Thermotoga maritima immobilized on Eupergit® CM. Extremophiles,25(3) 311-317",https://www.scopus.com/record/display.url?eid=2-s2.0-85105350051&origin=resultslist,10.1007/s00792-021-01230-3,Article,,2-s2.0-85105350051,33938983,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 60112837,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana-Lerma,57201800493,6506493418,6506493418,-,Mexico,1.0,1313| 2404,Molecular Medicine| Microbiology,5,Life Sciences & Medicine,507| 532,Biological Sciences| Medicine,32,Life Sciences,31,Biological Sciences,3107,Microbiology,-,Gut Microbiota and Its Role in Health,80,99.215,Human Milk Oligosaccharides and Infant Health,6732,97.995,Definitive,UAM,1.0
