Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Ramírez–López, Adán",56000891100,Heat removal analysis on steel billets and slabs produced by continuous casting using numerical simulation,"Ramírez-López, A.| Muñoz-Negrón, D.| Palomar-Pardavé, M.| Romero-Romo, M.A.| Gonzalez-Trejo, J.",5.0,56000891100| 7103163220| 6603788018| 6602576873| 57254140000,2017.0,2017-11-01,International Journal of Advanced Manufacturing Technology,93,5-8,1545-1565,-,ISSN-02683768,20428.0,Journal,Springer London,English,1.74,8,3.5,18,0.994,14,1.47,46.0,10.0,0.27,11.05,42.0,59.0,0.0,0.0,"Ramírez-López, A., Muñoz-Negrón, D., Palomar-Pardavé, M. and 2 more (...) (2017).Heat removal analysis on steel billets and slabs produced by continuous casting using numerical simulation. International Journal of Advanced Manufacturing Technology,93(5-8) 1545-1565",https://www.scopus.com/record/display.url?eid=2-s2.0-85020523816&origin=resultslist,10.1007/s00170-017-0556-y,Article,Hybrid gold,2-s2.0-85020523816,-,Mexico Autonomous Institute of Technology| Universidad Autónoma Metropolitana,703438| 505017,Academic,2.0,60030473| 60023193,ITAM - Instituto Tecnológico Autónomo de México| Universidad Autónoma Metropolitana - Azcapotzalco,56000891100,57254140000,56000891100,-,Mexico,1.0,1706| 1712| 2207| 2209| 2210,Computer Science Applications| Software| Control and Systems Engineering| Industrial and Manufacturing Engineering| Mechanical Engineering,2,Engineering & Technology,212| 213| 222,Computer Science & Information Systems| Data Science| Engineering - Mechanical,38| 36,Computer Science| Engineering,40| 49| 46,Engineering| Mathematical Sciences| Information And Computing Sciences,-,-,SDG 9,Steel Production and Quality Control,1052,21.779,Optimization of Continuous Casting Processes in Steel Production,7009,81.035,Definitive,Nacional,2.0
"Ramírez–López, Adán",56000891100,Dynamic formation of primary grain structures on squared steel billets produced by continuous casting (computer simulation),"Ramírez-López, A.| Muñoz-Negrón, D.| Palomar-Pardavé, M.| Romero-Romo, M.A.| Gonzalez-Trejo, J.",5.0,56000891100| 7103163220| 6603788018| 6602576873| 57254140000,2017.0,2017-07-01,International Journal of Advanced Manufacturing Technology,91,5-8,1709-1721,-,ISSN-02683768,20428.0,Journal,Springer London,English,1.74,8,3.5,18,0.994,14,1.59,53.0,0.0,0.0,11.05,82.0,72.0,0.0,0.0,"Ramírez-López, A., Muñoz-Negrón, D., Palomar-Pardavé, M. and 2 more (...) (2017).Dynamic formation of primary grain structures on squared steel billets produced by continuous casting (computer simulation). International Journal of Advanced Manufacturing Technology,91(5-8) 1709-1721",https://www.scopus.com/record/display.url?eid=2-s2.0-85006410803&origin=resultslist,10.1007/s00170-016-9885-5,Article,Hybrid gold,2-s2.0-85006410803,-,Universidad Autónoma Metropolitana| Mexico Autonomous Institute of Technology,505017| 703438,Academic,2.0,60030473| 60023193,ITAM - Instituto Tecnológico Autónomo de México| Universidad Autónoma Metropolitana - Azcapotzalco,56000891100,57254140000,56000891100,-,Mexico,1.0,1706| 1712| 2207| 2209| 2210,Computer Science Applications| Software| Control and Systems Engineering| Industrial and Manufacturing Engineering| Mechanical Engineering,2,Engineering & Technology,212| 213| 222,Computer Science & Information Systems| Data Science| Engineering - Mechanical,36| 38,Engineering| Computer Science,49| 40| 46,Mathematical Sciences| Engineering| Information And Computing Sciences,-,-,-,Solidification Dynamics in Aluminum Silicon Alloys,435,50.36,Solidification Dynamics in Superalloy Manufacturing,12864,83.619,Very Good,Nacional,2.0
