Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Morales, Jesus R.",7401857609,Bound state solutions of D-dimensional Schrödinger equation with exponential-type potentials,"Peña, J.J.| García-Martínez, J.| García-Ravelo, J.| Morales, J.",4.0,56365858300| 57202439755| 22934125400| 7401857609,2015.0,2015-02-01,International Journal of Quantum Chemistry,115,3,158-164,-,ISSN-00207608,24127.0,Journal,John Wiley and Sons Inc.,English,0.66,51,3.7,24,0.686,32,1.34,33.0,24.0,0.76,9.19,24.0,36.0,0.0,0.0,"Peña, J.J., García-Martínez, J., García-Ravelo, J. and 1 more (...) (2015).Bound state solutions of D-dimensional Schrödinger equation with exponential-type potentials. International Journal of Quantum Chemistry,115(3) 158-164",https://www.scopus.com/record/display.url?eid=2-s2.0-84919343307&origin=resultslist,10.1002/qua.24803,Article,,2-s2.0-84919343307,-,Universidad Autónoma Metropolitana| Instituto Politécnico Nacional,505017| 505011,Academic,2.0,60023193| 60019176,Universidad Autónoma Metropolitana - Azcapotzalco| Instituto Politécnico Nacional,56365858300,7401857609,56365858300,-,Mexico,1.0,1606| 3104| 3107,"Physical and Theoretical Chemistry| Condensed Matter Physics| Atomic and Molecular Physics, and Optics",4| 2,Natural Sciences| Engineering & Technology,249| 439| 409,Engineering - Petroleum| Physics & Astronomy| Chemistry,37,Physical Sciences,34,Chemical Sciences,3407| 3406,Theoretical and computational chemistry| Physical chemistry,-,Quark Gluon Plasma and Phase Transitions,175,57.619,Quantum Mechanics and Thermodynamic Properties of Complex Systems,2592,91.234,Definitive,Nacional,2.0
"Morales, Jesus R.",7401857609,Approximate ℓ-bound state solutions of q-deformed exponential-type potentials,"Peña, J.J.| García-Ravelo, J.| Ovando, G.| Morales, J.",4.0,56365858300| 22934125400| 6701706755| 7401857609,2020.0,2020-06-05,International Journal of Quantum Chemistry,120,11,-,e26189,ISSN-00207608,24127.0,Journal,John Wiley and Sons Inc.,English,0.76,47,3.4,43,0.484,47,0.85,19.0,2.0,0.08,11.79,68.0,75.0,0.0,0.0,"Peña, J.J., García-Ravelo, J., Ovando, G. and 1 more (...) (2020).Approximate ℓ-bound state solutions of q-deformed exponential-type potentials. International Journal of Quantum Chemistry,120(11) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85079723204&origin=resultslist,10.1002/qua.26189,Article,,2-s2.0-85079723204,-,Universidad Autónoma Metropolitana| Instituto Politécnico Nacional,505017| 505011,Academic,2.0,60023193| 60019176,Universidad Autónoma Metropolitana - Azcapotzalco| Instituto Politécnico Nacional,56365858300,7401857609,56365858300,-,Mexico,1.0,1606| 3104| 3107,"Physical and Theoretical Chemistry| Condensed Matter Physics| Atomic and Molecular Physics, and Optics",4| 2,Natural Sciences| Engineering & Technology,249| 409| 439,Engineering - Petroleum| Chemistry| Physics & Astronomy,37,Physical Sciences,34,Chemical Sciences,3406| 3407,Physical chemistry| Theoretical and computational chemistry,-,Quark Gluon Plasma and Phase Transitions,175,57.619,Quantum Mechanics and Thermodynamic Properties of Complex Systems,2592,91.234,Definitive,Nacional,2.0
