Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Águila, Marcos T.",14040181500,"Against the rules: collective and individual resistance on the Ferrocarriles Unidos de Yucatán, 1910-1935","Bortz, J.| Águila, M.",2.0,14039919000| 14040181500,2021.0,2021-01-01,Labor History,62,5-6,590-613,-,ISSN-0023656X,16859.0,Journal,Routledge,English,0.86,40,0.8,18,0.292,13,0.23,4.0,1.0,0.0,2.63,73.0,79.0,0.0,0.0,"Bortz, J., Águila, M. (2021).Against the rules: collective and individual resistance on the Ferrocarriles Unidos de Yucatán, 1910-1935. Labor History,62(5-6) 590-613",https://www.scopus.com/record/display.url?eid=2-s2.0-85106313127&origin=resultslist,10.1080/0023656X.2021.1917528,Article,Bronze,2-s2.0-85106313127,-,Appalachian State University| Universidad Autónoma Metropolitana,508004| 505017,Academic,2.0,60020441| 60010210,Appalachian State University| Universidad Autónoma Metropolitana Unidad Xochimilco,14039919000,14040181500,14039919000,-,Mexico| United States,2.0,1202| 1407,History| Organizational Behavior and Human Resource Management,3| 1,Social Sciences & Management| Arts & Humanities,308| 126,Business & Management Studies| History,33| 35,Arts and Humanities| Business and Economics,35| 43,"Commerce, Management, Tourism And Services| History, Heritage And Archaeology",3505| 4303,Human resources and industrial relations| Historical studies,SDG 8,Cultural Dynamics and Social Integration in Latin America,1456,4.709,Economic Dynamics and Social Change in Mexico,18028,20.247,Other,Internacional,1.0
"Águila, Marcos T.",14040181500,"Command and control at work: the evolution of the rules of work on Mexican railroads, 1883–1923","Bortz, J.| Aguila, M.",2.0,14039919000| 14040181500,2015.0,2015-10-20,Labor History,56,5,587-613,-,ISSN-0023656X,16859.0,Journal,Routledge,English,0.72,47,0.7,21,0.252,19,0.09,11.0,1.0,0.0,2.73,72.0,69.0,0.0,0.0,"Bortz, J., Aguila, M. (2015).Command and control at work: the evolution of the rules of work on Mexican railroads, 1883–1923. Labor History,56(5) 587-613",https://www.scopus.com/record/display.url?eid=2-s2.0-84978955061&origin=resultslist,10.1080/0023656X.2015.1116799,Article,,2-s2.0-84978955061,-,Appalachian State University| Universidad Autónoma Metropolitana,508004| 505017,Academic,2.0,60020441| 60014923,Appalachian State University| Universidad Autónoma Metropolitana,14039919000,14040181500,14039919000,-,Mexico| United States,2.0,1202| 1407,History| Organizational Behavior and Human Resource Management,1| 3,Arts & Humanities| Social Sciences & Management,308| 126,Business & Management Studies| History,33| 35,Arts and Humanities| Business and Economics,43| 35,"History, Heritage And Archaeology| Commerce, Management, Tourism And Services",4303| 3505,Historical studies| Human resources and industrial relations,SDG 8,Cultural Dynamics and Social Integration in Latin America,1456,4.709,Economic Dynamics and Social Change in Mexico,18028,20.247,Definitive,Internacional,1.0
