Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"de la Vega, Sergio",57459656300,"Transitions in activities of daily living in Mexico, 2001-2012","Díaz-Venegas, C.| De La Vega, S.| Wong, R.",3.0,36536835900| 57459656300| 8958293300,2015.0,2015-01-01,Salud Publica de Mexico,57,-,S54-S61,-,ISSN-00363634,19317.0,Journal,Instituto Nacional de Salud Publica,English,0.92,33,1.7,59,0.625,40,0.22,13.0,17.0,0.45,6.67,31.0,48.0,0.0,1.0,"Díaz-Venegas, C., De La Vega, S., Wong, R. (2015).Transitions in activities of daily living in Mexico, 2001-2012. Salud Publica de Mexico,57S54-S61",https://www.scopus.com/record/display.url?eid=2-s2.0-84930860233&origin=resultslist,10.21149/spm.v57s1.7590,Article,Gold|Green,2-s2.0-84930860233,26172235,Universidad Autónoma Metropolitana| University of Texas Medical Branch at Galveston,505017| 508350,Academic,2.0,60014569| 60010210| 115332371,The University of Texas Medical Branch at Galveston| Universidad Autónoma Metropolitana Unidad Xochimilco| The University of Texas Medical Branch,36536835900,8958293300,36536835900,-,Mexico| United States,2.0,2739,"Public Health, Environmental and Occupational Health",5,Life Sciences & Medicine,532,Medicine,34,Medical and Health,42,Health Sciences,4203| 4206,Health services and systems| Public health,-,Sarcopenia and Quality of Life in Patients,344,84.5,Disability and Health Status in Older Adults,5990,90.536,Very Good,Internacional,1.0
"de la Vega, Sergio",57459656300,The rural in the urban? Peri-urban locations in the Metropolitan Area of Mexico City,"Fernández, P.| de la Vega, S.",2.0,57195962053| 57459656300,2017.0,2017-09-01,Eure,43,130,185-206,-,ISSN-02507161,15162.0,Journal,Revista de Geografia Norte Grande,English| Spanish,2.2,5,1,49,0.38,35,1.43,68.0,14.0,0.57,7.07,35.0,44.0,0.0,0.0,"Fernández, P., de la Vega, S. (2017).The rural in the urban? Peri-urban locations in the Metropolitan Area of Mexico City. Eure,43(130) 185-206",https://www.scopus.com/record/display.url?eid=2-s2.0-85030549050&origin=resultslist,10.4067/s0250-71612017000300185,Article,Gold|Green,2-s2.0-85030549050,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60032442| 60010210,Universidad Nacional Autónoma de México| Universidad Autónoma Metropolitana Unidad Xochimilco,57195962053,57459656300,-,-,Mexico,1.0,3322,Urban Studies,3,Social Sciences & Management,106,Architecture,40,Social Sciences,33| 44,Built Environment And Design| Human Society,3304| 4406| 4407,Urban and regional planning| Human geography| Policy and administration,-,Place Attachment and Mental Health in Rural Communities,1367,31.131,Rural Development and Social Dynamics in Territories,24158,40.682,Very Good,Nacional,2.0
