Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"del Rocío Zárate-Hernández, María",57216822761,"Tropical deciduous forest pollen rain from El Picante hill, San José Tilapa, Puebla, Tehuacán-Cuicatlán Valley","León-Carreño, M.| Ramírez-Arriaga, E.| Martínez-Bernal, A.| Martínez-Hernández, E.| Del Rocío Zárate-Hernández, M.| Vasquez-Velasco, B.| Valiente-Banuet, A.",7.0,57216820691| 6506944086| 6505644141| 9740124600| 57216822761| 57216830265| 6701900493,2019.0,2019-01-01,Revista Mexicana de Biodiversidad,90,-,-,e903000,ISSN-18703453,4700152414.0,Journal,Universidad Nacional Autonoma de Mexico,Spanish,0.85,40,1.4,64,0.342,65,0.54,14.0,2.0,0.0,8.53,67.0,75.0,0.0,0.0,"León-Carreño, M., Ramírez-Arriaga, E., Martínez-Bernal, A. and 4 more (...) (2019).Tropical deciduous forest pollen rain from El Picante hill, San José Tilapa, Puebla, Tehuacán-Cuicatlán Valley. Revista Mexicana de Biodiversidad,90",https://www.scopus.com/record/display.url?eid=2-s2.0-85084830154&origin=resultslist,10.22201/IB.20078706E.2019.90.3000,Article,Gold|Green,2-s2.0-85084830154,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60032442| 60028381| 60174564,"Universidad Nacional Autónoma de México| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto de Ecología, UNAM",57216820691,6701900493,57216820691,-,Mexico,1.0,1105,"Ecology, Evolution, Behavior and Systematics",5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,41| 31,Environmental Sciences| Biological Sciences,3103| 4104| 3109,Ecology| Environmental management| Zoology,-,Diversity and Interactions in Forest Ecosystems,357,79.856,Diversity and Structure of Mexican Tropical Flora,15140,53.546,Defensible,Nacional,2.0
"del Rocío Zárate-Hernández, María",57216822761,Use of the macroalgae as a bio-stimulant for the growth of a legume (Trifolium repens) and a cereal (Triticum aestivum),"Jaimes-Duarte, I.| Álvarez-Hernández, S.| Jaramillo-Pérez, A.T.| del Rocío Zárate-Hernández, M.",4.0,58248852300| 6507529089| 55935751700| 57216822761,2022.0,2022-12-01,Hidrobiologica,32,3,341-352,-,ISSN-01888897,21100220106.0,Journal,Universidad Autonoma Metropolitana,Spanish,0.18,86,0.4,92,0.134,92,1.29,27.0,0.0,0.0,9.55,81.0,80.0,0.0,0.0,"Jaimes-Duarte, I., Álvarez-Hernández, S., Jaramillo-Pérez, A.T. and 1 more (...) (2022).Use of the macroalgae as a bio-stimulant for the growth of a legume (Trifolium repens) and a cereal (Triticum aestivum). Hidrobiologica,32(3) 341-352",https://www.scopus.com/record/display.url?eid=2-s2.0-85159379216&origin=resultslist,10.24275/UAM/IZT/DCBS/HIDRO/2022V32N3/JAIMES,Article,Gold,2-s2.0-85159379216,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,58248852300,57216822761,58248852300,-,Mexico,1.0,1104| 1105| 1910| 2303| 2312,"Aquatic Science| Ecology, Evolution, Behavior and Systematics| Oceanography| Ecology| Water Science and Technology",2| 4| 5,Engineering & Technology| Natural Sciences| Life Sciences & Medicine,450| 424| 416| 502,Geology| Environmental Sciences| Earth & Marine Sciences| Agriculture & Forestry,32| 37,Life Sciences| Physical Sciences,30| 31,"Agricultural, Veterinary And Food Sciences| Biological Sciences",3108| 3005| 3103,Plant biology| Fisheries sciences| Ecology,SDG 2| SDG 12,Plant Responses to Abiotic Stress Mechanisms,55,94.179,Enhancing Plant Growth with Seaweed Biostimulants,4837,99.028,Very Good,UAM,1.0
"del Rocío Zárate-Hernández, María",57216822761,Tissue biomarkers as vulnerability indicators in the clam polymesoda caroliniana,"Jerónimo-Juárez, J.R.| Matadamas-Guzman, M.L.| Guerrero Legarreta, I.| Segoviano-Ramírez, J.C.| Del Rocío Zarate-Hernández, M.| Arteaga-Silva, M.| Guzmán-García, X.",7.0,57222510667| 57201911222| 55989647900| 23969396700| 57216822761| 56113963800| 56000890600,2020.0,2020-01-01,Invertebrate Survival Journal,17,1,186-197,-,ISSN-1824307X,21100312405.0,Journal,Universita degli Studi di Modena e Reggio Emilia,English,0.53,62,1.8,48,0.277,69,0.27,5.0,0.0,0.0,6.47,83.0,78.0,0.0,0.0,"Jerónimo-Juárez, J.R., Matadamas-Guzman, M.L., Guerrero Legarreta, I. and 4 more (...) (2020).Tissue biomarkers as vulnerability indicators in the clam polymesoda caroliniana. Invertebrate Survival Journal,17(1) 186-197",https://www.scopus.com/record/display.url?eid=2-s2.0-85102936558&origin=resultslist,10.25431/1824-307X/isj.v0i0.186-197,Article,,2-s2.0-85102936558,-,Universidad Autonoma de Nuevo Leon| Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505013| 505017| 505023,Academic,3.0,60014923| 60032442| 60028381| 60025417,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma de Nuevo León,57222510667,56000890600,56000890600,-,Mexico,1.0,1103,Animal Science and Zoology,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,31| 32,Biological Sciences| Biomedical And Clinical Sciences,3204| 3109,Immunology| Zoology,-,Heavy Metal Impact on Aquatic Ecosystems,885,48.659,Biomarkers for Environmental Monitoring in Marine Ecosystems,5084,95.195,Very Good,Nacional,3.0
