Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Jaramillo, Alejandro Gómez",57211576929,Life imprisonment and predicting behavior. An analysis on crime against minors and penal policy in Colombia,"Montes, R.V.| Jaramillo, A.G.",2.0,57206274941| 57211576929,2018.0,2018-07-01,Revista Republicana,2018,25,241-263,-,ISSN-19094450,21100812584.0,Journal,Corporacion Universitaria Republicana,Spanish,0.1,90,0,95,0.101,98,3.98,121.0,26.0,3.74,5.08,21.0,5.0,0.0,0.0,"Montes, R.V., Jaramillo, A.G. (2018).Life imprisonment and predicting behavior. An analysis on crime against minors and penal policy in Colombia. Revista Republicana,2018(25) 241-263",https://www.scopus.com/record/display.url?eid=2-s2.0-85074501417&origin=resultslist,10.21017/Rev.Repub.2018.v25.a57,Article,Gold,2-s2.0-85074501417,-,Universidad Autónoma Metropolitana| University of Zaragoza,505017| 312035,Academic,2.0,60016809| 60014923,Universidad de Zaragoza| Universidad Autónoma Metropolitana,57206274941,57211576929,-,-,Spain| Mexico,2.0,3308| 3312,Law| Sociology and Political Science,3,Social Sciences & Management,342| 328,Sociology| Law and Legal Studies,40| 42,Social Sciences| Law,44| 48,Human Society| Law And Legal Studies,4804| 4803| 4402,Law| International and comparative law| Criminology,-,Justice and Democracy in Legal Frameworks,1332,11.118,Human Rights and Legal Frameworks in Colombia,55227,74.712,Definitive,Internacional,1.0
"Jaramillo, Alejandro Gómez",57211576929,Discovery in Colombia: Right to truth and justice for victims in criminal trial?,"Velandia Montes, R.| Gómez Jaramillo, A.| Solarte Cuncanchón, A.M.",3.0,57206274941| 57211576929| 58317159600,2022.0,2022-05-01,Boletin Mexicano de Derecho Comparado,55,164,269-287,-,ISSN-00418633,5800172268.0,Journal,Universidad Nacional Autonoma de Mexico,Spanish,0.31,78,0.1,90,0.111,86,1.07,20.0,0.0,0.0,4.21,81.0,80.0,0.0,0.0,"Velandia Montes, R., Gómez Jaramillo, A., Solarte Cuncanchón, A.M. (2022).Discovery in Colombia: Right to truth and justice for victims in criminal trial?. Boletin Mexicano de Derecho Comparado,55(164) 269-287",https://www.scopus.com/record/display.url?eid=2-s2.0-85162111707&origin=resultslist,10.22201/iij.24484873e.2022.164.18125,Article,Gold|Green,2-s2.0-85162111707,-,Universidad Autónoma Metropolitana| Universidad Cooperativa de Colombia| University of Zaragoza,505017| 706804| 312035,Academic,3.0,60016809| 60014923| 60087108,Universidad de Zaragoza| Universidad Autónoma Metropolitana| Universidad Cooperativa de Colombia,57206274941,58317159600,-,-,Mexico| Spain| Colombia,3.0,3308,Law,3,Social Sciences & Management,328,Law and Legal Studies,42,Law,48,Law And Legal Studies,4803| 4804| 4807,International and comparative law| Law| Public law,-,Justice and Democracy in Legal Frameworks,1332,11.118,Human Rights and Legal Frameworks in Colombia,55227,74.712,Other,Internacional,1.0
