Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Zúñiga-Aguilar, Esmeralda Saraí",55628067500,Organic-polymeric radial flow biorreactor for liver models,"Ramírez-Fernández, O.| Zúñiga-Aguilar, E.| Gómez-Quiroz, L.E.| Gutiérrez-Ruiz, M.C.| Godínez, R.",5.0,55628112600| 55628067500| 56000734700| 7004019071| 6505991168,2016.0,2016-09-01,Revista Mexicana de Ingenieria Biomedica,37,3,165-179,-,ISSN-01889532,21100200412.0,Journal,Sociedad Mexicana de Ingenieria Biomedica,English,0.04,92,0.3,95,0.116,93,0.92,42.0,3.0,0.11,8.88,62.0,68.0,0.0,0.0,"Ramírez-Fernández, O., Zúñiga-Aguilar, E., Gómez-Quiroz, L.E. and 2 more (...) (2016).Organic-polymeric radial flow biorreactor for liver models. Revista Mexicana de Ingenieria Biomedica,37(3) 165-179",https://www.scopus.com/record/display.url?eid=2-s2.0-84983607910&origin=resultslist,10.17488/RMIB.37.3.1,Article,Gold,2-s2.0-84983607910,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,55628112600,6505991168,55628112600,-,Mexico,1.0,2204,Biomedical Engineering,2,Engineering & Technology,507,Biological Sciences,36,Engineering,40| 32,Engineering| Biomedical And Clinical Sciences,4003| 3209| 4007,"Biomedical engineering| Neurosciences| Control engineering, mechatronics and robotics",-,Hepatocyte Dynamics in Liver Health and Disease,797,47.547,Hepatocyte Culture and Tissue Engineering,3917,86.636,Very Good,UAM,1.0
"Zúñiga-Aguilar, Esmeralda Saraí",55628067500,Superficial modification of biopolymeric scaffolds for tridimensional hepatic cell model,"Ramírez-Fernández, O.| Godínez, R.| Zuñiga-Aguilar, E.| Gómez-Quiroz, L.E.| Gutiérrez-Ruiz, M.C.| Morales, J.| Olayo, R.",7.0,55628112600| 6505991168| 55628067500| 56000734700| 7004019071| 57195064243| 7004460174,2015.0,2015-01-01,International Journal of Medical Engineering and Informatics,7,2,110-123,-,ISSN-17550653,19700175025.0,Journal,Inderscience Publishers,English,0.36,72,0.5,87,0.175,73,1.42,50.0,3.0,0.1,10.41,62.0,67.0,0.0,0.0,"Ramírez-Fernández, O., Godínez, R., Zuñiga-Aguilar, E. and 4 more (...) (2015).Superficial modification of biopolymeric scaffolds for tridimensional hepatic cell model. International Journal of Medical Engineering and Informatics,7(2) 110-123",https://www.scopus.com/record/display.url?eid=2-s2.0-84926612898&origin=resultslist,10.1504/IJMEI.2015.068505,Article,,2-s2.0-84926612898,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,55628112600,7004460174,55628112600,-,Mexico,1.0,2204| 2502| 2701| 2718,Biomedical Engineering| Biomaterials| Medicine (miscellaneous)| Health Informatics,4| 5| 2,Natural Sciences| Life Sciences & Medicine| Engineering & Technology,507| 532| 433,Biological Sciences| Medicine| Materials Science,36| 34,Engineering| Medical and Health,46| 40,Information And Computing Sciences| Engineering,4003| 4601,Biomedical engineering| Applied computing,-,Conductive Polymers and Their Multifaceted Applications,963,32.832,Conductive Polymers in Tissue Engineering Applications,11678,96.123,Defensible,UAM,1.0
"Zúñiga-Aguilar, Esmeralda Saraí",55628067500,Cell cocultures on coated scaffolds applied to liver models,"Ramírez-Fernández, O.| Godínez, R.| Zuñiga-Aguilar, E.| Gómez-Quiroz, L.E.| Gutiérrez-Ruiz, M.C.| Morales, J.| Olayo, R.",7.0,55628112600| 6505991168| 55628067500| 56000734700| 7004019071| 57195064243| 7004460174,2017.0,2017-01-01,International Journal of Medical Engineering and Informatics,9,4,332-350,-,ISSN-17550653,19700175025.0,Journal,Inderscience Publishers,English,0.32,76,0.5,82,0.181,74,0.58,23.0,2.0,0.0,11.64,67.0,72.0,0.0,0.0,"Ramírez-Fernández, O., Godínez, R., Zuñiga-Aguilar, E. and 4 more (...) (2017).Cell cocultures on coated scaffolds applied to liver models. International Journal of Medical Engineering and Informatics,9(4) 332-350",https://www.scopus.com/record/display.url?eid=2-s2.0-85030695952&origin=resultslist,10.1504/IJMEI.2017.086895,Article,,2-s2.0-85030695952,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,55628112600,7004460174,55628112600,-,Mexico,1.0,2204| 2502| 2701| 2718,Biomedical Engineering| Biomaterials| Medicine (miscellaneous)| Health Informatics,4| 5| 2,Natural Sciences| Life Sciences & Medicine| Engineering & Technology,433| 532| 507,Materials Science| Medicine| Biological Sciences,34| 36,Medical and Health| Engineering,46| 40,Information And Computing Sciences| Engineering,4601| 4003,Applied computing| Biomedical engineering,-,Conductive Polymers and Their Multifaceted Applications,963,32.832,Conductive Polymers in Tissue Engineering Applications,11678,96.123,Defensible,UAM,1.0
