Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Contreras-Larios, José Luis",57192927181,"Selective adsorption of aqueous diclofenac sodium, naproxen sodium, and ibuprofen using a stable Fe3O4-FeBTC metal-organic frameworka","Ramírez, A.A.C.| García, E.R.| Medina, R.L.| Contreras Larios, J.L.| Parra, R.S.| Franco, A.M.M.",6.0,57223357792| 57223359002| 7101786521| 57192927181| 6507668874| 56486124700,2021.0,2021-05-01,Materials,14,9,-,2293,ISSN-19961944,76627.0,Journal,MDPI AG,English,1.13,26,4.7,32,0.604,35,1.43,42.0,45.0,2.12,14.15,8.0,12.0,0.0,0.0,"Ramírez, A.A.C., García, E.R., Medina, R.L. and 3 more (...) (2021).Selective adsorption of aqueous diclofenac sodium, naproxen sodium, and ibuprofen using a stable Fe3O4-FeBTC metal-organic frameworka. Materials,14(9) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85105727124&origin=resultslist,10.3390/ma14092293,Article,Gold|Green,2-s2.0-85105727124,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60023193| 60028381| 60032442,Universidad Autónoma Metropolitana - Azcapotzalco| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México,57223357792,56486124700,57223357792,-,Mexico,1.0,2500| 3104,General Materials Science| Condensed Matter Physics,2| 4,Engineering & Technology| Natural Sciences,433| 439,Materials Science| Physics & Astronomy,37| 36,Physical Sciences| Engineering,34| 40,Chemical Sciences| Engineering,-,-,SDG 6,Metal-Organic Frameworks in Environmental Applications,99,98.496,Metal-Organic Frameworks for Water Contaminant Removal,15456,99.479,Defensible,Nacional,2.0
"Contreras-Larios, José Luis",57192927181,Separation of N-C5H12-C9H20 Paraffins using boehmite by inverse Gas Chromatography,"Contreras-Larios, J.L.| Infantes-Molina, A.| Negrete-Melo, L.A.| Labadie-Suárez, J.M.| Yee-Madeira, H.T.| Autie-Pérez, M.A.| Rodríguez-Castellón, E.",7.0,57192927181| 58075129600| 57209282427| 56998664100| 6603737439| 23026576000| 7006359835,2019.0,2019-05-01,Applied Sciences (Switzerland),9,9,-,1810,ISSN-20763417,21100829268.0,Journal,MDPI AG,English,1.09,26,2.4,29,0.418,22,0.72,23.0,4.0,0.18,11.28,57.0,66.0,0.0,0.0,"Contreras-Larios, J.L., Infantes-Molina, A., Negrete-Melo, L.A. and 4 more (...) (2019).Separation of N-C5H12-C9H20 Paraffins using boehmite by inverse Gas Chromatography. Applied Sciences (Switzerland),9(9) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85067196336&origin=resultslist,10.3390/app9091810,Article,Gold|Green,2-s2.0-85067196336,-,CSIC| CSIC - Institute of Catalysis and Petrochemistry| Universidad Autónoma Metropolitana| University of Málaga| Instituto Politécnico Nacional,312004| 715433| 505017| 312027| 505011,Academic| Government,5.0,60023193| 60021246| 60003662| 60006754| 122111733| 60019176,Universidad Autónoma Metropolitana - Azcapotzalco| CSIC - Instituto de Catálisis y Petroleoquímica (ICP)| Universidad de Málaga| Consejo Superior de Investigaciones Científicas| Universidad de La Habana| Instituto Politécnico Nacional,57192927181,7006359835,23026576000,-,Mexico| Spain| Cuba,3.0,1507| 1508| 1706| 2200| 2500| 3105,Fluid Flow and Transfer Processes| Process Chemistry and Technology| Computer Science Applications| General Engineering| General Materials Science| Instrumentation,4| 2,Natural Sciences| Engineering & Technology,433| 213| 439| 219| 249| 212,Materials Science| Data Science| Physics & Astronomy| Engineering - Chemical| Engineering - Petroleum| Computer Science & Information Systems,37| 38| 36,Physical Sciences| Computer Science| Engineering,MD,Multidisciplinary,MD,Multidisciplinary,-,Catalytic Innovations in Diesel Emission Control,645,72.008,Mesoporous Alumina Structures for Environmental Applications,6507,87.862,Very Good,Internacional,2.0
"Contreras-Larios, José Luis",57192927181,Catalytic Pyrolysis Process to Produce Styrene from Waste Expanded Polystyrene Using a Semi-Batch Rotary Reactor,"Pérez-Bravo, G.| Contreras-Larios, J.L.| Rodríguez, J.F.| Zeifert-Soares, B.| Angeles-Beltrán, D.| López-Medina, R.| Vázquez-Rodríguez, T.| Salmones-Blasquez, J.",8.0,57984036300| 57192927181| 57983331200| 57983331300| 15049353600| 35322846400| 57983797400| 57982627000,2022.0,2022-11-01,Sustainability (Switzerland),14,22,-,14914,ISSN-20711050,21100240100.0,Journal,MDPI,English,1.19,22,5.8,13,0.664,25,0.95,30.0,4.0,0.14,14.17,51.0,73.0,0.0,0.0,"Pérez-Bravo, G., Contreras-Larios, J.L., Rodríguez, J.F. and 5 more (...) (2022).Catalytic Pyrolysis Process to Produce Styrene from Waste Expanded Polystyrene Using a Semi-Batch Rotary Reactor. Sustainability (Switzerland),14(22) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85142763085&origin=resultslist,10.3390/su142214914,Article,Gold|Green,2-s2.0-85142763085,-,Universidad Autónoma Metropolitana| Instituto Politécnico Nacional,505017| 505011,Academic,2.0,60023193| 128914362| 60019176| 60006489,Universidad Autónoma Metropolitana - Azcapotzalco| Biomex Solutions| Instituto Politécnico Nacional| Escuela Superior de Ingenieria Quimica e Industrias Extractivas,57984036300,57982627000,57192927181,-,Mexico,1.0,1701| 1705| 1708| 2102| 2105| 2215| 2301| 2308| 3305,"Computer Science (miscellaneous)| Computer Networks and Communications| Hardware and Architecture| Energy Engineering and Power Technology| Renewable Energy, Sustainability and the Environment| Building and Construction| Environmental Science (miscellaneous)| Management, Monitoring, Policy and Law| Geography, Planning and Development",3| 2,Social Sciences & Management| Engineering & Technology,424| 212| 221| 106| 425| 249| 220,Environmental Sciences| Computer Science & Information Systems| Engineering - Electrical & Electronic| Architecture| Geography| Engineering - Petroleum| Engineering - Civil & Structural,37| 40| 36| 38,Physical Sciences| Social Sciences| Engineering| Computer Science,MD,Multidisciplinary,MD,Multidisciplinary,-,Thermal Decomposition and Energetic Material Properties,637,88.685,Catalytic Pyrolysis of Plastic Waste for Energy Recovery,2748,99.689,Definitive,Nacional,2.0
"Contreras-Larios, José Luis",57192927181,A biotechnological process for obtaining citric acid through paper cellulose aerobic bioreaction,"Gil, R.G.| Correa, H.S.| Contreras Larios, J.L.| González-Brambila, M.M.",4.0,57219565954| 36630004200| 57192927181| 56013877200,2020.0,2020-08-01,International Journal of Chemical Reactor Engineering,18,8,-,20200027,ISSN-15426580,130033.0,Journal,De Gruyter Open Ltd,English,0.47,66,2,56,0.268,61,0.51,16.0,3.0,0.2,14.64,62.0,65.0,0.0,0.0,"Gil, R.G., Correa, H.S., Contreras Larios, J.L. and 1 more (...) (2020).A biotechnological process for obtaining citric acid through paper cellulose aerobic bioreaction. International Journal of Chemical Reactor Engineering,18(8) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85093947945&origin=resultslist,10.1515/ijcre-2020-0027,Article,,2-s2.0-85093947945,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60023193,Universidad Autónoma Metropolitana - Azcapotzalco,57219565954,56013877200,56013877200,-,Mexico,1.0,1500,General Chemical Engineering,2,Engineering & Technology,219,Engineering - Chemical,36,Engineering,40,Engineering,4004,Chemical engineering,SDG 11,Microalgae Utilization for Lipid Production and Wastewater Treatment,554,92.283,Citric Acid Production by Aspergillus Niger,19708,79.222,Definitive,UAM,1.0
