Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"Osorio, Jaime Alberto",15830071100,About super-exploitation and dependent capitalism,"Osorio, J.",1.0,15830071100,2018.0,2018-09-01,Caderno CRH,31,84,483-500,-,ISSN-01034979,5600152968.0,Journal,EDUFBA - Editora Universttaria,Portuguese,0.68,52,0.2,57,0.196,29,0.23,9.0,3.0,0.0,3.73,63.0,74.0,0.0,0.0,"Osorio, J. (2018).About super-exploitation and dependent capitalism. Caderno CRH,31(84) 483-500",https://www.scopus.com/record/display.url?eid=2-s2.0-85060540841&origin=resultslist,10.1590/s0103-49792018000300004,Article,Gold|Green,2-s2.0-85060540841,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60010210,Universidad Autónoma Metropolitana Unidad Xochimilco,-,-,15830071100,15830071100,Mexico,1.0,3312| 3316,Sociology and Political Science| Cultural Studies,3,Social Sciences & Management,342| 311,Sociology| Communication & Media Studies,40,Social Sciences,38| 44,Economics| Human Society,4410| 3899| 4401,Sociology| Other economics| Anthropology,-,Populism and Political Dynamics in Democracy,1382,40.942,Marxist Perspectives on Dependency in Latin America,29110,50.875,Definitive,Personal,1.0
"Osorio, Jaime Alberto",15830071100,Latin America in the mirror of South Korean and Chinese development,"Osorio, J.",1.0,15830071100,2015.0,2015-01-01,Problemas del Desarrollo,46,182,143-163,-,ISSN-03017036,23554.0,Journal,Universidad Nacional Autonoma de Mexico,Spanish,0.85,37,0.3,86,0.219,63,0.55,41.0,2.0,0.18,5.5,66.0,62.0,0.0,0.0,"Osorio, J. (2015).Latin America in the mirror of South Korean and Chinese development. Problemas del Desarrollo,46(182) 143-163",https://www.scopus.com/record/display.url?eid=2-s2.0-84936143264&origin=resultslist,10.1016/j.rpd.2015.04.002,Article,Gold|Green,2-s2.0-84936143264,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60010210,Universidad Autónoma Metropolitana Unidad Xochimilco,-,-,15830071100,15830071100,Mexico,1.0,2002| 3303,Economics and Econometrics| Development,3,Social Sciences & Management,317| 315,Economics & Econometrics| Development Studies,40| 35,Social Sciences| Business and Economics,38,Economics,3802| 3801| 3803,Econometrics| Applied economics| Economic theory,-,Populism and Political Dynamics in Democracy,1382,40.942,Marxist Perspectives on Dependency in Latin America,29110,50.875,Definitive,Personal,1.0
