Autor,Scopus author ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Colaboracion,Number of national institutions
"del Ángel-Montes, Gloria A.",7003507230,Effect of the Pt oxidation state and Ce3+/Ce4+ ratio on the Pt/TiO2-CeO2 catalysts in the phenol degradation by catalytic wet air oxidation (CWAO),"Rocha, M.A.L.| Del Ángel, G.| Torres-Torres, G.| Cervantes, A.| Vázquez, A.| Arrieta, A.| Beltramini, J.N.",7.0,56411609600| 7003507230| 57271289000| 56966768800| 7202666408| 56411741500| 35565264000,2015.0,2015-07-15,Catalysis Today,250,-,145-154,-,ISSN-09205861,16377.0,Journal,Elsevier,English,1.42,13,6.9,11,1.335,12,2.72,105.0,75.0,1.46,16.39,7.0,20.0,0.0,0.0,"Rocha, M.A.L., Del Ángel, G., Torres-Torres, G. and 4 more (...) (2015).Effect of the Pt oxidation state and Ce3+/Ce4+ ratio on the Pt/TiO2-CeO2 catalysts in the phenol degradation by catalytic wet air oxidation (CWAO). Catalysis Today,250145-154",https://www.scopus.com/record/display.url?eid=2-s2.0-84929581810&origin=resultslist,10.1016/j.cattod.2014.09.016,Article,,2-s2.0-84929581810,-,Universidad Autónoma Metropolitana| University of Queensland| Universidad Juarez Autonoma de Tabasco| ARC Centre of Excellence for Functional Nanomaterials,505017| 201029| 705961| 722390,Academic,4.0,60028381| 60025378| 60031004| 60082884,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Juárez Autónoma de Tabasco| The University of Queensland| ARC Centre of Excellence for Functional Nanomaterials,56411609600,35565264000,57271289000,-,Mexico| Australia,2.0,1503| 1600,Catalysis| General Chemistry,2| 4,Engineering & Technology| Natural Sciences,409| 249| 219,Chemistry| Engineering - Petroleum| Engineering - Chemical,37| 36,Physical Sciences| Engineering,40| 34,Engineering| Chemical Sciences,-,-,-,Innovative Approaches in Wastewater Treatment Technologies,433,93.264,Catalytic Wet Oxidation for Wastewater Treatment,10052,86.761,Definitive,Internacional,2.0
"del Ángel-Montes, Gloria A.",7003507230,"Catalytic wet air oxidation of phenol over metal catalyst (Ru,Pt) supported on TiO2-CeO2 oxides","Monteros, A.E.D.L.| Lafaye, G.| Cervantes, A.| Del Angel, G.| Barbier, J.| Torres, G.",6.0,55654713700| 6602525168| 56966768800| 7003507230| 7202670820| 57271289000,2015.0,2015-10-25,Catalysis Today,258,-,564-569,-,ISSN-09205861,16377.0,Journal,Elsevier B.V.,English,1.42,13,6.9,11,1.335,12,3.64,129.0,69.0,1.34,16.39,8.0,22.0,0.0,0.0,"Monteros, A.E.D.L., Lafaye, G., Cervantes, A. and 3 more (...) (2015).Catalytic wet air oxidation of phenol over metal catalyst (Ru,Pt) supported on TiO2-CeO2 oxides. Catalysis Today,258564-569",https://www.scopus.com/record/display.url?eid=2-s2.0-84945449687&origin=resultslist,10.1016/j.cattod.2015.01.009,Article,,2-s2.0-84945449687,-,Université de Poitiers| Universidad Autónoma Metropolitana| Universidad Juarez Autonoma de Tabasco,314062| 505017| 705961,Academic,3.0,60032653| 60025378| 60028381,Université de Poitiers| Universidad Juárez Autónoma de Tabasco| Universidad Autónoma Metropolitana -Unidad Iztapalapa,55654713700,57271289000,6602525168,-,Mexico| France,2.0,1503| 1600,Catalysis| General Chemistry,4| 2,Natural Sciences| Engineering & Technology,249| 219| 409,Engineering - Petroleum| Engineering - Chemical| Chemistry,37| 36,Physical Sciences| Engineering,34| 40,Chemical Sciences| Engineering,-,-,-,Innovative Approaches in Wastewater Treatment Technologies,433,93.264,Catalytic Wet Oxidation for Wastewater Treatment,10052,86.761,Definitive,Internacional,2.0
"del Ángel-Montes, Gloria A.",7003507230,"Synthesis and characterization of Sn doped TiO2 photocatalysts: Effect of Sn concentration on the textural properties and on the photocatalytic degradation of 2,4-dichlorophenoxyacetic acid","Rangel-Vázquez, I.| Del Angel, G.| Bertin, V.| González, F.| Vázquez-Zavala, A.| Arrieta, A.| Padilla, J.M.| Barrera, A.| Ramos-Ramirez, E.",9.0,57914707400| 7003507230| 55989749000| 56000780400| 6602968745| 56411741500| 55217127000| 58698900500| 55989786900,2015.0,2015-06-14,Journal of Alloys and Compounds,643,1,S144-S149,-,ISSN-09258388,12325.0,Journal,Elsevier Ltd,English,1.42,14,4.6,7,0.957,12,3.81,142.0,54.0,2.39,7.96,11.0,10.0,0.0,0.0,"Rangel-Vázquez, I., Del Angel, G., Bertin, V. and 6 more (...) (2015).Synthesis and characterization of Sn doped TiO2 photocatalysts: Effect of Sn concentration on the textural properties and on the photocatalytic degradation of 2,4-dichlorophenoxyacetic acid. Journal of Alloys and Compounds,643(1) S144-S149",https://www.scopus.com/record/display.url?eid=2-s2.0-84930925682&origin=resultslist,10.1016/j.jallcom.2014.12.065,Article,,2-s2.0-84930925682,-,Universidad de Guanajuato| Universidad Autónoma Metropolitana| Universidad de Guadalajara,505020| 505017| 505019,Academic,3.0,60028381| 114334942| 60008943| 60033291,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Tecnológica del Centro de| Universidad de Guadalajara| Universidad de Guanajuato,57914707400,55989786900,7003507230,-,Mexico,1.0,2210| 2211| 2505| 2506,Mechanical Engineering| Mechanics of Materials| Materials Chemistry| Metals and Alloys,2| 4,Engineering & Technology| Natural Sciences,222| 433,Engineering - Mechanical| Materials Science,36,Engineering,40| 51,Engineering| Physical Sciences,4016| 5104,Materials engineering| Condensed matter physics,-,Photocatalytic Properties of Titanium Dioxide Structures,62,94.768,Photocatalytic Innovations in Titanium Dioxide Applications,47,98.985,Very Good,Nacional,3.0
"del Ángel-Montes, Gloria A.",7003507230,Photocatalytic removal of 4-chlorophenol present in water using ZrO2/LDH under UV light source,"Melchor-Lagar, V.| Ramos-Ramírez, E.| Morales-Pérez, A.-A.| Rangel-Vázquez, I.| Del Angel, G.",5.0,57212136925| 55989786900| 56966554600| 57914707400| 7003507230,2020.0,2020-02-15,Journal of Photochemistry and Photobiology A: Chemistry,389,-,-,112251,ISSN-10106030,26966.0,Journal,Elsevier B.V.,English,0.87,40,6.5,12,0.714,25,2.97,96.0,31.0,1.54,15.56,15.0,17.0,0.0,0.0,"Melchor-Lagar, V., Ramos-Ramírez, E., Morales-Pérez, A.-A. and 2 more (...) (2020).Photocatalytic removal of 4-chlorophenol present in water using ZrO2/LDH under UV light source. Journal of Photochemistry and Photobiology A: Chemistry,389",https://www.scopus.com/record/display.url?eid=2-s2.0-85076012905&origin=resultslist,10.1016/j.jphotochem.2019.112251,Article,,2-s2.0-85076012905,-,Universidad de Guanajuato| Universidad Autónoma Metropolitana,505020| 505017,Academic,2.0,60028381| 60033291,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad de Guanajuato,57212136925,7003507230,55989786900,-,Mexico,1.0,1500| 1600| 3100,General Chemical Engineering| General Chemistry| General Physics and Astronomy,2| 4,Engineering & Technology| Natural Sciences,409| 439| 219,Chemistry| Physics & Astronomy| Engineering - Chemical,37| 36,Physical Sciences| Engineering,40| 34| 31,Engineering| Chemical Sciences| Biological Sciences,-,-,-,Photocatalytic Innovations in Carbon Dioxide Reduction,240,99.804,Photocatalytic Innovations in Layered Double Hydroxides,39180,94.103,Defensible,Nacional,2.0
"del Ángel-Montes, Gloria A.",7003507230,Alumina coating with TiO2 and its effect on catalytic photodegradation of phenol and p-cresol,"Gómez, C.M.| Angel, G.D.| Ramos-Ramírez, E.| Rangel-Vázquez, I.| González, F.| Arrieta, A.| Vázquez-Zavala, A.| Bonilla-Sánchez, A.| Sánchez Cantú, M.",9.0,57190028193| 7003507230| 55989786900| 57914707400| 56000780400| 56411741500| 6602968745| 50061011000| 56002658100,2016.0,2016-08-01,Journal of Chemical Technology and Biotechnology,91,8,2211-2220,-,ISSN-02682575,16083.0,Journal,John Wiley and Sons Ltd,English,1.16,21,5,13,0.854,16,3.46,135.0,19.0,0.63,11.07,28.0,41.0,0.0,0.0,"Gómez, C.M., Angel, G.D., Ramos-Ramírez, E. and 6 more (...) (2016).Alumina coating with TiO2 and its effect on catalytic photodegradation of phenol and p-cresol. Journal of Chemical Technology and Biotechnology,91(8) 2211-2220",https://www.scopus.com/record/display.url?eid=2-s2.0-84976554171&origin=resultslist,10.1002/jctb.5025,Article,,2-s2.0-84976554171,-,Benemerita Universidad Autonoma de Puebla| Universidad de Guanajuato| Universidad Autónoma Metropolitana,505001| 505020| 505017,Academic,3.0,60033291| 60028381| 60024830,Universidad de Guanajuato| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Benemérita Universidad Autónoma de Puebla,57190028193,56002658100,57190028193,-,Mexico,1.0,1305| 1500| 1604| 1605| 2103| 2105| 2310| 2311,"Biotechnology| General Chemical Engineering| Inorganic Chemistry| Organic Chemistry| Fuel Technology| Renewable Energy, Sustainability and the Environment| Pollution| Waste Management and Disposal",4| 2| 3| 5,Natural Sciences| Engineering & Technology| Social Sciences & Management| Life Sciences & Medicine,424| 221| 249| 219| 409| 507,Environmental Sciences| Engineering - Electrical & Electronic| Engineering - Petroleum| Engineering - Chemical| Chemistry| Biological Sciences,37| 36| 32,Physical Sciences| Engineering| Life Sciences,MD,Multidisciplinary,MD,Multidisciplinary,-,Photocatalytic Properties of Titanium Dioxide Structures,62,94.768,Mesoporous Titanium Dioxide Photocatalysts for Environmental Applications,86323,65.968,Defensible,Nacional,3.0
"del Ángel-Montes, Gloria A.",7003507230,High selectivity to hydrogen on the methane decomposition over Rh/γ-Al2O3–Nd2O3 catalysts,"Caballero, M.| Del Angel, G.| Bonilla-Sánchez, A.| Rangel-Vázquez, I.| Arrieta, A.| Vázquez-Zavala, A.| Huerta, L.| Salgado, M.",8.0,57192304788| 7003507230| 50061011000| 57914707400| 56411741500| 6602968745| 6603814057| 7102741696,2016.0,2016-12-28,International Journal of Hydrogen Energy,41,48,23247-23259,-,ISSN-03603199,26991.0,Journal,Elsevier Ltd,English,1.3,16,6,8,1.145,11,2.72,108.0,14.0,0.44,11.46,35.0,49.0,0.0,0.0,"Caballero, M., Del Angel, G., Bonilla-Sánchez, A. and 5 more (...) (2016).High selectivity to hydrogen on the methane decomposition over Rh/γ-Al2O3–Nd2O3 catalysts. International Journal of Hydrogen Energy,41(48) 23247-23259",https://www.scopus.com/record/display.url?eid=2-s2.0-85004147129&origin=resultslist,10.1016/j.ijhydene.2016.10.001,Article,,2-s2.0-85004147129,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60028381| 60032442| 60005971,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México| Instituto de Investigaciones en Materiales,57192304788,7102741696,7003507230,-,Mexico,1.0,2102| 2103| 2105| 3104,"Energy Engineering and Power Technology| Fuel Technology| Renewable Energy, Sustainability and the Environment| Condensed Matter Physics",4| 2,Natural Sciences| Engineering & Technology,221| 439| 249,Engineering - Electrical & Electronic| Physics & Astronomy| Engineering - Petroleum,36| 37,Engineering| Physical Sciences,34| 40,Chemical Sciences| Engineering,-,-,-,Carbon Nanotubes in Advanced Material Applications,19,88.62,Catalytic Methane Decomposition for Hydrogen Production,9190,98.499,Very Good,Nacional,2.0
"del Ángel-Montes, Gloria A.",7003507230,Hydrogen production by methane decomposition on Pt/γ-alumina doped with neodymium catalysts and its kinetic study,"Caballero, M.| Del Angel, G.| Rangel-Vázquez, I.| Huerta, L.",4.0,57192304788| 7003507230| 57914707400| 6603814057,2020.0,2020-06-01,Catalysis Today,349,-,106-116,-,ISSN-09205861,16377.0,Journal,Elsevier B.V.,English,1.43,15,10.2,11,1.397,12,1.78,101.0,14.0,0.28,21.33,32.0,60.0,0.0,0.0,"Caballero, M., Del Angel, G., Rangel-Vázquez, I. and 1 more (...) (2020).Hydrogen production by methane decomposition on Pt/γ-alumina doped with neodymium catalysts and its kinetic study. Catalysis Today,349106-116",https://www.scopus.com/record/display.url?eid=2-s2.0-85047242548&origin=resultslist,10.1016/j.cattod.2018.05.024,Article,,2-s2.0-85047242548,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60028381| 60032442,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México,57192304788,6603814057,57192304788,-,Mexico,1.0,1503| 1600,Catalysis| General Chemistry,4| 2,Natural Sciences| Engineering & Technology,219| 249| 409,Engineering - Chemical| Engineering - Petroleum| Chemistry,37| 36,Physical Sciences| Engineering,34| 40,Chemical Sciences| Engineering,-,-,SDG 7,Carbon Nanotubes in Advanced Material Applications,19,88.62,Catalytic Methane Decomposition for Hydrogen Production,9190,98.499,Very Good,Nacional,2.0
"del Ángel-Montes, Gloria A.",7003507230,"Activated Hydrotalcites Obtained by Coprecipitation as Photocatalysts for the Degradation of 2,4,6-Trichlorophenol","Ramos-Ramírez, E.| Gutiérrez-Ortega, N.| Tzompantzi, F.| Gómez, C.M.| Del Angel, G.| Herrera-Pérez, G.| Serafín-Muñoz, A.H.| Tzompantzi-Flores, C.",8.0,55989786900| 55748649100| 55993626500| 57190028193| 7003507230| 55634602000| 8649195400| 57205183413,2018.0,2018-01-01,Advances in Materials Science and Engineering,2018,-,-,8267631,ISSN-16878434,17700156760.0,Journal,Hindawi Limited,English,0.83,41,1.8,36,0.342,26,1.46,44.0,14.0,0.1,9.93,34.0,71.0,0.0,0.0,"Ramos-Ramírez, E., Gutiérrez-Ortega, N., Tzompantzi, F. and 5 more (...) (2018).Activated Hydrotalcites Obtained by Coprecipitation as Photocatalysts for the Degradation of 2,4,6-Trichlorophenol. Advances in Materials Science and Engineering,2018",https://www.scopus.com/record/display.url?eid=2-s2.0-85058979193&origin=resultslist,10.1155/2018/8267631,Article,Gold|Green,2-s2.0-85058979193,-,Universidad de Guanajuato| Universidad Autónoma Metropolitana| Instituto Tecnológico Superior de Irapuato,505020| 505017| 714706,Academic,3.0,60033291| 60028381| 60095247,Universidad de Guanajuato| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto Tecnológico Superior de Irapuato,55989786900,57205183413,55989786900,-,Mexico,1.0,2200| 2500,General Engineering| General Materials Science,2,Engineering & Technology,433,Materials Science,36,Engineering,34| 40| 51,Chemical Sciences| Engineering| Physical Sciences,-,-,-,Photocatalytic Innovations in Carbon Dioxide Reduction,240,99.804,Photocatalytic Innovations in Layered Double Hydroxides,39180,94.103,Defensible,Nacional,3.0
"del Ángel-Montes, Gloria A.",7003507230,"Photodegradation of 2,4-D (dichlorophenoxyacetic acid) with Rh/TiO2; comparative study with other noble metals (Ru, Pt, and Au)","Reguero-Márquez, G.A.| Lunagómez-Rocha, M.A.| Cervantes-Uribe, A.| Angel, G.D.| Rangel, I.| Torres-Torres, J.G.| González, F.| Godavarthi, S.| Arevalo-Perez, J.C.| Espinosa de los Monteros, A.E.| Silahua-Pavon, A.A.",11.0,57914273300| 56651017600| 57205438249| 7003507230| 57914707400| 57271289000| 56000780400| 55202115100| 57205563773| 55654713700| 57204893366,2022.0,2022-09-09,RSC Advances,12,39,25711-25721,-,ISSN-20462069,21100199840.0,Journal,Royal Society of Chemistry,English,0.85,39,6.8,22,0.678,26,1.5,36.0,11.0,0.55,16.41,28.0,46.0,0.0,0.0,"Reguero-Márquez, G.A., Lunagómez-Rocha, M.A., Cervantes-Uribe, A. and 8 more (...) (2022).Photodegradation of 2,4-D (dichlorophenoxyacetic acid) with Rh/TiO2; comparative study with other noble metals (Ru, Pt, and Au). RSC Advances,12(39) 25711-25721",https://www.scopus.com/record/display.url?eid=2-s2.0-85139179966&origin=resultslist,10.1039/d2ra03552a,Article,Gold|Green,2-s2.0-85139179966,-,Universidad Autónoma Metropolitana| Universidad Juarez Autonoma de Tabasco,505017| 705961,Academic,2.0,60025378| 60028381,Universidad Juárez Autónoma de Tabasco| Universidad Autónoma Metropolitana -Unidad Iztapalapa,57914273300,57204893366,57204893366,-,Mexico,1.0,1500| 1600,General Chemical Engineering| General Chemistry,4| 2,Natural Sciences| Engineering & Technology,409| 219,Chemistry| Engineering - Chemical,36| 37,Engineering| Physical Sciences,34,Chemical Sciences,-,-,-,Photocatalytic Properties of Titanium Dioxide Structures,62,94.768,Mesoporous Titanium Dioxide Photocatalysts for Environmental Applications,86323,65.968,Definitive,Nacional,2.0
"del Ángel-Montes, Gloria A.",7003507230,Photodegradation and Mineralization of Phenol Using TiO2Coated γ-Al2O3: Effect of Thermic Treatment,"Martinez-Gómez, C.| Rangel-Vazquez, I.| Zarraga, R.| Del Ángel, G.| Ruíz-Camacho, B.| Tzompantzi, F.| Vidal-Robles, E.| Perez-Larios, A.",8.0,57190028193| 57914707400| 57208457712| 7003507230| 37119311000| 55993626500| 57193117276| 58556366400,2022.0,2022-06-01,Processes,10,6,-,1186,ISSN-22279717,21100838131.0,Journal,MDPI,English,0.97,32,4.7,34,0.529,34,1.91,43.0,11.0,0.75,13.42,28.0,37.0,0.0,0.0,"Martinez-Gómez, C., Rangel-Vazquez, I., Zarraga, R. and 5 more (...) (2022).Photodegradation and Mineralization of Phenol Using TiO2Coated γ-Al2O3: Effect of Thermic Treatment. Processes,10(6) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85132593492&origin=resultslist,10.3390/pr10061186,Article,Gold|Green,2-s2.0-85132593492,-,Benemerita Universidad Autonoma de Puebla| Universidad de Guanajuato| Universidad Autónoma Metropolitana| Universidad de Guadalajara,505001| 505020| 505017| 505019,Academic,4.0,60033291| 60028381| 60024830| 60008943,Universidad de Guanajuato| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Benemérita Universidad Autónoma de Puebla| Universidad de Guadalajara,57190028193,58556366400,57190028193| 58556366400,-,Mexico,1.0,1501| 1502| 1508,Chemical Engineering (miscellaneous)| Bioengineering| Process Chemistry and Technology,2,Engineering & Technology,219| 249,Engineering - Chemical| Engineering - Petroleum,36,Engineering,40,Engineering,4004,Chemical engineering,-,Photocatalytic Properties of Titanium Dioxide Structures,62,94.768,Mesoporous Titanium Dioxide Photocatalysts for Environmental Applications,86323,65.968,Weak,Nacional,4.0
