Autor,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
"Aguirre-Guerrero, D.",2019.0,1,0,5.0,5,0,7,4,0,0,0
"Aguirre-Guerrero, D.",2023.0,2,0,2.5,4,0,2,1,0,0,0
"Aguirre-Guerrero, D.",2024.0,1,0,5.0,5,0,2,1,0,0,0
