Autor,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
"Acosta-Zepeda, C.",2019.0,2,0,5.5,7,0,8,3,0,0,0
"Acosta-Zepeda, C.",2020.0,1,0,4.0,4,0,2,2,0,0,0
