Autor,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
"Maldonado-Teodocio, B.",2020.0,2,0,9.0,9,0,7,2,0,0,0
"Maldonado-Teodocio, B.",2022.0,1,0,9.0,9,0,3,2,0,0,0
