Autor,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
"Gómez, J.",2015.0,4,0,4.5,12,0,6,1,0,0,0
"Gómez, J.",2016.0,1,0,4.0,4,0,2,1,0,0,0
"Gómez, J.",2019.0,2,0,4.0,6,0,2,1,0,0,0
"Gómez, J.",2021.0,1,0,9.0,9,0,4,1,0,0,0
"Gómez, J.",2022.0,1,0,4.0,4,0,2,1,0,0,0
