Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
57419687700,57419687700,"The collapse of Álvaro Obregón 286 building in Mexico City during the September 19, 2017 earthquake. A case study","Tena-Colunga, A.| Sánchez-Ballinas, D.",2.0,6603732003| 57419687700,2022.0,2022-05-15,Journal of Building Engineering,49,-,-,104060,ISSN-23527102,21100389518.0,Journal,Elsevier Ltd,English,1.9,7,8.3,2,1.232,1,3.6,107.0,22.0,1.57,12.76,14.0,18.0,0.0,0.0,"Tena-Colunga, A., Sánchez-Ballinas, D. (2022).The collapse of Álvaro Obregón 286 building in Mexico City during the September 19, 2017 earthquake. A case study. Journal of Building Engineering,49",https://www.scopus.com/record/display.url?eid=2-s2.0-85123206124&origin=resultslist,10.1016/j.jobe.2022.104060,Article,,2-s2.0-85123206124,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60023193,Universidad Autónoma Metropolitana - Azcapotzalco,6603732003,57419687700,6603732003,-,Mexico,1.0,2205| 2211| 2213| 2215| 2216,"Civil and Structural Engineering| Mechanics of Materials| Safety, Risk, Reliability and Quality| Building and Construction| Architecture",2| 1,Engineering & Technology| Arts & Humanities,222| 249| 220| 106| 433,Engineering - Mechanical| Engineering - Petroleum| Engineering - Civil & Structural| Architecture| Materials Science,36| 33,Engineering| Arts and Humanities,33| 40,Built Environment And Design| Engineering,3302| 4005,Building| Civil engineering,SDG 11,Seismic Response and Ground Motion Modeling Insights,1076,33.944,Seismic Ground Motion and Structural Resilience in Mexico,50198,52.014,Very Good,2022.0,22.0,N/A,"Tena-Colunga, A.| Sánchez-Ballinas, D.",Universidad Autónoma Metropolitana,Mexico,0
57419687700,57419687700,Required building separations and observed seismic pounding on the soft soils of Mexico City,"Tena-Colunga, A.| Sánchez-Ballinas, D.",2.0,6603732003| 57419687700,2022.0,2022-10-01,Soil Dynamics and Earthquake Engineering,161,-,-,107413,ISSN-02677261,28960.0,Journal,Elsevier Ltd,English,1.9,7,7.5,13,1.251,11,1.55,38.0,16.0,1.05,13.38,20.0,28.0,0.0,0.0,"Tena-Colunga, A., Sánchez-Ballinas, D. (2022).Required building separations and observed seismic pounding on the soft soils of Mexico City. Soil Dynamics and Earthquake Engineering,161",https://www.scopus.com/record/display.url?eid=2-s2.0-85133238403&origin=resultslist,10.1016/j.soildyn.2022.107413,Article,,2-s2.0-85133238403,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60023193,Universidad Autónoma Metropolitana - Azcapotzalco,6603732003,57419687700,6603732003,-,Mexico,1.0,1111| 1909| 2205,Soil Science| Geotechnical Engineering and Engineering Geology| Civil and Structural Engineering,2| 4| 5,Engineering & Technology| Natural Sciences| Life Sciences & Medicine,249| 450| 451| 220| 247| 416| 502,Engineering - Petroleum| Geology| Geophysics| Engineering - Civil & Structural| Engineering - Mineral & Mining| Earth & Marine Sciences| Agriculture & Forestry,37| 36| 32,Physical Sciences| Engineering| Life Sciences,40,Engineering,4005,Civil engineering,SDG 11,Seismic Response and Uncertainty in Structural Analysis,1061,35.84,Seismic Response and Pounding Effects in Structures,10761,92.074,Definitive,2022.0,16.0,N/A,"Tena-Colunga, A.| Sánchez-Ballinas, D.",Universidad Autónoma Metropolitana,Mexico,0
