Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
6603961378,6603961378,"Influence of genetic variants of CYP2D6, CYP2C9, CYP2C19 and CYP3A4 on antiepileptic drug metabolism in pediatric patients with refractory epilepsy","López-García, M.A.| Feria-Romero, I.A.| Serrano, H.| Rayo-Mares, D.| Fagiolino, P.| Vázquez, M.| Escamilla-Núñez, C.| Grijalva, I.| Escalante-Santiago, D.| Orozco-Suarez, S.",10.0,56277877700| 15757224300| 6603961378| 6506053310| 7004526393| 7401539763| 56062152900| 55989722400| 55859794600| 6603651475,2017.0,2017-06-01,Pharmacological Reports,69,3,504-511,-,ISSN-22995684,130063.0,Journal,Elsevier B.V.,English,0.8,42,4.4,38,0.773,31,2.16,66.0,51.0,1.57,8.92,10.0,18.0,0.0,0.0,"López-García, M.A., Feria-Romero, I.A., Serrano, H. and 7 more (...) (2017).Influence of genetic variants of CYP2D6, CYP2C9, CYP2C19 and CYP3A4 on antiepileptic drug metabolism in pediatric patients with refractory epilepsy. Pharmacological Reports,69(3) 504-511",https://www.scopus.com/record/display.url?eid=2-s2.0-85016022733&origin=resultslist,10.1016/j.pharep.2017.01.007,Article,,2-s2.0-85016022733,28343093,Hospital de Especialidades| Instituto Nacional de Salud Publica| Universidad Autónoma Metropolitana| Universidad de la República| Instituto Mexicano del Seguro Social,505031| 505010| 505017| 606001| 505006,Medical| Academic| Government,5.0,60028381| 60014923| 60008467| 60019221| 60022848| 60071612| 60108714| 60022420,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Metropolitana| Instituto Mexicano del Seguro Social| UMAE Hospital de Especialidades Centro Medico Nacional Siglo XXI| UMAE Hospital de Pediatría Centro Medico Nacional Siglo XXI| Universidad de la Republica| Universidad de la República Facultad de Química| Instituto Nacional de Salud Publica,56277877700,6603651475,6603651475,-,Mexico| Uruguay,2.0,3004,Pharmacology,5,Life Sciences & Medicine,537,Pharmacy & Pharmacology,34,Medical and Health,32,Biomedical And Clinical Sciences,3214,Pharmacology and pharmaceutical sciences,-,Pharmacokinetics and Drug Interaction Mechanisms,857,31.982,CYP2D6 Variability in Drug Metabolism and Pharmacogenetics,5553,83.207,Very Good,2017.0,51.0,N/A,"López-García, M.A.| Feria-Romero, I.A.| Serrano, H.| Rayo-Mares, D.| Fagiolino, P.| Vázquez, M.| Escamilla-Núñez, C.| Grijalva, I.| Escalante-Santiago, D.| Orozco-Suarez, S.",Hospital de Especialidades| Instituto Nacional de Salud Publica| Universidad Autónoma Metropolitana| Universidad de la República| Instituto Mexicano del Seguro Social,Mexico| Uruguay,0
6603961378,6603961378,Nested Polymerase Chain Reaction and Cutaneous Tuberculosis,"Maldonado-Bernal, C.| Ramos-Garibay, A.| Rios-Sarabia, N.| Serrano, H.| Carrera, M.| Navarrete-Franco, G.| Jurado-Santacruz, F.| Isibasi, A.",8.0,23470430200| 24554242200| 12787118800| 6603961378| 57215422084| 9042936300| 6505747177| 16222541800,2019.0,2019-01-01,American Journal of Dermatopathology,41,6,428-435,-,ISSN-01931091,27047.0,Journal,Lippincott Williams and Wilkins,English,0.78,45,1.8,59,0.395,55,1.04,19.0,9.0,0.58,6.92,42.0,44.0,0.0,0.0,"Maldonado-Bernal, C., Ramos-Garibay, A., Rios-Sarabia, N. and 5 more (...) (2019).Nested Polymerase Chain Reaction and Cutaneous Tuberculosis. American Journal of Dermatopathology,41(6) 428-435",https://www.scopus.com/record/display.url?eid=2-s2.0-85066427602&origin=resultslist,10.1097/DAD.0000000000001315,Article,,2-s2.0-85066427602,30531542,Hospital de Especialidades| Universidad Autónoma Metropolitana| Instituto Mexicano del Seguro Social| Hospital Infantil de Mexico Federico Gomez,505031| 505017| 505006| 505033,Medical| Academic| Government,4.0,60000328| 60015757| 60013839| 60022848| 60014923| 60008467| 60019221,Hospital Infantil de México Federico Gómez| Centro Dermatolgico de Dr. Ladislao de la Pascua| Secretaria de Salud| UMAE Hospital de Pediatría Centro Medico Nacional Siglo XXI| Universidad Autónoma Metropolitana| Instituto Mexicano del Seguro Social| UMAE Hospital de Especialidades Centro Medico Nacional Siglo XXI,23470430200,16222541800,23470430200,-,Mexico,1.0,2708| 2734,Dermatology| Pathology and Forensic Medicine,5,Life Sciences & Medicine,532,Medicine,34,Medical and Health,32,Biomedical And Clinical Sciences,3202,Clinical sciences,SDG 3,Tuberculosis Treatment and Diagnostic Innovations,75,71.158,Cutaneous Tuberculosis and Its Clinical Manifestations,12120,64.47,Definitive,2019.0,9.0,N/A,"Maldonado-Bernal, C.| Ramos-Garibay, A.| Rios-Sarabia, N.| Serrano, H.| Carrera, M.| Navarrete-Franco, G.| Jurado-Santacruz, F.| Isibasi, A.",Hospital de Especialidades| Universidad Autónoma Metropolitana| Instituto Mexicano del Seguro Social| Hospital Infantil de Mexico Federico Gomez,Mexico,0
6603961378,6603961378,"Effect of a single application of coumestrol and/or dimethyl sulfoxide, on sex hormone levels and vaginal cytology of anestrus bitches","Peña-Corona, S.| León, P.| Mendieta, E.| Villanueva, M.| Salame, A.| Vargas, D.| Mora, G.| Serrano, H.| Villa-Godoy, A.",9.0,57225078830| 59672120400| 7801402121| 59671958400| 59671453700| 24587901500| 59672120500| 6603961378| 6506300541,2019.0,2019-03-22,Veterinaria Mexico OA,6,1,-,-,ISSN-24486760,21101134316.0,Journal,"Facultad de Medicina Veterinaria y Zootecnia, Universidad Nacional Autonoma de Mexico",English,0.22,83,-,-,0.149,79,0.0,1.0,6.0,0.4,5.0,50.0,53.0,0.0,0.0,"Peña-Corona, S., León, P., Mendieta, E. and 6 more (...) (2019).Effect of a single application of coumestrol and/or dimethyl sulfoxide, on sex hormone levels and vaginal cytology of anestrus bitches. Veterinaria Mexico OA,6(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-86000184655&origin=resultslist,10.22201/fmvz.24486760e.2019.1.656,Article,Gold,2-s2.0-86000184655,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60032442| 60028381,Universidad Nacional Autónoma de México| Universidad Autónoma Metropolitana -Unidad Iztapalapa,57225078830,6506300541,6506300541,-,Mexico,1.0,3400,General Veterinary,5,Life Sciences & Medicine,546,Veterinary Science,32,Life Sciences,-,-,-,-,-,Isoflavones and Their Impact on Health,1219,32.374,Isoflavones and Their Impact on Cancer Risk,585,95.872,Definitive,2019.0,6.0,N/A,"Peña-Corona, S.| León, P.| Mendieta, E.| Villanueva, M.| Salame, A.| Vargas, D.| Mora, G.| Serrano, H.| Villa-Godoy, A.",Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,Mexico,0
6603961378,6603961378,Altered PLCβ/IP3/Ca2+ Signaling Pathway Activated by GPRCs in Olfactory Neuronal Precursor Cells Derived from Patients Diagnosed with Schizophrenia,"Sánchez-Florentino, Z.A.| Romero-Martínez, B.S.| Flores-Soto, E.| Montaño, L.M.| Sommer, B.| Valdés-Tovar, M.| Argueta, J.| Calixto, E.| Aquino-Gálvez, A.| Castillejos-López, M.| Serrano, H.| Gomez-Verjan, J.C.| López-Riquelme, G.O.| Benítez-King, G.A.| Jaimez, R.| Solís-Chagoyán, H.",16.0,57220151727| 57223871621| 6507537216| 7006061750| 56002660000| 6507484012| 25935892800| 7801393953| 23972553200| 24365815100| 6603961378| 56078912600| 14016333500| 56002655000| 8323511300| 56013696200,2024.0,2024-10-01,Biomedicines,12,10,-,2343,ISSN-22279059,21100840442.0,Journal,Multidisciplinary Digital Publishing Institute (MDPI),English,0.93,34,6.8,16,1.114,18,0.9,12.0,2.0,0.33,6.08,45.0,56.0,0.0,0.0,"Sánchez-Florentino, Z.A., Romero-Martínez, B.S., Flores-Soto, E. and 13 more (...) (2024).Altered PLCβ/IP3/Ca2+ Signaling Pathway Activated by GPRCs in Olfactory Neuronal Precursor Cells Derived from Patients Diagnosed with Schizophrenia. Biomedicines,12(10) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85207668983&origin=resultslist,10.3390/biomedicines12102343,Article,Gold|Green,2-s2.0-85207668983,-,Instituto Nacional de Psiquiatria Ramon de la Fuente| Instituto Nacional de Geriatría| Universidad Autonoma del Estado de Morelos| Universidad Autónoma Metropolitana| Instituto Nacional de Enfermedades Respiratorias| Universidad Nacional Autónoma de México,505042| 714711| 505016| 505017| 505037| 505023,Other| Academic| Government,6.0,60028381| 60001818| 60022869| 60032442| 60008205| 60108388| 60025626,"Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto Nacional de Psiquiatría Ramon de la Fuente| Universidad Nacional Autónoma de México, Facultad de Medicina| Universidad Nacional Autónoma de México| Instituto Nacional de Enfermedades Respiratorias| Instituto Nacional de Geriatría| Universidad Autónoma del Estado de Morelos",57220151727,56013696200,8323511300| 56013696200,-,Mexico,1.0,1300| 2701,"General Biochemistry,Genetics and Molecular Biology| Medicine (miscellaneous)",5,Life Sciences & Medicine,532| 507,Medicine| Biological Sciences,34| 32,Medical and Health| Life Sciences,32| 34| 31,Biomedical And Clinical Sciences| Chemical Sciences| Biological Sciences,3404| 3214| 3101,Medicinal and biomolecular chemistry| Pharmacology and pharmaceutical sciences| Biochemistry and cell biology,-,Quorum Sensing and Biofilm Dynamics in Bacteria,299,80.118,Phospholipase C Roles in Cellular Signaling,11009,75.219,Definitive,2024.0,2.0,N/A,"Sánchez-Florentino, Z.A.| Romero-Martínez, B.S.| Flores-Soto, E.| Montaño, L.M.| Sommer, B.| Valdés-Tovar, M.| Argueta, J.| Calixto, E.| Aquino-Gálvez, A.| Castillejos-López, M.| Serrano, H.| Gomez-Verjan, J.C.| López-Riquelme, G.O.| Benítez-King, G.A.| Jaimez, R.| Solís-Chagoyán, H.",Instituto Nacional de Psiquiatria Ramon de la Fuente| Instituto Nacional de Geriatría| Universidad Autonoma del Estado de Morelos| Universidad Autónoma Metropolitana| Instituto Nacional de Enfermedades Respiratorias| Universidad Nacional Autónoma de México,Mexico,0
6603961378,6603961378,Potential of olfactory neuroepithelial cells as a model to study schizophrenia: A focus on GPCRs (Review),"Sánchez‑Florentino, Z.A.| Romero‑Martínez, B.S.| Flores‑Soto, E.| Serrano, H.| Montaño, L.M.| Valdés‑Tovar, M.| Calixto, E.| Aquino‑Gálvez, A.| López‑Riquelme, G.O.| Alvarado, R.| Argueta, J.| Solís‑Chagoyán, H.| Sommer, B.",13.0,58758919000| 58758602500| 6507537216| 6603961378| 7006061750| 58758520200| 7801393953| 58758602700| 58758602800| 54916440000| 25935892800| 58758919100| 56002660000,2024.0,2024-01-01,International Journal of Molecular Medicine,53,1,-,7,ISSN-11073756,14759.0,Journal,Spandidos Publications,English,1.28,18,13.2,7,1.381,12,1.01,13.0,2.0,0.28,7.16,45.0,58.0,0.0,0.0,"Sánchez‑Florentino, Z.A., Romero‑Martínez, B.S., Flores‑Soto, E. and 10 more (...) (2024).Potential of olfactory neuroepithelial cells as a model to study schizophrenia: A focus on GPCRs (Review). International Journal of Molecular Medicine,53(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85178509392&origin=resultslist,10.3892/ijmm.2023.5331,Article,Hybrid gold|Green,2-s2.0-85178509392,38038161,Instituto Nacional de Psiquiatria Ramon de la Fuente| Universidad Autonoma del Estado de Morelos| Universidad Autónoma Metropolitana| Instituto Nacional de Enfermedades Respiratorias| Universidad Nacional Autónoma de México,505042| 505016| 505017| 505037| 505023,Academic| Government,5.0,60001818| 60032442| 60028381| 60008205| 60025626,Instituto Nacional de Psiquiatría Ramon de la Fuente| Universidad Nacional Autónoma de México| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto Nacional de Enfermedades Respiratorias| Universidad Autónoma del Estado de Morelos,58758919000,56002660000,58758919100| 56002660000,-,Mexico,1.0,1311,Genetics,5,Life Sciences & Medicine,507,Biological Sciences,32,Life Sciences,34,Chemical Sciences,3404,Medicinal and biomolecular chemistry,-,Neuronal Plasticity and Glutamate Receptor Dynamics,269,64.617,Metabotropic Glutamate Receptors in Neurological Disorders,850,88.614,Definitive,2024.0,2.0,N/A,"Sánchez‑Florentino, Z.A.| Romero‑Martínez, B.S.| Flores‑Soto, E.| Serrano, H.| Montaño, L.M.| Valdés‑Tovar, M.| Calixto, E.| Aquino‑Gálvez, A.| López‑Riquelme, G.O.| Alvarado, R.| Argueta, J.| Solís‑Chagoyán, H.| Sommer, B.",Instituto Nacional de Psiquiatria Ramon de la Fuente| Universidad Autonoma del Estado de Morelos| Universidad Autónoma Metropolitana| Instituto Nacional de Enfermedades Respiratorias| Universidad Nacional Autónoma de México,Mexico,0
6603961378,6603961378,The structure and function of cholinesterases: Target of pesticides,"López-Durán, R.M.| Valencia-Quintana, R.| Sánchez-Alarcón, J.| Pérez-Aguilar, B.| Salinas-Arreortua, N.| Serrano, H.| García-Suárez, M.D.| Muñoz-Nava, H.| Hernández-Hernández, Á.| Vidal-Moreno, C.| Gómez-Olivares, J.L.",11.0,57202949622| 55989753600| 6506854384| 56595152200| 16433062200| 6603961378| 15735738500| 6504662707| 59867137800| 57208471354| 6503993523,2018.0,2018-01-01,Revista Internacional de Contaminacion Ambiental,34,-,69-80,-,ISSN-01884999,25279.0,Journal,"Centro de Ciencias de la Atmosfera, UNAM",Spanish,0.37,74,0.4,80,0.173,76,0.23,21.0,2.0,0.0,16.49,68.0,74.0,0.0,2.0,"López-Durán, R.M., Valencia-Quintana, R., Sánchez-Alarcón, J. and 8 more (...) (2018).The structure and function of cholinesterases: Target of pesticides. Revista Internacional de Contaminacion Ambiental,3469-80",https://www.scopus.com/record/display.url?eid=2-s2.0-85064868324&origin=resultslist,10.20937/RICA.2018.34.ESP02.06,Article,Gold,2-s2.0-85064868324,-,Universidad Autónoma de Nayarit| Universidad Autónoma Metropolitana| Universidad Autónoma de Tlaxcala| University of Murcia,713817| 505017| 714292| 312028,Academic,4.0,60028381| 60029589| 60004046| 60000130,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma de Tlaxcala| Universidad Autónoma de Nayarit| Universidad de Murcia,57202949622,6503993523,6503993523,-,Spain| Mexico,2.0,2310| 2311,Pollution| Waste Management and Disposal,3,Social Sciences & Management,424,Environmental Sciences,37,Physical Sciences,40| 41,Engineering| Environmental Sciences,4104| 4004| 4105,Environmental management| Chemical engineering| Pollution and contamination,-,Innovative Approaches in Acetylcholinesterase Inhibition,848,43.362,Acetylcholinesterase Function in Cholinergic Systems,11178,66.251,Very Good,2018.0,2.0,N/A,"López-Durán, R.M.| Valencia-Quintana, R.| Sánchez-Alarcón, J.| Pérez-Aguilar, B.| Salinas-Arreortua, N.| Serrano, H.| García-Suárez, M.D.| Muñoz-Nava, H.| Hernández-Hernández, Á.| Vidal-Moreno, C.| Gómez-Olivares, J.L.",Universidad Autónoma de Nayarit| Universidad Autónoma Metropolitana| Universidad Autónoma de Tlaxcala| University of Murcia,Spain| Mexico,0
6603961378,6603961378,Nucleoredoxin Redox Interactions Are Sensitized by Aging and Potentiated by Chronic Alcohol Consumption in the Mouse Liver,"Idelfonso-García, O.G.| Alarcón-Sánchez, B.R.| Guerrero-Escalera, D.| López-Hernández, N.A.| Pérez-Hernández, J.L.| Pacheco-Rivera, R.| Serrano-Luna, J.| Resendis-Antonio, O.| Muciño-Olmos, E.A.| Aparicio-Bautista, D.I.| Basurto-Islas, G.| Baltiérrez-Hoyos, R.| Vásquez-Garzón, V.R.| Villa-Treviño, S.| Muriel, P.| Serrano, H.| Pérez-Carreón, J.I.| Arellanes-Robledo, J.",18.0,57209465176| 57209463560| 56529648600| 58957018000| 36652979900| 36802565500| 55393836700| 6507257620| 57218307096| 35809780200| 56013598800| 55274269100| 26029607300| 55909393400| 7006248243| 6603961378| 6506490194| 12809567200,2024.0,2024-03-01,Antioxidants,13,3,-,257,ISSN-20763921,21100790818.0,Journal,Multidisciplinary Digital Publishing Institute (MDPI),English,1.49,13,12.4,6,1.484,6,0.95,11.0,0.0,0.0,6.42,70.0,70.0,0.0,0.0,"Idelfonso-García, O.G., Alarcón-Sánchez, B.R., Guerrero-Escalera, D. and 15 more (...) (2024).Nucleoredoxin Redox Interactions Are Sensitized by Aging and Potentiated by Chronic Alcohol Consumption in the Mouse Liver. Antioxidants,13(3) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85188738157&origin=resultslist,10.3390/antiox13030257,Article,Gold|Green,2-s2.0-85188738157,-,Consejo Nacional de Ciencia y Tecnologia Mexico| Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional| Universidad de Guanajuato| Lund University| Universidad Autónoma Metropolitana| Instituto Nacional de Medicina Genomica| Instituto Politécnico Nacional| Universidad Nacional Autónoma de México| Universidad Autonoma Benito Juarez de Oaxaca,704696| 505002| 505020| 332007| 505017| 707723| 505011| 505023| 707222,Academic| Government,9.0,60095231| 60028381| 60017323| 60019176| 60032442| 60118596| 60029170| 60033291| 60018506| 60027998,"Instituto Nacional de Medicina Genómica| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional| Instituto Politécnico Nacional| Universidad Nacional Autónoma de México| Institutionen för laboratoriemedicin| Lunds Universitet| Universidad de Guanajuato| Universidad Autónoma Benito Juárez de Oaxaca| Secretaría de Ciencia, Humanidades, Tecnología e Innovación",57209465176,12809567200,57209465176| 12809567200,-,Mexico| Sweden,2.0,1106| 1303| 1307| 1308| 1312| 1314,Food Science| Biochemistry| Cell Biology| Clinical Biochemistry| Molecular Biology| Physiology,5,Life Sciences & Medicine,503| 507| 502,Anatomy & Physiology| Biological Sciences| Agriculture & Forestry,32,Life Sciences,32| 34| 31,Biomedical And Clinical Sciences| Chemical Sciences| Biological Sciences,3405| 3205| 3101| 3214| 3404,Organic chemistry| Medical biochemistry and metabolomics| Biochemistry and cell biology| Pharmacology and pharmaceutical sciences| Medicinal and biomolecular chemistry,-,Epigenetic Mechanisms and Telomere Dynamics in Cancer,36,96.534,Cellular Senescence and Its Role in Aging and Cancer,752,99.869,Definitive,2024.0,0.0,N/A,"Idelfonso-García, O.G.| Alarcón-Sánchez, B.R.| Guerrero-Escalera, D.| López-Hernández, N.A.| Pérez-Hernández, J.L.| Pacheco-Rivera, R.| Serrano-Luna, J.| Resendis-Antonio, O.| Muciño-Olmos, E.A.| Aparicio-Bautista, D.I.| Basurto-Islas, G.| Baltiérrez-Hoyos, R.| Vásquez-Garzón, V.R.| Villa-Treviño, S.| Muriel, P.| Serrano, H.| Pérez-Carreón, J.I.| Arellanes-Robledo, J.",Consejo Nacional de Ciencia y Tecnologia Mexico| Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional| Universidad de Guanajuato| Lund University| Universidad Autónoma Metropolitana| Instituto Nacional de Medicina Genomica| Instituto Politécnico Nacional| Universidad Nacional Autónoma de México| Universidad Autonoma Benito Juarez de Oaxaca,Mexico| Sweden,0
