Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
59204843700,59204843700,"Kinetic of the detection of antigens for ELISA in faeces of natural infested calves, with dictyocaulus viviparus","Barbarú Grajales, A.D.| Miranda Moya, G.A.| Rodríguez Diego, J.G.",3.0,59454906600| 56533436600| 59204843700,2015.0,2015-02-01,Revista Electronica de Veterinaria,16,2,-,-,ISSN-16957504,19900193646.0,Journal,Veterinary Organization,Spanish,0.09,89,0.1,95,0.187,74,0.16,9.0,1.0,0.28,3.62,72.0,57.0,0.0,0.0,"Barbarú Grajales, A.D., Miranda Moya, G.A., Rodríguez Diego, J.G. (2015).Kinetic of the detection of antigens for ELISA in faeces of natural infested calves, with dictyocaulus viviparus. Revista Electronica de Veterinaria,16(2) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84924267126&origin=resultslist,-,Article,,2-s2.0-84924267126,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,117632824| 60010210,Universidad de Ciencias Médicas de Las Tunas| Universidad Autónoma Metropolitana Unidad Xochimilco,59454906600,59204843700,-,-,Cuba| Portugal,2.0,3400,General Veterinary,5,Life Sciences & Medicine,546,Veterinary Science,32,Life Sciences,30,"Agricultural, Veterinary And Food Sciences",3009,Veterinary sciences,-,Parasite Dynamics in Livestock and Wildlife,670,54.48,Lungworm Infections in Deer and Cattle Dynamics,46442,42.86,Definitive,2015.0,1.0,N/A,"Barbarú Grajales, A.D.| Miranda Moya, G.A.| Rodríguez Diego, J.G.",Universidad Autónoma Metropolitana,Cuba| Portugal,0
59204843700,59204843700,The use of fruit fly infested mamey fruit as human food,"Melo-Ruíz, V.| Vargas-Martínez, N.| Sánchez-Herrera, K.| Rodríguez-Diego, J.| Díaz-García, R.",5.0,55318654000| 57196011136| 12796203900| 59204843700| 57196002457,2017.0,2017-01-01,Journal of Insects as Food and Feed,3,1,57-60,-,ISSN-23524588,21100830759.0,Journal,Wageningen Academic Publishers,English,1.22,19,3.3,21,0.699,26,0.47,15.0,1.0,0.0,6.78,73.0,72.0,0.0,0.0,"Melo-Ruíz, V., Vargas-Martínez, N., Sánchez-Herrera, K. and 2 more (...) (2017).The use of fruit fly infested mamey fruit as human food. Journal of Insects as Food and Feed,3(1) 57-60",https://www.scopus.com/record/display.url?eid=2-s2.0-85030854514&origin=resultslist,10.3920/jiff2015.0094,Article,,2-s2.0-85030854514,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60010210,Universidad Autónoma Metropolitana Unidad Xochimilco,55318654000,57196002457,55318654000,-,Mexico,1.0,1106| 1109,Food Science| Insect Science,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,30| 31,"Agricultural, Veterinary And Food Sciences| Biological Sciences",3109| 3006| 3003,Zoology| Food sciences| Animal production,SDG 2,Rodent Behavior and Ecosystem Dynamics,1430,10.072,Rodent Management Strategies for Agricultural Sustainability,39403,28.697,Defensible,2017.0,1.0,N/A,"Melo-Ruíz, V.| Vargas-Martínez, N.| Sánchez-Herrera, K.| Rodríguez-Diego, J.| Díaz-García, R.",Universidad Autónoma Metropolitana,Mexico,0
59204843700,59204843700,Validation of an antigen capture ELISA in calves infested with Dictyocaulus viviparus,"Barbarú, A.D.| Miranda, G.| Artigas, R.| Rodríguez Diego, J.G.",4.0,56534242200| 56533436600| 36128413900| 59204843700,2017.0,2017-10-01,Revista Electronica de Veterinaria,18,10,-,-,ISSN-16957504,19900193646.0,Journal,Veterinary Organization,Spanish,0.24,81,0.1,93,0.154,79,0.66,18.0,0.0,0.0,3.86,82.0,72.0,0.0,0.0,"Barbarú, A.D., Miranda, G., Artigas, R. and 1 more (...) (2017).Validation of an antigen capture ELISA in calves infested with Dictyocaulus viviparus. Revista Electronica de Veterinaria,18(10) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85040465051&origin=resultslist,-,Article,,2-s2.0-85040465051,-,Universidad Nacional de Chimborazo| Universidad Autónoma Metropolitana,716889| 505017,Academic,2.0,60108604| 114464543| 60010210,Universidad Nacional de Chimborazo| Universidad de Las Tunas| Universidad Autónoma Metropolitana Unidad Xochimilco,56534242200,59204843700,56534242200,-,Mexico| Ecuador| Cuba,3.0,3400,General Veterinary,5,Life Sciences & Medicine,546,Veterinary Science,32,Life Sciences,30,"Agricultural, Veterinary And Food Sciences",3009,Veterinary sciences,-,Parasite Dynamics in Livestock and Wildlife,670,54.48,Lungworm Infections in Deer and Cattle Dynamics,46442,42.86,Definitive,2017.0,0.0,N/A,"Barbarú, A.D.| Miranda, G.| Artigas, R.| Rodríguez Diego, J.G.",Universidad Nacional de Chimborazo| Universidad Autónoma Metropolitana,Mexico| Ecuador| Cuba,0
