Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
56000747900,56000747900,Paradoxical Internationalization: Regulatory Reforms in the Mexican Health-Care System through the Lens of European Experience,"Bode, I.| Culebro M, J.E.",2.0,6602303355| 56000747900,2018.0,2018-08-01,Politics and Policy,46,4,678-710,-,ISSN-15555623,12100157009.0,Journal,Blackwell Publishing Ltd,English,0.63,55,1.5,31,0.384,36,0.42,18.0,3.0,0.0,5.56,63.0,74.0,0.0,2.0,"Bode, I., Culebro M, J.E. (2018).Paradoxical Internationalization: Regulatory Reforms in the Mexican Health-Care System through the Lens of European Experience. Politics and Policy,46(4) 678-710",https://www.scopus.com/record/display.url?eid=2-s2.0-85053077817&origin=resultslist,10.1111/polp.12268,Article,,2-s2.0-85053077817,-,Universidad Autónoma Metropolitana| University of Kassel,505017| 309079,Academic,2.0,60018123| 60014923,Universität Kassel| Universidad Autónoma Metropolitana,6602303355,56000747900,-,-,Germany,1.0,3312| 3320,Sociology and Political Science| Political Science and International Relations,3,Social Sciences & Management,340| 342,Politics & International Studies| Sociology,40,Social Sciences,44,Human Society,4407| 4408,Policy and administration| Political science,-,Public Administration and Gender Representation Dynamics,493,71.55,Transformative Trends in Public Management Reform,3345,85.23,Very Good,2018.0,3.0,N/A,"Bode, I.| Culebro M, J.E.",Universidad Autónoma Metropolitana| University of Kassel,Germany,0
56000747900,56000747900,"Coordination and knowledge transfer in public universities in Mexico. The case of the Universidad Autónoma Metropolitana, Unidad Cuajimalpa","Ogarrio, P.| Culebro Moreno, J.E.",2.0,57212468427| 56000747900,2019.0,2019-01-01,Revista de la Educacion Superior,48,191,81-96,-,ISSN-01852760,21100784205.0,Journal,Asociacion Nacional de Universidad e Instituciones de Educacion Superior,Spanish,1.3,18,0.8,63,0.362,51,1.42,53.0,2.0,0.0,6.33,67.0,75.0,0.0,0.0,"Ogarrio, P., Culebro Moreno, J.E. (2019).Coordination and knowledge transfer in public universities in Mexico. The case of the Universidad Autónoma Metropolitana, Unidad Cuajimalpa. Revista de la Educacion Superior,48(191) 81-96",https://www.scopus.com/record/display.url?eid=2-s2.0-85076773297&origin=resultslist,10.36857/resu.2019.191.838,Article,Gold,2-s2.0-85076773297,-,Universidad Autónoma Metropolitana| Centro de Investigacion y Docencia Economicas,505017| 703029,Academic,2.0,60022321| 60024080,Centro de Investigación y Docencia Económicas| Universidad Autónoma Metropolitana Unidad Cuajimalpa,57212468427,56000747900,-,-,Mexico,1.0,3304,Education,3,Social Sciences & Management,318,Education & Training,41,Education Studies,40| 39,Engineering| Education,3903| 3902| 4010,"Education systems| Education policy, sociology and philosophy| Engineering practice and education",SDG 9,Democracy and Marxism in Social Transformation,1187,21.125,Institutional Change and Policy Dynamics in Governance,7288,88.132,Defensible,2019.0,2.0,N/A,"Ogarrio, P.| Culebro Moreno, J.E.",Universidad Autónoma Metropolitana| Centro de Investigacion y Docencia Economicas,Mexico,0
