Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
57191473958,57191473958,Secretomic Insight into Glucose Metabolism of Aspergillus brasiliensis in Solid-State Fermentation,"Volke-Sepulveda, T.| Salgado-Bautista, D.| Bergmann, C.| Wells, L.| Gutierrez-Sanchez, G.| Favela-Torres, E.",6.0,6507439664| 57191473958| 7102135251| 7102631754| 6506503917| 6603679732,2016.0,2016-10-07,Journal of Proteome Research,15,10,3856-3871,-,ISSN-15353893,17625.0,Journal,American Chemical Society,English,1.03,27,8.1,8,1.76,7,0.67,25.0,26.0,0.41,12.08,22.0,50.0,0.0,0.0,"Volke-Sepulveda, T., Salgado-Bautista, D., Bergmann, C. and 3 more (...) (2016).Secretomic Insight into Glucose Metabolism of Aspergillus brasiliensis in Solid-State Fermentation. Journal of Proteome Research,15(10) 3856-3871",https://www.scopus.com/record/display.url?eid=2-s2.0-84990847695&origin=resultslist,10.1021/acs.jproteome.6b00663,Article,,2-s2.0-84990847695,27548361,Universidad Autónoma Metropolitana| University of Georgia,505017| 508280,Academic,2.0,60028381| 60029747,Universidad Autónoma Metropolitana -Unidad Iztapalapa| University of Georgia,6507439664,6603679732,6603679732,-,Mexico| United States,2.0,1303| 1600,Biochemistry| General Chemistry,4| 5,Natural Sciences| Life Sciences & Medicine,409| 507,Chemistry| Biological Sciences,32| 37,Life Sciences| Physical Sciences,34| 31,Chemical Sciences| Biological Sciences,-,-,-,Mammalian Target of Rapamycin in Cancer Pathways,155,81.491,Aspergillus Gene Engineering for Enhanced Protein Production,15778,89.94,Defensible,2016.0,26.0,N/A,"Volke-Sepulveda, T.| Salgado-Bautista, D.| Bergmann, C.| Wells, L.| Gutierrez-Sanchez, G.| Favela-Torres, E.",Universidad Autónoma Metropolitana| University of Georgia,Mexico| United States,0
57191473958,57191473958,Solid-state fermentation increases secretome complexity in Aspergillus brasiliensis,"Salgado-Bautista, D.| Volke-Sepúlveda, T.| Figueroa-Martínez, F.| Carrasco-Navarro, U.| Chagolla-López, A.| Favela-Torres, E.",6.0,57191473958| 6507439664| 24830234200| 57191586690| 6507480480| 6603679732,2020.0,2020-08-01,Fungal Biology,124,8,723-734,-,ISSN-18786146,19700166901.0,Journal,Elsevier B.V.,English,1.17,24,5.3,13,0.973,16,1.34,30.0,25.0,1.02,12.7,20.0,27.0,0.0,0.0,"Salgado-Bautista, D., Volke-Sepúlveda, T., Figueroa-Martínez, F. and 3 more (...) (2020).Solid-state fermentation increases secretome complexity in Aspergillus brasiliensis. Fungal Biology,124(8) 723-734",https://www.scopus.com/record/display.url?eid=2-s2.0-85085027688&origin=resultslist,10.1016/j.funbio.2020.04.006,Article,,2-s2.0-85085027688,32690254,Consejo Nacional de Ciencia y Tecnologia Mexico| Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional| Universidad Autónoma Metropolitana,704696| 505002| 505017,Government| Academic,3.0,60028381| 60025159| 60027998,"Universidad Autónoma Metropolitana -Unidad Iztapalapa| Centro de Investigacion y de Estudio Avanzados, Campus Guanajuato| Secretaría de Ciencia, Humanidades, Tecnología e Innovación",57191473958,6603679732,6603679732,-,Mexico,1.0,1105| 1311| 2725,"Ecology, Evolution, Behavior and Systematics| Genetics| Infectious Diseases",5,Life Sciences & Medicine,532| 502| 507,Medicine| Agriculture & Forestry| Biological Sciences,32| 34,Life Sciences| Medical and Health,31,Biological Sciences,3108| 3107,Plant biology| Microbiology,-,Mammalian Target of Rapamycin in Cancer Pathways,155,81.491,Aspergillus Gene Engineering for Enhanced Protein Production,15778,89.94,Defensible,2020.0,25.0,N/A,"Salgado-Bautista, D.| Volke-Sepúlveda, T.| Figueroa-Martínez, F.| Carrasco-Navarro, U.| Chagolla-López, A.| Favela-Torres, E.",Consejo Nacional de Ciencia y Tecnologia Mexico| Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional| Universidad Autónoma Metropolitana,Mexico,0
57191473958,57191473958,Growth and invertase production by Neurospora crassa in submerged and solid-state cultures,"Mora-Pérez, C.J.| Sánchez-Ruiz, M.C.| Salgado-Bautista, D.| Carrasco-Navarro, U.| Favela-Torres, E.",5.0,58686136600| 59368061300| 57191473958| 57191586690| 6603679732,2024.0,2024-07-01,Mexican Journal of Biotechnology,9,3,20-25,-,ISSN-24486590,21101000287.0,Journal,Universidad Autonoma de Tlaxcala,English,0.11,92,1.4,78,0.145,89,0.75,10.0,1.0,0.15,6.64,56.0,66.0,0.0,0.0,"Mora-Pérez, C.J., Sánchez-Ruiz, M.C., Salgado-Bautista, D. and 2 more (...) (2024).Growth and invertase production by Neurospora crassa in submerged and solid-state cultures. Mexican Journal of Biotechnology,9(3) 20-25",https://www.scopus.com/record/display.url?eid=2-s2.0-85206494687&origin=resultslist,10.29267/mxjb.2024.9.3.20,Article,Hybrid gold,2-s2.0-85206494687,-,Universidad Autónoma Metropolitana| Centro de Investigacion Cientifica y de Educacion Superior de Ensenada,505017| 505024,Government| Academic,2.0,60028381| 60032563,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Centro de Investigacion Cientifica y de Educacion Superior de Ensenada,58686136600,6603679732,6603679732,-,Mexico,1.0,1305| 1312| 2402,Biotechnology| Molecular Biology| Applied Microbiology and Biotechnology,5,Life Sciences & Medicine,507,Biological Sciences,32,Life Sciences,31| 30| 51,"Biological Sciences| Agricultural, Veterinary And Food Sciences| Physical Sciences",3006| 3106| 5199,Food sciences| Industrial biotechnology| Other physical sciences,-,Biomass Conversion and Catalytic Innovations,49,98.103,Cellulase Production and Enzyme Activity Optimization,3003,96.504,Definitive,2024.0,1.0,N/A,"Mora-Pérez, C.J.| Sánchez-Ruiz, M.C.| Salgado-Bautista, D.| Carrasco-Navarro, U.| Favela-Torres, E.",Universidad Autónoma Metropolitana| Centro de Investigacion Cientifica y de Educacion Superior de Ensenada,Mexico,0
