Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
54412804500,54412804500,Assessment of micronucleus and oxidative stress in peripheral blood from malnourished children,"Cervantes Ríos, E.| Ortiz Muñiz, R.| Konigsberg Fainstein, M.| Graniel Guerrero, J.| Rodríguez Cruz, L.",5.0,54411818900| 7102061405| 56711903300| 6505766066| 54412804500,2018.0,2018-01-01,Nutricion Hospitalaria,35,3,519-526,-,ISSN-02121611,14786.0,Journal,ARAN Ediciones S.A.,English,0.54,62,1.9,58,0.34,59,0.3,13.0,9.0,0.55,10.82,44.0,45.0,0.0,0.0,"Cervantes Ríos, E., Ortiz Muñiz, R., Konigsberg Fainstein, M. and 2 more (...) (2018).Assessment of micronucleus and oxidative stress in peripheral blood from malnourished children. Nutricion Hospitalaria,35(3) 519-526",https://www.scopus.com/record/display.url?eid=2-s2.0-85050294844&origin=resultslist,10.20960/nh.1272,Article,Gold,2-s2.0-85050294844,29974756,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 60094728,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Hospital Pediátrico Iztapalapa,54411818900,54412804500,54412804500,-,Mexico,1.0,2701| 2916,Medicine (miscellaneous)| Nutrition and Dietetics,5,Life Sciences & Medicine,534| 532,Nursing| Medicine,34,Medical and Health,32,Biomedical And Clinical Sciences,3210| 3202| 3213,Nutrition and dietetics| Clinical sciences| Paediatrics,SDG 2,Malnutrition and Growth Patterns in Children,1073,61.02,Nutritional Dynamics in Severe Childhood Malnutrition,31057,43.386,Defensible,2018.0,9.0,N/A,"Cervantes Ríos, E.| Ortiz Muñiz, R.| Konigsberg Fainstein, M.| Graniel Guerrero, J.| Rodríguez Cruz, L.",Universidad Autónoma Metropolitana,Mexico,0
54412804500,54412804500,High expression of Myosin 1g in pediatric acute lymphoblastic leukemia,"Estrada-Abreo, L.A.| Rodríguez-Cruz, L.| Garfias-Gómez, Y.| Araujo-Cardenas, J.E.| Antonio-Andrés, G.| Salgado-Aguayo, A.R.| Orozco-Ruiz, D.| Torres-Nava, J.R.| Díaz-Valencia, J.D.| Huerta-Yépez, S.| Patiño-López, G.",11.0,57223198401| 54412804500| 57223190393| 57279159100| 54388524800| 7005195846| 57221806673| 47062071700| 9242486000| 57207527967| 57194438087,2021.0,2021-09-14,Oncotarget,12,19,1937-1945,-,ISSN-19492553,19900191708.0,Journal,Impact Journals LLC,English,1.01,31,9.8,14,0.966,34,0.29,4.0,6.0,0.27,14.59,47.0,62.0,0.0,0.0,"Estrada-Abreo, L.A., Rodríguez-Cruz, L., Garfias-Gómez, Y. and 8 more (...) (2021).High expression of Myosin 1g in pediatric acute lymphoblastic leukemia. Oncotarget,12(19) 1937-1945",https://www.scopus.com/record/display.url?eid=2-s2.0-85116020750&origin=resultslist,10.18632/ONCOTARGET.28055,Article,Gold|Green,2-s2.0-85116020750,34548909,Universidad Autónoma Metropolitana| Hospital Infantil de Mexico Federico Gomez| Instituto Nacional de Enfermedades Respiratorias,505017| 505033| 505037,Medical| Government| Academic,3.0,60000328| 60028381| 60008205,Hospital Infantil de México Federico Gómez| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto Nacional de Enfermedades Respiratorias,57223198401,57194438087,57194438087,-,Mexico,1.0,2730,Oncology,5,Life Sciences & Medicine,532,Medicine,34,Medical and Health,32,Biomedical And Clinical Sciences,3211,Oncology and carcinogenesis,SDG 3,Interactions of GTP Binding Proteins in Muscle Function,816,30.87,Myosin Functions in Cellular Dynamics and Membrane Interactions,63801,50.606,Very Good,2021.0,6.0,N/A,"Estrada-Abreo, L.A.| Rodríguez-Cruz, L.| Garfias-Gómez, Y.| Araujo-Cardenas, J.E.| Antonio-Andrés, G.| Salgado-Aguayo, A.R.| Orozco-Ruiz, D.| Torres-Nava, J.R.| Díaz-Valencia, J.D.| Huerta-Yépez, S.| Patiño-López, G.",Universidad Autónoma Metropolitana| Hospital Infantil de Mexico Federico Gomez| Instituto Nacional de Enfermedades Respiratorias,Mexico,0
54412804500,54412804500,Moderate malnutrition in rats induces somatic gene mutations,"Pacheco-Martínez, M.M.| Cortés-Barberena, E.| Cervantes-Ríos, E.| del Carmen García-Rodríguez, M.| Rodríguez-Cruz, L.| Ortiz-Muñiz, R.",6.0,56516873200| 7005209396| 54411818900| 57743293400| 54412804500| 7102061405,2016.0,2016-07-01,Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis,789,-,26-32,-,ISSN-00275107,18967.0,Journal,Elsevier B.V.,English,0.79,41,5.7,18,0.561,51,0.61,20.0,5.0,0.25,11.83,54.0,59.0,0.0,0.0,"Pacheco-Martínez, M.M., Cortés-Barberena, E., Cervantes-Ríos, E. and 3 more (...) (2016).Moderate malnutrition in rats induces somatic gene mutations. Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis,78926-32",https://www.scopus.com/record/display.url?eid=2-s2.0-84961149322&origin=resultslist,10.1016/j.mrfmmm.2016.01.008,Article,,2-s2.0-84961149322,26994962,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60028381| 60029824| 60032442| 60014923,"Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Zaragoza| Universidad Nacional Autónoma de México| Universidad Autónoma Metropolitana",56516873200,7102061405,7102061405,-,Mexico,1.0,1311| 1312| 2307,"Genetics| Molecular Biology| Health, Toxicology and Mutagenesis",5,Life Sciences & Medicine,424| 507,Environmental Sciences| Biological Sciences,32| 34,Life Sciences| Medical and Health,31| 32,Biological Sciences| Biomedical And Clinical Sciences,3211| 3107| 3214,Oncology and carcinogenesis| Microbiology| Pharmacology and pharmaceutical sciences,SDG 2,Genotoxicity and Cancer Risk Assessment Framework,991,21.387,Pig-a Gene Mutation Assay in Genotoxicity Testing,85938,44.795,Very Good,2016.0,5.0,N/A,"Pacheco-Martínez, M.M.| Cortés-Barberena, E.| Cervantes-Ríos, E.| del Carmen García-Rodríguez, M.| Rodríguez-Cruz, L.| Ortiz-Muñiz, R.",Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,Mexico,0
54412804500,54412804500,In Vivo Genotoxicity and Cytotoxicity Kinetics of Trimethoprim Sulfamethoxazole in Well-nourished and Undernourished Young Rats,"Ortiz-Muñiz, R.| Cervantes-Ríos, E.| Soriano-Correa, C.| Campos-Fernández, L.| Rodríguez-Cruz, L.| Cortés-Barberena, E.| Morales-Ramírez, P.",7.0,7102061405| 54411818900| 55995899400| 56711267400| 54412804500| 7005209396| 7003601857,2024.0,2024-03-01,In Vivo,38,2,674-682,-,ISSN-0258851X,27210.0,Journal,International Institute of Anticancer Research,English,0.74,46,3.5,48,0.562,43,1.7,18.0,2.0,0.28,7.05,45.0,58.0,0.0,0.0,"Ortiz-Muñiz, R., Cervantes-Ríos, E., Soriano-Correa, C. and 4 more (...) (2024).In Vivo Genotoxicity and Cytotoxicity Kinetics of Trimethoprim Sulfamethoxazole in Well-nourished and Undernourished Young Rats. In Vivo,38(2) 674-682",https://www.scopus.com/record/display.url?eid=2-s2.0-85186742626&origin=resultslist,10.21873/invivo.13488,Article,Gold|Green,2-s2.0-85186742626,38418144,Universidad Autónoma Metropolitana| Instituto Nacional de Investigaciones Nucleares| Universidad Nacional Autónoma de México,505017| 505039| 505023,Academic| Government,3.0,60028381| 60029824| 60032442| 60010532,"Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Zaragoza| Universidad Nacional Autónoma de México| Instituto Nacional de Investigaciones Nucleares",7102061405,7003601857,7102061405| 7003601857,-,Mexico,1.0,1300| 1306| 3004,"General Biochemistry,Genetics and Molecular Biology| Cancer Research| Pharmacology",5,Life Sciences & Medicine,537| 507,Pharmacy & Pharmacology| Biological Sciences,34| 32,Medical and Health| Life Sciences,32,Biomedical And Clinical Sciences,3203| 3211| 3202,Dentistry| Oncology and carcinogenesis| Clinical sciences,-,Genotoxicity and Cancer Risk Assessment Framework,991,21.387,Micronucleus Testing for Genotoxicity Assessment,22626,56.228,Definitive,2024.0,2.0,N/A,"Ortiz-Muñiz, R.| Cervantes-Ríos, E.| Soriano-Correa, C.| Campos-Fernández, L.| Rodríguez-Cruz, L.| Cortés-Barberena, E.| Morales-Ramírez, P.",Universidad Autónoma Metropolitana| Instituto Nacional de Investigaciones Nucleares| Universidad Nacional Autónoma de México,Mexico,0
