Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
57189663271,57189663271,Palinology of the Mexican species of Gleicheniaceae,"Farfán-Santillán, N.| Mendoza-Ruiz, A.| Pérez-García, B.| Velázquez-Montes, E.",4.0,57189663271| 7102278639| 55989720900| 35575008600,2016.0,2016-04-01,Botanical Sciences,94,2,281-289,-,ISSN-20074298,21100244622.0,Journal,"Sociedad Botanica de Mexico, A.C",Spanish,0.56,58,0.7,73,0.216,78,0.73,20.0,7.0,0.13,7.81,48.0,66.0,0.0,0.0,"Farfán-Santillán, N., Mendoza-Ruiz, A., Pérez-García, B. and 1 more (...) (2016).Palinology of the Mexican species of Gleicheniaceae. Botanical Sciences,94(2) 281-289",https://www.scopus.com/record/display.url?eid=2-s2.0-84973891522&origin=resultslist,10.17129/botsci.509,Article,Gold|Green,2-s2.0-84973891522,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60028381| 60032442,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México,57189663271,35575008600,7102278639,-,Mexico,1.0,1110,Plant Science,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,30| 31,"Agricultural, Veterinary And Food Sciences| Biological Sciences",3108| 3103| 3007,Plant biology| Ecology| Forestry sciences,-,Fossil Flora and Climate Insights from Eocene,1449,6.671,Diversity and Phylogeny of Fern Species,3370,76.057,Definitive,2016.0,7.0,N/A,"Farfán-Santillán, N.| Mendoza-Ruiz, A.| Pérez-García, B.| Velázquez-Montes, E.",Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,Mexico,0
57189663271,57189663271,Gametophyte development in Mexican species of Gleicheniaceae ferns,"Farfán-Santillán, N.| Mendoza-Ruiz, A.| Pérez-García, B.| Velázquez-Montes, E.",4.0,57189663271| 7102278639| 55989720900| 35575008600,2017.0,2017-01-01,Revista de Biologia Tropical,65,3,939-952,-,ISSN-00347744,13567.0,Journal,Universidad de Costa Rica,Spanish,0.59,57,1.2,48,0.326,42,1.08,29.0,2.0,0.16,6.39,67.0,66.0,0.0,0.0,"Farfán-Santillán, N., Mendoza-Ruiz, A., Pérez-García, B. and 1 more (...) (2017).Gametophyte development in Mexican species of Gleicheniaceae ferns. Revista de Biologia Tropical,65(3) 939-952",https://www.scopus.com/record/display.url?eid=2-s2.0-85026477389&origin=resultslist,10.15517/rbt.v65i3.26346,Article,Gold|Green,2-s2.0-85026477389,-,Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,505017| 505023,Academic,2.0,60028381| 60032442,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Nacional Autónoma de México,57189663271,35575008600,-,-,Mexico,1.0,1100,General Agricultural and Biological Sciences,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,41| 31,Environmental Sciences| Biological Sciences,3103| 4104| 3109,Ecology| Environmental management| Zoology,-,Fossil Flora and Climate Insights from Eocene,1449,6.671,Fern Biology and Gametophyte Dynamics,13756,55.598,Definitive,2017.0,2.0,N/A,"Farfán-Santillán, N.| Mendoza-Ruiz, A.| Pérez-García, B.| Velázquez-Montes, E.",Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México,Mexico,0
