Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
26632490800,26632490800,Buñuel's social close-up: An entomological gaze on El ángel exterminador/The Exterminating Angel (1962),"Ramey, J.",1.0,26632490800,2016.0,2016-09-01,Studies in Spanish and Latin American Cinemas,13,3,319-337,-,ISSN-20504837,21100817622.0,Journal,Intellect Ltd.,English,0,94,-,-,0.1,85,0.1,18.0,1.0,0.0,1.84,73.0,71.0,0.0,0.0,"Ramey, J. (2016).Buñuel's social close-up: An entomological gaze on El ángel exterminador/The Exterminating Angel (1962). Studies in Spanish and Latin American Cinemas,13(3) 319-337",https://www.scopus.com/record/display.url?eid=2-s2.0-85020292684&origin=resultslist,10.1386/slac.13.3.319_1,Article,,2-s2.0-85020292684,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60024080,Universidad Autónoma Metropolitana Unidad Cuajimalpa,-,-,26632490800,26632490800,Mexico,1.0,1213| 3315| 3316,Visual Arts and Performing Arts| Communication| Cultural Studies,1| 3,Arts & Humanities| Social Sciences & Management,311| 136,Communication & Media Studies| Performing Arts,40| 33,Social Sciences| Arts and Humanities,47,"Language, Communication And Culture",4701| 4703,Communication and media studies| Language studies,-,Philosophical Foundations of Art and Politics,813,7.652,Surrealism and the Cinematic Vision of Buñuel,52898,11.904,Very Good,2016.0,1.0,N/A,"Ramey, J.",Universidad Autónoma Metropolitana,Mexico,0
26632490800,26632490800,Baroque Buñuel: The Hidden Culteranismo in Un Chien andalou*,"Ramey, J.",1.0,26632490800,2016.0,2016-04-20,Bulletin of Spanish Studies,93,4,575-606,-,ISSN-14753820,5800208080.0,Journal,Routledge,English,0.2,83,0.1,60,0.11,53,1.56,35.0,1.0,0.0,0.99,73.0,71.0,0.0,0.0,"Ramey, J. (2016).Baroque Buñuel: The Hidden Culteranismo in Un Chien andalou*. Bulletin of Spanish Studies,93(4) 575-606",https://www.scopus.com/record/display.url?eid=2-s2.0-84973889207&origin=resultslist,10.1080/14753820.2016.1184014,Article,,2-s2.0-84973889207,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60024080,Universidad Autónoma Metropolitana Unidad Cuajimalpa,-,-,26632490800,26632490800,Mexico,1.0,1208| 3316,Literature and Literary Theory| Cultural Studies,1| 3,Arts & Humanities| Social Sciences & Management,311| 123,Communication & Media Studies| English Language & Literature,40| 33,Social Sciences| Arts and Humanities,43| 36| 47,"History, Heritage And Archaeology| Creative Arts And Writing| Language, Communication And Culture",-,-,-,Philosophical Foundations of Art and Politics,813,7.652,Surrealism and the Cinematic Vision of Buñuel,52898,11.904,Definitive,2016.0,1.0,N/A,"Ramey, J.",Universidad Autónoma Metropolitana,Mexico,0
