Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
55194519000,55194519000,Symmetric relative equilibria in the four-vortex problem with three equal vorticities,"Perez-Chavela, E.| Santoprete, M.| Tamayo, C.",3.0,7801403920| 6603146059| 55194519000,2015.0,2015-01-01,"Dynamics of Continuous, Discrete and Impulsive Systems Series A: Mathematical Analysis",22,3,189-209,-,ISSN-12013390,25940.0,Journal,Watam Press,English,0.28,77,0.7,78,0.282,77,0.41,14.0,7.0,0.54,3.72,49.0,44.0,0.0,0.0,"Perez-Chavela, E., Santoprete, M., Tamayo, C. (2015).Symmetric relative equilibria in the four-vortex problem with three equal vorticities. Dynamics of Continuous, Discrete and Impulsive Systems Series A: Mathematical Analysis,22(3) 189-209",https://www.scopus.com/record/display.url?eid=2-s2.0-84943167710&origin=resultslist,-,Article,,2-s2.0-84943167710,-,Universidad Autónoma Metropolitana| Mexico Autonomous Institute of Technology| Wilfrid Laurier University,505017| 703438| 501055,Academic,3.0,60030473| 60000521| 60028381,ITAM - Instituto Tecnológico Autónomo de México| Wilfrid Laurier University| Universidad Autónoma Metropolitana -Unidad Iztapalapa,7801403920,55194519000,-,-,Mexico| Canada,2.0,2603| 2604| 2607,Analysis| Applied Mathematics| Discrete Mathematics and Combinatorics,4,Natural Sciences,431,Mathematics,37,Physical Sciences,49,Mathematical Sciences,4901,Applied mathematics,-,Innovative Control Systems for Spacecraft Operations,504,43.427,Central Configurations and Periodic Solutions in N-Body Dynamics,11959,63.54,Definitive,2015.0,7.0,N/A,"Perez-Chavela, E.| Santoprete, M.| Tamayo, C.",Universidad Autónoma Metropolitana| Mexico Autonomous Institute of Technology| Wilfrid Laurier University,Mexico| Canada,0
55194519000,55194519000,Bifurcation of Relative Equilibria for Vortices and General Homogeneous Potentials,"Pérez-Chavela, E.| Santoprete, M.| Tamayo, C.",3.0,7801403920| 6603146059| 55194519000,2020.0,2020-04-01,Qualitative Theory of Dynamical Systems,19,1,-,38,ISSN-15755460,19600161827.0,Journal,Birkhauser,English,0.93,36,2.1,28,0.469,49,1.73,20.0,3.0,0.63,4.75,62.0,40.0,0.0,0.0,"Pérez-Chavela, E., Santoprete, M., Tamayo, C. (2020).Bifurcation of Relative Equilibria for Vortices and General Homogeneous Potentials. Qualitative Theory of Dynamical Systems,19(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85078993960&origin=resultslist,10.1007/s12346-020-00350-z,Article,,2-s2.0-85078993960,-,Universidad Autónoma Metropolitana| Mexico Autonomous Institute of Technology| Wilfrid Laurier University,505017| 703438| 501055,Academic,3.0,60030473| 60000521| 60028381,ITAM - Instituto Tecnológico Autónomo de México| Wilfrid Laurier University| Universidad Autónoma Metropolitana -Unidad Iztapalapa,7801403920,55194519000,6603146059,-,Mexico| Canada,2.0,2604| 2607,Applied Mathematics| Discrete Mathematics and Combinatorics,4,Natural Sciences,431,Mathematics,37,Physical Sciences,49,Mathematical Sciences,4901| 4904,Applied mathematics| Pure mathematics,-,Innovative Control Systems for Spacecraft Operations,504,43.427,Central Configurations and Periodic Solutions in N-Body Dynamics,11959,63.54,Definitive,2020.0,3.0,N/A,"Pérez-Chavela, E.| Santoprete, M.| Tamayo, C.",Universidad Autónoma Metropolitana| Mexico Autonomous Institute of Technology| Wilfrid Laurier University,Mexico| Canada,0
