Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
57204004617,57204004617,"Creativity, coevolution, and computerized coproduction: reframing creativity from a nonanthropocentric approach","Valverde-Pérez, N.| Negrete-Yankelevich, S.",2.0,57204004617| 6507652943,2018.0,2018-10-01,Adaptive Behavior,26,5,239-256,-,ISSN-10597123,23635.0,Journal,SAGE Publications Ltd,English,0.83,41,2.6,57,0.345,81,0.68,20.0,4.0,0.31,9.69,58.0,57.0,0.0,0.0,"Valverde-Pérez, N., Negrete-Yankelevich, S. (2018).Creativity, coevolution, and computerized coproduction: reframing creativity from a nonanthropocentric approach. Adaptive Behavior,26(5) 239-256",https://www.scopus.com/record/display.url?eid=2-s2.0-85054038762&origin=resultslist,10.1177/1059712318794026,Article,Green,2-s2.0-85054038762,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60024080,Universidad Autónoma Metropolitana Unidad Cuajimalpa,57204004617,6507652943,6507652943,-,Mexico,1.0,2802| 3205,Behavioral Neuroscience| Experimental and Cognitive Psychology,5,Life Sciences & Medicine,532| 541,Medicine| Psychology,39| 34,Psychology| Medical and Health,46,Information And Computing Sciences,4602| 4611| 4608,Artificial intelligence| Machine learning| Human-centred computing,-,Philosophical Foundations of Art and Politics,813,7.652,Philosophical Insights on Technology and Individuation,15757,71.783,Defensible,2018.0,4.0,N/A,"Valverde-Pérez, N.| Negrete-Yankelevich, S.",Universidad Autónoma Metropolitana,Mexico,0
57204004617,57204004617,Presentation. Artificial intelligence and new ethics of cohabitation,"Valverde Pérez, N.",1.0,57204004617,2021.0,2021-01-01,Arbor,197,800,-,a599,ISSN-02101963,24770.0,Journal,CSIC Consejo Superior de Investigaciones Cientificas,Spanish,0.49,64,0.7,22,0.16,42,5.22,97.0,2.0,0.51,3.95,66.0,47.0,0.0,0.0,"Valverde Pérez, N. (2021).Presentation. Artificial intelligence and new ethics of cohabitation. Arbor,197(800) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85114169592&origin=resultslist,10.3989/arbor.2021.800001,Article,Gold|Green,2-s2.0-85114169592,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60024080,Universidad Autónoma Metropolitana Unidad Cuajimalpa,-,-,57204004617,57204004617,Mexico,1.0,1200| 3312| 3316,General Arts and Humanities| Sociology and Political Science| Cultural Studies,1| 3,Arts & Humanities| Social Sciences & Management,342| 311,Sociology| Communication & Media Studies,40| 33,Social Sciences| Arts and Humanities,47,"Language, Communication And Culture",4702,Cultural studies,SDG 16,Philosophical Foundations of Art and Politics,813,7.652,Philosophical Insights on Technology and Individuation,15757,71.783,Defensible,2021.0,2.0,N/A,"Valverde Pérez, N.",Universidad Autónoma Metropolitana,Mexico,0
57204004617,57204004617,"Preserved Worlds: Vulnerability, Ontology, and the Logics of Standards","Valverde-Pérez, N.",1.0,57204004617,2020.0,2020-06-01,HoST - Journal of History of Science and Technology,14,1,79-112,-,ISSN-16467752,21101251298.0,Journal,Sciendo,English,0.63,55,-,-,-,-,0.0,6.0,1.0,0.31,3.23,74.0,58.0,0.0,0.0,"Valverde-Pérez, N. (2020).Preserved Worlds: Vulnerability, Ontology, and the Logics of Standards. HoST - Journal of History of Science and Technology,14(1) 79-112",https://www.scopus.com/record/display.url?eid=2-s2.0-85112790076&origin=resultslist,10.2478/host-2020-0005,Article,Gold|Green,2-s2.0-85112790076,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60014923,Universidad Autónoma Metropolitana,-,-,57204004617,57204004617,Mexico,1.0,1202| 1207| 2701,History| History and Philosophy of Science| Medicine (miscellaneous),5| 1,Life Sciences & Medicine| Arts & Humanities,126| 532,History| Medicine,34| 33,Medical and Health| Arts and Humanities,-,-,-,-,SDG 15,Bird Behavior and Habitat Dynamics,64,72.204,Bioacoustic Monitoring for Biodiversity Assessment,10072,97.666,Definitive,2020.0,1.0,N/A,"Valverde-Pérez, N.",Universidad Autónoma Metropolitana,Mexico,0
