Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
57201372517,57201372517,Catalyzing biocultural and social changes about cancer. Design of transdisciplinary actions against the pandemic,"Valadez-Blanco, O.| Morales-Zaragoza, N.A.| González-García, D.N.",3.0,57218878667| 57201372517| 57221518995,2020.0,2020-01-01,Revista de Salud Publica,22,3,1-10,-,ISSN-01240064,22595.0,Journal,Universidad Nacional de Colombia,Spanish,0.42,69,0.6,86,0.195,85,0.3,10.0,2.0,0.09,10.92,68.0,74.0,0.0,0.0,"Valadez-Blanco, O., Morales-Zaragoza, N.A., González-García, D.N. (2020).Catalyzing biocultural and social changes about cancer. Design of transdisciplinary actions against the pandemic. Revista de Salud Publica,22(3) 1-10",https://www.scopus.com/record/display.url?eid=2-s2.0-85099391882&origin=resultslist,10.15446/RSAP.V22N3.87147,Article,Gold,2-s2.0-85099391882,36753154,Universidad Autónoma Metropolitana,505017,Academic,1.0,125644125| 60024080,Instituto Transdisciplinario sobre Complejidad Biocultural (GAIA)| Universidad Autónoma Metropolitana Unidad Cuajimalpa,57218878667,57221518995,-,-,Mexico,1.0,2739,"Public Health, Environmental and Occupational Health",5,Life Sciences & Medicine,532,Medicine,34,Medical and Health,44| 42,Human Society| Health Sciences,4206| 4407| 4202,Public health| Policy and administration| Epidemiology,SDG 3,Social Movements and Environmental Justice Dynamics,1349,13.407,Emotional Dynamics in Latin American Social Practices,72228,37.438,Defensible,2020.0,2.0,N/A,"Valadez-Blanco, O.| Morales-Zaragoza, N.A.| González-García, D.N.",Universidad Autónoma Metropolitana,Mexico,0
57201372517,57201372517,Weak signals of the future of cities,"González-Arellano, S.| Morales-Zaragoza, N.A.",2.0,57211868599| 57201372517,2021.0,2021-02-01,Boletin de Ciencias de la Tierra,2021,50,50-57,-,ISSN-01203630,21101204535.0,Journal,Universidad Nacional de Colombia,Spanish,0.03,93,-,-,-,-,0.41,11.0,1.0,0.08,12.63,73.0,76.0,0.0,0.0,"González-Arellano, S., Morales-Zaragoza, N.A. (2021).Weak signals of the future of cities. Boletin de Ciencias de la Tierra,2021(50) 50-57",https://www.scopus.com/record/display.url?eid=2-s2.0-85172364742&origin=resultslist,10.15446/rbct.n50.96769,Article,Gold|Green,2-s2.0-85172364742,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60014923| 60024080,Universidad Autónoma Metropolitana| Universidad Autónoma Metropolitana Unidad Cuajimalpa,57211868599,57201372517,-,-,Mexico,1.0,1900,General Earth and Planetary Sciences,2| 4,Engineering & Technology| Natural Sciences,416| 450| 249| 451,Earth & Marine Sciences| Geology| Engineering - Petroleum| Geophysics,37,Physical Sciences,-,-,-,-,-,Sustainable Energy Transition and Community Development,975,92.348,Weak Signal Detection for Strategic Decision-Making,38625,72.212,Definitive,2021.0,1.0,N/A,"González-Arellano, S.| Morales-Zaragoza, N.A.",Universidad Autónoma Metropolitana,Mexico,0
