Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
57188767405,57188767405,Integer programming models and heuristics for non-crossing Euclidean 3-matchings,"Castro Campos, R.A.| Heredia Velasco, M.A.| Vazquez Casas, G.| Zaragoza Martínez, F.J.",4.0,57188761307| 37107692000| 57188767405| 18435715600,2018.0,2018-01-01,Studies in Computational Intelligence,731,-,119-139,-,ISSN-1860949X,4900152708.0,Book Series,Springer Verlag,English,0.48,66,1.5,68,0.183,80,0.67,20.0,1.0,0.0,15.61,74.0,74.0,0.0,0.0,"Castro Campos, R.A., Heredia Velasco, M.A., Vazquez Casas, G. and 1 more (...) (2018).Integer programming models and heuristics for non-crossing Euclidean 3-matchings. Studies in Computational Intelligence,731119-139",https://www.scopus.com/record/display.url?eid=2-s2.0-85030088013&origin=resultslist,10.1007/978-3-319-64063-1_5,Article,,2-s2.0-85030088013,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60023193,Universidad Autónoma Metropolitana - Azcapotzalco,57188761307,18435715600,57188767405,-,Mexico,1.0,1702,Artificial Intelligence,2,Engineering & Technology,212| 213,Computer Science & Information Systems| Data Science,38,Computer Science,40| 46,Engineering| Information And Computing Sciences,4007| 4611| 4602,"Control engineering, mechatronics and robotics| Machine learning| Artificial intelligence",-,Innovative Approaches in Target Detection and Estimation,530,38.718,Heuristic Approaches to Multidimensional Assignment Problems,76684,24.582,Definitive,2018.0,1.0,N/A,"Castro Campos, R.A.| Heredia Velasco, M.A.| Vazquez Casas, G.| Zaragoza Martínez, F.J.",Universidad Autónoma Metropolitana,Mexico,0
57188767405,57188767405,Mixed integer programming formulation for the energy-efficient train timetables problem,"Castro Campos, R.A.| Pérez Pérez, S.L.| Vazquez Casas, G.| Zaragoza Martínez, F.J.",4.0,57188761307| 55522587400| 57188767405| 18435715600,2018.0,2018-01-01,Studies in Computational Intelligence,731,-,65-86,-,ISSN-1860949X,4900152708.0,Book Series,Springer Verlag,English,0.48,66,1.5,68,0.183,80,0.59,24.0,0.0,0.0,15.61,82.0,74.0,0.0,0.0,"Castro Campos, R.A., Pérez Pérez, S.L., Vazquez Casas, G. and 1 more (...) (2018).Mixed integer programming formulation for the energy-efficient train timetables problem. Studies in Computational Intelligence,73165-86",https://www.scopus.com/record/display.url?eid=2-s2.0-85030108514&origin=resultslist,10.1007/978-3-319-64063-1_3,Article,,2-s2.0-85030108514,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60023193,Universidad Autónoma Metropolitana - Azcapotzalco,57188761307,18435715600,57188761307,-,Mexico,1.0,1702,Artificial Intelligence,2,Engineering & Technology,213| 212,Data Science| Computer Science & Information Systems,38,Computer Science,46| 40,Information And Computing Sciences| Engineering,4611| 4602| 4007,"Machine learning| Artificial intelligence| Control engineering, mechatronics and robotics",SDG 7,Hybrid Energy Management in Electric Vehicles,541,94.441,Energy Optimization in Railway Systems with Regenerative Technologies,2433,98.039,Defensible,2018.0,0.0,N/A,"Castro Campos, R.A.| Pérez Pérez, S.L.| Vazquez Casas, G.| Zaragoza Martínez, F.J.",Universidad Autónoma Metropolitana,Mexico,0
