Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,4,216.0,54.0,5.5,16,8,2,2,0,1,2,1,0.7,0.1,0.25,0.0
2016.0,6,198.0,33.0,8.33,32,13,2,2,0,0,4,2,0.8,0.06666666666666667,0.0,0.0
2017.0,6,283.0,47.17,8.0,28,14,3,2,0,0,5,1,0.7647058823529411,0.11764705882352941,0.0,0.0
2018.0,8,323.0,40.38,9.5,43,19,13,4,0,0,4,4,0.5625,0.375,0.0,0.0
2019.0,8,294.0,36.75,9.5,43,19,12,5,0,0,5,3,0.5806451612903226,0.3548387096774194,0.0,0.0
2020.0,7,311.0,44.43,10.86,51,16,14,6,0,0,2,5,0.5,0.43333333333333335,0.0,0.0
2021.0,1,4.0,4.0,11.0,11,2,1,2,0,0,0,1,0.3333333333333333,0.0,0.0,0.0
2022.0,5,54.0,10.8,7.6,28,10,1,2,0,2,2,1,0.8181818181818182,0.0,0.4,0.0
2023.0,5,34.0,6.8,8.4,32,14,1,2,0,1,3,1,0.8666666666666667,0.0,0.2,0.0
2024.0,6,16.0,2.67,9.33,40,14,3,3,0,2,3,1,0.7647058823529411,0.11764705882352941,0.3333333333333333,0.0
