Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,10,790.0,79.0,3.9,25,15,7,3,0,1,5,4,0.6363636363636364,0.2727272727272727,0.1,0.0
2016.0,16,513.0,32.06,4.06,39,25,7,4,2,2,6,6,0.75,0.1875,0.125,0.125
2017.0,11,225.0,20.45,3.91,28,21,5,6,0,3,4,4,0.7692307692307693,0.15384615384615385,0.2727272727272727,0.0
2018.0,11,287.0,26.09,3.91,22,25,2,3,0,0,9,2,0.8888888888888888,0.037037037037037035,0.0,0.0
2019.0,5,261.0,52.2,4.6,19,12,7,4,0,0,2,3,0.5789473684210527,0.3157894736842105,0.0,0.0
2020.0,6,146.0,24.33,4.33,12,12,3,2,0,0,3,3,0.7333333333333333,0.13333333333333333,0.0,0.0
2021.0,3,43.0,14.33,4.67,10,5,3,3,0,0,0,3,0.5,0.25,0.0,0.0
2022.0,3,36.0,12.0,4.67,12,7,0,1,0,1,2,0,0.8571428571428571,0.0,0.3333333333333333,0.0
2023.0,5,69.0,13.8,3.6,10,9,0,1,0,1,4,0,0.8888888888888888,0.0,0.2,0.0
2024.0,5,19.0,3.8,7.4,23,9,1,2,0,1,3,1,0.8,0.0,0.2,0.0
