Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,7,189.0,27.0,2.86,13,10,2,2,0,2,3,2,0.75,0.08333333333333333,0.2857142857142857,0.0
2016.0,2,111.0,55.5,2.0,2,2,2,2,0,0,0,2,0.25,0.25,0.0,0.0
2017.0,3,135.0,45.0,2.33,5,4,1,2,0,1,1,1,0.6,0.0,0.3333333333333333,0.0
2018.0,2,76.0,38.0,3.0,5,2,2,2,0,0,0,2,0.25,0.25,0.0,0.0
2019.0,3,42.0,14.0,4.33,7,3,2,2,0,1,0,2,0.4,0.2,0.3333333333333333,0.0
2020.0,5,116.0,23.2,2.8,10,7,3,3,0,1,2,2,0.6,0.2,0.2,0.0
2021.0,3,46.0,15.33,2.0,4,4,1,2,0,1,1,1,0.6,0.0,0.3333333333333333,0.0
2022.0,7,73.0,10.43,3.0,15,15,1,2,0,0,6,1,0.875,0.0,0.0,0.0
2023.0,3,56.0,18.67,2.33,5,5,0,1,0,2,1,0,0.8,0.0,0.6666666666666666,0.0
2024.0,2,14.0,7.0,3.0,5,3,0,1,0,1,1,0,0.6666666666666666,0.0,0.5,0.0
