Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,2,30.0,15.0,2.5,4,3,0,1,0,1,1,0,0.6666666666666666,0.0,0.5,0.0
2016.0,1,13.0,13.0,3.0,3,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0
2017.0,2,11.0,5.5,4.0,5,2,0,1,0,2,0,0,0.5,0.0,1.0,0.0
2018.0,4,29.0,7.25,3.25,8,6,0,1,0,3,1,0,0.8333333333333334,0.0,0.75,0.0
2019.0,2,7.0,3.5,3.0,5,2,2,2,0,1,0,1,0.25,0.25,0.5,0.0
2020.0,3,21.0,7.0,3.0,7,6,0,1,0,1,2,0,0.8333333333333334,0.0,0.3333333333333333,0.0
2021.0,5,11.0,2.2,2.4,8,9,0,1,0,2,3,0,0.8888888888888888,0.0,0.4,0.0
2022.0,6,16.0,2.67,2.67,12,9,0,1,0,4,2,0,0.8888888888888888,0.0,0.6666666666666666,0.0
2023.0,4,17.0,4.25,3.5,9,4,2,2,0,2,0,2,0.5,0.16666666666666666,0.5,0.0
2024.0,4,17.0,4.25,3.0,8,8,11,5,0,0,1,3,0.3684210526315789,0.5263157894736842,0.0,0.0
