Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,4,52.0,13.0,3.25,9,8,0,1,0,1,3,0,0.875,0.0,0.25,0.0
2016.0,1,12.0,12.0,4.0,4,3,0,1,0,0,1,0,0.6666666666666666,0.0,0.0,0.0
2017.0,2,15.0,7.5,4.0,7,4,1,2,0,0,1,1,0.6,0.0,0.0,0.0
2018.0,3,25.0,8.33,4.0,9,9,1,2,0,0,2,1,0.8,0.0,0.0,0.0
2019.0,5,43.0,8.6,3.4,13,13,0,1,0,0,5,0,0.9230769230769231,0.0,0.0,0.0
2020.0,1,5.0,5.0,5.0,5,3,0,1,0,0,1,0,0.6666666666666666,0.0,0.0,0.0
2021.0,3,40.0,13.33,3.67,10,7,0,1,0,0,3,0,0.8571428571428571,0.0,0.0,0.0
2022.0,2,12.0,6.0,3.5,6,6,0,1,0,0,2,0,0.8333333333333334,0.0,0.0,0.0
2023.0,1,5.0,5.0,3.0,3,2,0,1,0,0,1,0,0.5,0.0,0.0,0.0
2024.0,2,8.0,4.0,3.0,3,4,0,1,0,0,2,0,0.75,0.0,0.0,0.0
