Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,2,16.0,8.0,6.0,12,5,2,2,0,0,1,1,0.5714285714285714,0.14285714285714285,0.0,0.0
2016.0,5,98.0,19.6,5.6,18,17,2,2,0,0,4,1,0.8421052631578947,0.05263157894736842,0.0,0.0
2017.0,1,47.0,47.0,5.0,5,4,0,1,0,0,1,0,0.75,0.0,0.0,0.0
2018.0,6,120.0,20.0,6.5,24,19,3,2,0,0,4,2,0.8181818181818182,0.09090909090909091,0.0,0.0
2019.0,4,82.0,20.5,5.75,12,9,6,3,0,0,2,2,0.5333333333333333,0.3333333333333333,0.0,0.0
2020.0,1,1.0,1.0,4.0,4,1,1,2,0,0,0,1,0.0,0.0,0.0,0.0
2021.0,2,8.0,4.0,5.0,9,6,0,1,0,0,2,0,0.8333333333333334,0.0,0.0,0.0
2022.0,3,31.0,10.33,5.67,15,8,2,2,0,0,2,1,0.7,0.1,0.0,0.0
2023.0,2,11.0,5.5,6.5,12,4,0,1,0,0,2,0,0.75,0.0,0.0,0.0
2024.0,2,6.0,3.0,5.0,6,7,0,1,0,0,2,0,0.8571428571428571,0.0,0.0,0.0
