Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,4,111.0,27.75,4.25,14,5,2,2,0,2,1,1,0.5714285714285714,0.14285714285714285,0.5,0.0
2016.0,2,24.0,12.0,4.5,7,2,0,1,0,2,0,0,0.5,0.0,1.0,0.0
2017.0,3,107.0,35.67,4.67,11,4,1,2,0,2,0,1,0.6,0.0,0.6666666666666666,0.0
2018.0,2,122.0,61.0,5.5,9,4,4,3,0,0,0,2,0.375,0.375,0.0,0.0
2019.0,2,71.0,35.5,7.0,10,3,2,2,0,0,0,2,0.4,0.2,0.0,0.0
2020.0,2,22.0,11.0,3.5,6,2,0,1,0,2,0,0,0.5,0.0,1.0,0.0
2021.0,1,9.0,9.0,6.0,6,3,0,1,0,0,1,0,0.6666666666666666,0.0,0.0,0.0
2022.0,1,40.0,40.0,4.0,4,2,0,1,0,0,1,0,0.5,0.0,0.0,0.0
2023.0,3,35.0,11.67,6.0,16,6,1,2,0,0,2,1,0.7142857142857143,0.0,0.0,0.0
2024.0,1,1.0,1.0,5.0,5,2,0,1,0,0,1,0,0.5,0.0,0.0,0.0
