Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,4,247.0,61.75,3.75,6,7,3,3,0,0,0,3,0.6,0.2,0.0,0.0
2016.0,5,70.0,14.0,4.2,11,10,4,3,0,1,0,4,0.6428571428571429,0.21428571428571427,0.2,0.0
2017.0,8,272.0,34.0,4.12,10,15,7,3,0,0,2,6,0.6363636363636364,0.2727272727272727,0.0,0.0
2018.0,10,200.0,20.0,4.3,19,22,7,4,0,0,4,6,0.7241379310344828,0.20689655172413793,0.0,0.0
2019.0,2,108.0,54.0,3.0,5,5,1,2,0,0,1,1,0.6666666666666666,0.0,0.0,0.0
2020.0,6,481.0,80.17,5.5,20,16,13,7,0,0,1,5,0.5172413793103449,0.41379310344827586,0.0,0.0
2021.0,2,11.0,5.5,2.5,3,4,0,1,0,0,2,0,0.75,0.0,0.0,0.0
2022.0,2,14.0,7.0,3.5,5,5,1,2,0,0,1,1,0.6666666666666666,0.0,0.0,0.0
2023.0,5,20.0,4.0,3.8,10,11,5,4,0,0,2,3,0.625,0.25,0.0,0.0
2024.0,2,14.0,7.0,5.5,9,4,0,2,0,0,1,1,0.75,0.0,0.0,0.0
