Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,3,59.0,19.67,6.33,18,7,0,1,0,1,2,0,0.8571428571428571,0.0,0.3333333333333333,0.0
2016.0,6,46.0,7.67,6.5,25,10,0,1,0,3,3,0,0.9,0.0,0.5,0.0
2017.0,1,0.0,0.0,7.0,7,2,0,1,0,0,1,0,0.5,0.0,0.0,0.0
2018.0,2,3.0,1.5,7.5,14,3,0,1,0,1,1,0,0.6666666666666666,0.0,0.5,0.0
2019.0,2,24.0,12.0,7.5,13,6,0,1,0,0,2,0,0.8333333333333334,0.0,0.0,0.0
2020.0,3,5.0,1.67,4.33,7,3,0,1,0,3,0,0,0.6666666666666666,0.0,1.0,0.0
2021.0,2,0.0,0.0,5.5,8,3,0,1,0,1,1,0,0.6666666666666666,0.0,0.5,0.0
2022.0,1,5.0,5.0,8.0,8,4,0,1,0,0,1,0,0.75,0.0,0.0,0.0
2023.0,1,2.0,2.0,12.0,12,4,1,2,0,0,0,1,0.6,0.0,0.0,0.0
2024.0,3,17.0,5.67,7.67,20,8,2,4,0,0,1,2,0.7,0.1,0.0,0.0
