Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,2,36.0,18.0,6.5,8,6,0,1,0,0,2,0,0.8333333333333334,0.0,0.0,0.0
2016.0,2,80.0,40.0,7.5,11,4,1,2,0,0,1,1,0.6,0.0,0.0,0.0
2017.0,2,35.0,17.5,7.0,12,5,0,1,0,0,2,0,0.8,0.0,0.0,0.0
2018.0,5,123.0,24.6,6.8,28,17,2,2,0,0,4,1,0.8421052631578947,0.05263157894736842,0.0,0.0
2019.0,3,75.0,25.0,9.67,24,10,5,4,0,0,2,1,0.6,0.26666666666666666,0.0,0.0
2020.0,2,44.0,22.0,10.0,17,6,7,5,0,0,1,1,0.38461538461538464,0.46153846153846156,0.0,0.0
2021.0,2,150.0,75.0,12.0,21,5,3,3,0,0,0,2,0.5,0.25,0.0,0.0
2022.0,3,53.0,17.67,11.67,32,11,1,2,0,0,2,1,0.8333333333333334,0.0,0.0,0.0
2023.0,1,13.0,13.0,11.0,11,3,0,1,0,0,1,0,0.6666666666666666,0.0,0.0,0.0
2024.0,2,33.0,16.5,11.0,19,8,3,3,0,0,1,1,0.6363636363636364,0.18181818181818182,0.0,0.0
