Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,3,27.0,9.0,4.33,11,6,2,3,0,0,1,2,0.625,0.125,0.0,0.0
2016.0,1,34.0,34.0,5.0,5,3,1,2,0,0,0,1,0.5,0.0,0.0,0.0
2017.0,1,5.0,5.0,7.0,7,4,1,2,0,0,0,1,0.6,0.0,0.0,0.0
2018.0,2,14.0,7.0,4.5,7,3,0,1,0,1,1,0,0.6666666666666666,0.0,0.5,0.0
2019.0,2,35.0,17.5,5.0,9,6,2,3,0,0,0,2,0.625,0.125,0.0,0.0
2020.0,1,3.0,3.0,4.0,4,2,1,2,0,0,0,1,0.3333333333333333,0.0,0.0,0.0
2021.0,1,3.0,3.0,3.0,3,2,0,1,0,0,1,0,0.5,0.0,0.0,0.0
2022.0,2,4.0,2.0,4.5,8,4,2,3,0,0,0,2,0.5,0.16666666666666666,0.0,0.0
2023.0,2,6.0,3.0,3.5,6,4,0,1,0,0,2,0,0.75,0.0,0.0,0.0
2024.0,2,5.0,2.5,5.5,9,6,0,1,0,0,2,0,0.8333333333333334,0.0,0.0,0.0
