Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,3,57.0,19.0,6.33,14,4,10,3,0,0,0,3,0.21428571428571427,0.6428571428571429,0.0,0.0
2017.0,1,5.0,5.0,4.0,4,2,1,2,0,0,0,1,0.3333333333333333,0.0,0.0,0.0
2018.0,2,11.0,5.5,4.0,5,4,3,2,0,0,0,2,0.42857142857142855,0.2857142857142857,0.0,0.0
2019.0,3,74.0,24.67,2.67,7,4,2,2,0,1,0,2,0.5,0.16666666666666666,0.3333333333333333,0.0
2020.0,1,37.0,37.0,2.0,2,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0
2021.0,1,9.0,9.0,3.0,3,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0
2022.0,2,25.0,12.5,2.5,4,3,1,2,0,1,0,1,0.5,0.0,0.5,0.0
2023.0,3,17.0,5.67,3.0,6,6,2,2,0,0,1,2,0.625,0.125,0.0,0.0
2024.0,1,4.0,4.0,4.0,4,2,1,2,0,0,0,1,0.3333333333333333,0.0,0.0,0.0
