Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,2,28.0,14.0,10.5,21,7,2,3,0,0,0,2,0.6666666666666666,0.1111111111111111,0.0,0.0
2016.0,1,8.0,8.0,12.0,12,5,0,1,0,0,1,0,0.8,0.0,0.0,0.0
2017.0,1,8.0,8.0,7.0,7,3,1,2,0,0,0,1,0.5,0.0,0.0,0.0
2018.0,2,5.0,2.5,6.5,10,9,0,1,0,0,2,0,0.8888888888888888,0.0,0.0,0.0
2019.0,3,36.0,12.0,7.33,18,6,0,1,0,0,3,0,0.8333333333333334,0.0,0.0,0.0
2020.0,1,24.0,24.0,11.0,11,5,1,2,0,0,0,1,0.6666666666666666,0.0,0.0,0.0
2021.0,2,33.0,16.5,6.5,12,5,0,1,0,0,2,0,0.8,0.0,0.0,0.0
2022.0,3,35.0,11.67,7.0,20,10,1,2,0,0,2,1,0.8181818181818182,0.0,0.0,0.0
2023.0,2,12.0,6.0,7.5,14,8,0,1,0,0,2,0,0.875,0.0,0.0,0.0
2024.0,2,0.0,0.0,7.0,13,5,1,2,0,0,1,1,0.6666666666666666,0.0,0.0,0.0
