Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,1,20.0,20.0,6.0,6,3,0,1,0,0,1,0,0.6666666666666666,0.0,0.0,0.0
2016.0,1,51.0,51.0,10.0,10,5,0,1,0,0,1,0,0.8,0.0,0.0,0.0
2017.0,3,90.0,30.0,8.67,24,6,0,1,0,0,3,0,0.8333333333333334,0.0,0.0,0.0
2018.0,6,165.0,27.5,10.0,46,19,5,4,0,1,3,2,0.75,0.16666666666666666,0.16666666666666666,0.0
2019.0,3,55.0,18.33,8.0,22,11,0,1,0,0,3,0,0.9090909090909091,0.0,0.0,0.0
2020.0,4,101.0,25.25,8.25,28,9,0,1,0,1,3,0,0.8888888888888888,0.0,0.25,0.0
2021.0,6,85.0,14.17,8.83,38,27,0,1,0,0,6,0,0.9629629629629629,0.0,0.0,0.0
2022.0,7,65.0,9.29,8.57,48,31,1,2,0,0,6,1,0.9375,0.0,0.0,0.0
2023.0,4,29.0,7.25,11.25,38,18,2,2,0,0,3,1,0.85,0.05,0.0,0.0
2024.0,8,19.0,2.38,9.25,65,30,2,3,0,1,6,1,0.90625,0.03125,0.125,0.0
