Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,8,197.0,24.62,3.88,15,21,3,3,1,0,5,2,0.8333333333333334,0.08333333333333333,0.0,0.125
2016.0,6,45.0,7.5,4.83,24,14,0,1,0,0,6,0,0.9285714285714286,0.0,0.0,0.0
2017.0,4,108.0,27.0,3.75,11,12,0,1,0,0,4,0,0.9166666666666666,0.0,0.0,0.0
2018.0,6,96.0,16.0,4.5,16,16,0,1,0,0,6,0,0.9375,0.0,0.0,0.0
2019.0,6,88.0,14.67,5.0,19,17,0,1,0,0,6,0,0.9411764705882353,0.0,0.0,0.0
2020.0,8,80.0,10.0,3.75,17,19,0,1,1,0,7,0,0.9473684210526315,0.0,0.0,0.125
2021.0,13,194.0,14.92,5.15,32,41,0,1,0,0,13,0,0.975609756097561,0.0,0.0,0.0
2022.0,9,110.0,12.22,5.33,25,24,0,1,0,0,9,0,0.9583333333333334,0.0,0.0,0.0
2023.0,8,48.0,6.0,5.25,22,20,0,1,0,1,7,0,0.95,0.0,0.125,0.0
2024.0,4,29.0,7.25,5.25,15,9,1,2,0,0,3,1,0.8,0.0,0.0,0.0
