Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,3,109.0,36.33,5.0,9,5,2,3,0,1,1,1,0.5714285714285714,0.14285714285714285,0.3333333333333333,0.0
2016.0,1,3.0,3.0,2.0,2,2,0,1,0,0,1,0,0.5,0.0,0.0,0.0
2017.0,1,16.0,16.0,3.0,3,2,0,1,0,0,1,0,0.5,0.0,0.0,0.0
2018.0,2,48.0,24.0,4.0,6,4,0,1,0,1,1,0,0.75,0.0,0.5,0.0
2019.0,1,21.0,21.0,4.0,4,2,0,1,0,0,1,0,0.5,0.0,0.0,0.0
2020.0,2,41.0,20.5,4.0,6,4,0,1,0,0,2,0,0.75,0.0,0.0,0.0
2021.0,1,16.0,16.0,3.0,3,2,0,1,0,0,1,0,0.5,0.0,0.0,0.0
2022.0,1,5.0,5.0,13.0,13,5,0,1,0,0,1,0,0.8,0.0,0.0,0.0
2023.0,2,24.0,12.0,4.0,7,5,0,1,0,0,2,0,0.8,0.0,0.0,0.0
2024.0,3,14.0,4.67,5.0,11,6,0,2,0,0,2,1,0.8333333333333334,0.0,0.0,0.0
