Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,6,61.0,10.17,1.67,6,6,1,2,3,2,0,1,0.7142857142857143,0.0,0.3333333333333333,0.5
2016.0,5,25.0,5.0,2.6,10,5,4,5,0,1,0,4,0.4444444444444444,0.3333333333333333,0.2,0.0
2017.0,9,48.0,5.33,2.33,14,9,9,5,1,2,0,6,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.1111111111111111
2018.0,2,13.0,6.5,2.0,4,2,3,3,0,0,0,2,0.2,0.4,0.0,0.0
2019.0,8,62.0,7.75,2.62,10,10,12,4,2,0,2,4,0.4090909090909091,0.5,0.0,0.25
2020.0,7,25.0,3.57,2.14,9,7,6,4,2,0,0,5,0.46153846153846156,0.38461538461538464,0.0,0.2857142857142857
2021.0,8,28.0,3.5,2.5,8,8,11,4,2,1,0,5,0.3684210526315789,0.5263157894736842,0.125,0.25
2022.0,3,5.0,1.67,2.0,5,3,3,3,1,0,0,2,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
2023.0,2,0.0,0.0,1.0,1,2,0,1,2,0,0,0,0.5,0.0,0.0,1.0
2024.0,3,6.0,2.0,1.67,4,3,2,3,1,0,0,2,0.4,0.2,0.0,0.3333333333333333
