Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
56205756200,56205756200,2015.0,1,0,5.0,5,0,2,2,0,0,0
56205756200,56205756200,2017.0,5,0,3.8,10,0,9,3,0,0,0
56205756200,56205756200,2018.0,3,0,4.33,9,0,8,3,0,0,0
56205756200,56205756200,2019.0,4,0,5.0,11,0,15,4,0,0,0
56205756200,56205756200,2020.0,4,0,5.25,14,0,8,3,0,0,0
56205756200,56205756200,2021.0,2,0,4.5,7,0,3,1,0,0,0
56205756200,56205756200,2022.0,5,0,4.8,17,0,8,1,0,0,0
56205756200,56205756200,2023.0,4,0,4.75,13,0,6,1,0,0,0
56205756200,56205756200,2024.0,2,0,6.0,10,0,3,1,0,0,0
