Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
"Alvarez, E.",57199844722.0,2015.0,4,0,500.0,910,0,400,95,0,0,0
"Alvarez, E.",57199844722.0,2016.0,4,0,488.0,885,0,400,101,0,0,0
