Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
55993626500,55993626500,2015.0,6,0,6.0,25,0,14,2,0,0,0
55993626500,55993626500,2016.0,6,0,5.83,23,0,15,2,0,0,0
55993626500,55993626500,2017.0,11,0,5.73,40,0,28,2,0,0,0
55993626500,55993626500,2018.0,10,0,7.1,55,0,28,3,0,0,0
55993626500,55993626500,2019.0,1,0,7.0,7,0,3,1,0,0,0
55993626500,55993626500,2020.0,10,0,7.5,45,0,29,2,0,0,0
55993626500,55993626500,2021.0,2,0,6.5,12,0,6,1,0,0,0
55993626500,55993626500,2022.0,9,0,7.89,50,0,30,1,0,0,0
55993626500,55993626500,2023.0,9,0,7.33,47,0,30,1,0,0,0
55993626500,55993626500,2024.0,5,0,7.2,28,0,18,3,0,0,0
