Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
6603788018,6603788018,2015.0,5,0,6.0,18,0,6,1,0,0,0
6603788018,6603788018,2016.0,7,0,6.14,28,0,17,3,0,0,0
6603788018,6603788018,2017.0,13,0,6.23,46,0,30,3,0,0,0
6603788018,6603788018,2018.0,11,0,6.73,40,0,26,4,0,0,0
6603788018,6603788018,2019.0,8,0,7.62,38,0,25,4,0,0,0
6603788018,6603788018,2020.0,9,0,7.44,36,0,23,3,0,0,0
6603788018,6603788018,2021.0,5,0,6.6,18,0,11,2,0,0,0
6603788018,6603788018,2022.0,7,0,7.71,36,0,17,3,0,0,0
6603788018,6603788018,2023.0,6,0,6.17,25,0,11,1,0,0,0
6603788018,6603788018,2024.0,8,0,7.25,49,0,25,4,0,0,0
