Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
7102176710,7102176710,2015.0,9,0,4.67,22,0,18,2,0,0,0
7102176710,7102176710,2016.0,8,0,4.62,25,0,15,3,0,0,0
7102176710,7102176710,2017.0,12,0,4.92,39,0,25,2,0,0,0
7102176710,7102176710,2018.0,15,0,4.67,45,0,36,3,0,0,0
7102176710,7102176710,2019.0,7,0,4.86,25,0,15,3,0,0,0
7102176710,7102176710,2020.0,8,0,7.12,44,0,22,3,0,0,0
7102176710,7102176710,2021.0,8,0,4.38,23,0,14,2,0,0,0
7102176710,7102176710,2022.0,2,0,5.0,9,0,6,2,0,0,0
7102176710,7102176710,2023.0,3,0,2.67,6,0,5,1,0,0,0
7102176710,7102176710,2024.0,4,0,7.25,23,0,7,1,0,0,0
